country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2001,1737.0,49.67,26.96
Albania,2001,2803.0,92.83,79.98
Algeria,2001,2886.0,77.35,69.92
Angola,2001,1833.0,40.25,39.38
Argentina,2001,3212.0,101.28,114.39
Armenia,2001,2239.0,65.25,42.67
Australia,2001,3048.0,100.78,134.26
Austria,2001,3728.0,106.89,160.66
Azerbaijan,2001,2371.0,68.95,38.83
Bahamas,2001,2765.0,92.7,95.37
Bangladesh,2001,2331.0,49.76,27.28
Barbados,2001,2835.0,85.02,86.92
Belarus,2001,3046.0,88.46,104.36
Belgium,2001,3747.0,100.83,164.94
Belize,2001,2757.0,74.93,66.0
Benin,2001,2315.0,53.95,48.78
Bermuda,2001,2612.0,84.83,107.98
Bolivia (Plurinational State of),2001,2083.0,55.54,41.64
Bosnia and Herzegovina,2001,2903.0,79.59,65.68
Botswana,2001,2154.0,68.04,48.44
Brazil,2001,2892.0,79.74,99.38
Brunei Darussalam,2001,2875.0,88.98,72.3
Bulgaria,2001,2816.0,84.36,92.23
Burkina Faso,2001,2332.0,68.99,50.76
Cabo Verde,2001,2366.0,62.2,66.82
Cambodia,2001,2172.0,55.17,30.97
Cameroon,2001,2162.0,56.94,42.32
Canada,2001,3501.0,105.05,145.54
Central African Republic,2001,1988.0,47.05,63.28
Chad,2001,2018.0,64.81,62.53
Chile,2001,2868.0,79.6,83.99
China,2001,2821.0,83.6,75.88
"China, Hong Kong SAR",2001,3082.0,98.17,134.29
"China, Macao SAR",2001,2518.0,74.24,107.17
"China, Taiwan Province of",2001,3011.0,90.72,130.25
"China, mainland",2001,2816.0,83.4,74.62
Colombia,2001,2815.0,63.74,73.03
Congo,2001,2232.0,44.46,56.39
Costa Rica,2001,2801.0,70.54,76.87
Croatia,2001,2738.0,72.34,82.43
Cuba,2001,3076.0,72.08,50.87
Cyprus,2001,2648.0,85.26,111.22
Czechia,2001,3170.0,92.84,114.14
Côte d'Ivoire,2001,2625.0,51.82,54.78
Democratic People's Republic of Korea,2001,2096.0,58.87,35.39
Denmark,2001,3335.0,107.62,135.54
Djibouti,2001,1982.0,48.62,46.67
Dominica,2001,3040.0,90.46,85.52
Dominican Republic,2001,2258.0,47.21,76.03
