country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2013,2205.33,63.24,38.05
Albania,2013,3317.95,112.63,107.47
Algeria,2013,3405.35,93.82,101.54
Angola,2013,2517.1,54.06,56.02
Antigua and Barbuda,2013,2448.44,91.37,94.95
Argentina,2013,3117.33,106.21,108.86
Armenia,2013,3178.69,103.82,98.84
Australia,2013,3526.67,120.74,154.83
Austria,2013,3796.95,107.81,176.47
Azerbaijan,2013,3005.0,92.41,71.48
Bahamas,2013,2659.44,97.88,97.7
Bangladesh,2013,2384.59,57.2,29.84
Barbados,2013,3055.15,101.4,92.83
Belarus,2013,3315.89,102.99,125.77
Belgium,2013,3717.99,102.37,164.25
Belize,2013,2747.87,77.45,78.35
Bolivia (Plurinational State of),2013,2287.56,70.22,56.75
Bosnia and Herzegovina,2013,3157.0,100.53,80.81
Botswana,2013,2475.16,67.14,62.53
Brazil,2013,3311.13,103.95,119.35
Bulgaria,2013,2856.85,87.23,93.66
Burkina Faso,2013,2652.31,75.95,61.31
Cabo Verde,2013,2601.21,75.13,68.45
Cambodia,2013,2590.54,63.93,32.42
Cameroon,2013,2865.8,75.9,62.78
Canada,2013,3531.25,110.82,146.48
Chile,2013,2939.31,97.56,81.93
China,2013,3097.2,110.81,84.0
"China, Hong Kong SAR",2013,3090.04,135.64,124.7
"China, Macao SAR",2013,3073.75,109.83,138.76
"China, Taiwan Province of",2013,2925.06,92.96,121.85
"China, mainland",2013,3100.17,110.98,83.12
Colombia,2013,2974.3,71.54,86.75
Comoros,2013,2446.28,62.63,66.13
Congo,2013,2072.46,46.99,42.88
Costa Rica,2013,2889.11,77.67,96.73
Croatia,2013,3105.43,91.1,118.11
Cuba,2013,3275.25,93.53,66.23
Cyprus,2013,2909.6,98.19,102.34
Czechia,2013,3301.47,94.4,139.53
Côte d'Ivoire,2013,2669.59,57.16,59.74
Democratic People's Republic of Korea,2013,2050.37,58.94,34.42
Democratic Republic of the Congo,2013,2115.32,29.64,25.64
Denmark,2013,3551.23,115.57,143.37
Djibouti,2013,2559.79,69.53,57.58
Dominican Republic,2013,2741.99,62.78,101.64
Ecuador,2013,2553.01,71.0,99.93
Egypt,2013,3158.7,91.89,53.27
El Salvador,2013,2640.28,75.44,61.6
Estonia,2013,3175.34,107.21,91.83
Eswatini,2013,2366.99,57.9,49.16
Ethiopia,2013,2310.39,76.59,33.38
Fiji,2013,2684.94,69.03,76.07
Finland,2013,3248.15,118.05,133.7
France,2013,3459.44,116.33,147.56
French Polynesia,2013,2998.45,110.59,123.51
Gabon,2013,2739.58,91.72,58.66
Gambia,2013,2607.77,57.88,73.97
Georgia,2013,2834.43,81.46,75.28
Germany,2013,3594.04,108.94,146.58
Ghana,2013,2885.66,65.05,43.33
Greece,2013,3506.88,112.1,153.72
Grenada,2013,2420.59,81.07,76.77
Guatemala,2013,2484.17,65.44,62.52
Guinea,2013,2584.45,54.86,70.36
Guinea-Bissau,2013,2193.87,48.64,60.91
Guyana,2013,2719.96,87.31,56.61
Haiti,2013,2163.98,49.81,53.91
Honduras,2013,2610.74,58.35,80.67
Hungary,2013,3027.5,82.25,135.42
Iceland,2013,3362.47,136.91,146.67
India,2013,2420.02,62.48,50.15
Indonesia,2013,2743.55,71.46,49.61
Iran (Islamic Republic of),2013,2909.91,84.82,72.58
Iraq,2013,2595.81,68.47,68.52
Ireland,2013,3677.82,119.73,128.83
Israel,2013,3611.65,128.86,154.51
Italy,2013,3639.77,117.45,159.43
Jamaica,2013,2804.66,85.1,77.45
Jordan,2013,2709.93,76.68,87.24
Kazakhstan,2013,2883.07,87.67,114.14
Kenya,2013,2233.44,59.13,54.12
Kiribati,2013,3018.58,74.9,129.87
Kuwait,2013,3589.57,115.84,113.09
Kyrgyzstan,2013,2696.51,86.7,69.58
Lao People's Democratic Republic,2013,3067.8,74.73,34.93
Latvia,2013,3256.75,101.96,124.61
Lebanon,2013,2967.56,80.56,105.19
Lesotho,2013,2336.96,61.7,32.25
Liberia,2013,2074.29,39.47,56.65
Libya,2013,2981.04,87.5,94.58
Lithuania,2013,3385.71,119.17,98.92
Luxembourg,2013,3416.94,116.27,133.09
Madagascar,2013,2049.18,42.17,21.99
Malawi,2013,2585.96,62.35,36.86
Malaysia,2013,2845.66,91.58,86.76
Maldives,2013,2638.29,118.2,57.89
Malta,2013,3534.42,114.47,121.19
Mauritania,2013,2917.79,84.04,79.01
Mauritius,2013,2963.84,92.34,93.98
Mexico,2013,3121.47,93.11,93.85
Mongolia,2013,2561.18,95.92,103.41
Montenegro,2013,3325.45,116.69,123.77
Morocco,2013,3338.43,98.76,68.01
Mozambique,2013,2200.95,46.02,41.03
Myanmar,2013,2704.65,90.32,74.18
Namibia,2013,2442.64,66.82,62.41
Nepal,2013,2626.9,70.76,55.8
Netherlands (Kingdom of the),2013,3215.29,114.34,125.48
New Caledonia,2013,2755.89,93.66,114.33
New Zealand,2013,3297.18,103.42,126.52
Nicaragua,2013,2570.68,63.41,55.9
Niger,2013,2520.82,87.02,51.85
Nigeria,2013,2502.36,59.8,59.89
North Macedonia,2013,3103.26,86.59,107.99
Norway,2013,3562.33,129.01,137.72
Oman,2013,2994.93,93.48,84.37
Pakistan,2013,2366.23,67.16,72.02
Panama,2013,2786.41,82.94,86.41
