country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2022,2268.63,61.55,44.6
Albania,2022,3263.47,114.15,117.94
Algeria,2022,3417.1,95.37,98.51
Angola,2022,2426.99,49.66,51.35
Antigua and Barbuda,2022,2512.09,98.75,98.19
Argentina,2022,3355.13,121.3,140.26
Armenia,2022,3139.31,104.57,111.72
Australia,2022,3539.56,119.16,160.11
Austria,2022,3802.17,109.88,186.41
Azerbaijan,2022,3312.6,98.05,100.54
Bahamas,2022,2657.3,102.83,107.18
Bahrain,2022,3493.86,108.22,135.2
Bangladesh,2022,2619.73,68.88,42.71
Barbados,2022,3122.34,109.53,101.07
Belarus,2022,3431.01,117.98,131.21
Belgium,2022,3918.0,114.58,188.27
Belize,2022,2837.46,89.75,102.04
Bhutan,2022,3174.82,74.36,81.98
Bolivia (Plurinational State of),2022,2363.69,80.83,57.11
Bosnia and Herzegovina,2022,3441.71,109.28,94.66
Botswana,2022,2738.33,76.88,68.69
Brazil,2022,3419.51,104.27,141.98
Bulgaria,2022,3003.44,84.65,143.49
Burkina Faso,2022,2758.83,94.96,58.73
Cabo Verde,2022,2773.12,85.22,75.92
Cambodia,2022,2623.59,60.06,30.96
Cameroon,2022,2936.36,72.99,60.12
Canada,2022,3581.86,115.58,159.79
Chile,2022,3110.53,102.1,97.32
China,2022,3461.13,127.94,96.14
"China, Hong Kong SAR",2022,2909.83,121.42,117.7
"China, Macao SAR",2022,2898.88,112.06,119.85
"China, Taiwan Province of",2022,2974.34,101.32,133.17
"China, mainland",2022,3472.29,128.41,95.41
Colombia,2022,3127.46,83.87,103.71
Comoros,2022,2416.87,65.99,55.81
Congo,2022,2152.28,55.63,51.61
Costa Rica,2022,3012.99,88.71,110.1
Croatia,2022,3416.49,112.66,139.58
Cyprus,2022,2867.17,96.39,110.32
Czechia,2022,3393.45,96.88,159.73
Côte d'Ivoire,2022,2946.38,67.07,51.57
Democratic Republic of the Congo,2022,2033.1,28.47,21.27
Denmark,2022,3785.39,125.74,156.64
Djibouti,2022,2695.06,75.53,60.09
Dominican Republic,2022,3269.26,87.0,113.83
Ecuador,2022,2570.31,68.64,100.42
Egypt,2022,3107.94,90.33,58.41
El Salvador,2022,2891.7,86.35,75.73
Estonia,2022,3303.88,110.89,140.95
Eswatini,2022,2554.05,58.49,58.29
Ethiopia,2022,2563.25,79.53,44.57
Fiji,2022,2898.13,84.34,88.64
Finland,2022,3372.04,125.93,124.77
France,2022,3532.28,116.8,150.63
French Polynesia,2022,3098.13,113.74,129.02
Gabon,2022,2636.74,84.72,65.52
Gambia,2022,2437.76,59.23,49.14
Georgia,2022,2998.67,87.72,90.04
Germany,2022,3600.29,109.12,164.14
Ghana,2022,3137.64,68.96,50.4
Greece,2022,3344.94,109.91,142.26
Grenada,2022,2771.53,97.63,113.22
Guatemala,2022,2781.25,71.71,71.83
Guinea,2022,2901.29,57.62,64.14
Guinea-Bissau,2022,2440.0,50.01,75.77
Guyana,2022,3238.88,109.43,74.57
Haiti,2022,1912.47,43.61,40.89
Honduras,2022,2631.64,62.93,87.49
Hungary,2022,3482.06,91.31,162.05
Iceland,2022,3701.19,151.4,161.96
India,2022,2594.89,73.19,63.18
Indonesia,2022,2906.76,78.31,79.45
Iran (Islamic Republic of),2022,2882.49,80.98,78.18
Iraq,2022,2703.57,69.01,66.91
Ireland,2022,3947.21,136.96,161.33
Israel,2022,3916.81,138.17,167.32
Italy,2022,3709.26,115.28,159.96
Jamaica,2022,2915.25,92.27,86.15
Jordan,2022,2609.38,72.65,85.12
Kazakhstan,2022,3161.89,101.25,122.98
Kenya,2022,2137.61,56.54,51.07
Kiribati,2022,3076.6,84.35,130.19
Kuwait,2022,3199.95,100.34,112.52
Kyrgyzstan,2022,2720.61,93.83,79.91
Lao People's Democratic Republic,2022,3166.97,80.87,42.65
Latvia,2022,3282.47,105.94,147.06
Lebanon,2022,2831.86,78.85,91.2
Lesotho,2022,1814.45,48.39,36.81
Liberia,2022,2105.7,45.5,41.75
Libya,2022,2936.26,87.18,111.25
Lithuania,2022,3359.86,127.1,128.04
Luxembourg,2022,3498.93,118.94,135.63
Madagascar,2022,2013.99,40.07,21.8
Malawi,2022,2614.3,65.72,45.23
Malaysia,2022,2990.53,94.23,100.24
Maldives,2022,2671.93,100.43,77.15
Malta,2022,3379.84,103.97,123.8
Marshall Islands,2022,3251.79,112.69,150.08
Mauritania,2022,2954.96,86.62,66.38
Mauritius,2022,3207.72,102.2,113.26
Mexico,2022,3263.41,99.45,107.36
Micronesia (Federated States of),2022,2736.16,74.88,120.94
Mongolia,2022,3093.6,135.32,132.04
Montenegro,2022,3686.71,133.53,143.66
Morocco,2022,3322.42,97.93,75.77
Mozambique,2022,2245.93,46.56,46.3
Myanmar,2022,2805.81,78.7,56.73
