country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2021,2244.73,61.36,42.03
Albania,2021,3068.29,105.18,109.58
Algeria,2021,3453.56,94.15,97.75
Angola,2021,2406.24,49.14,51.18
Antigua and Barbuda,2021,2457.8,95.61,98.19
Argentina,2021,3341.96,119.98,136.52
Armenia,2021,3138.89,105.88,111.08
Australia,2021,3473.79,117.84,157.17
Austria,2021,3792.9,107.95,184.73
Azerbaijan,2021,3360.14,99.24,99.04
Bahamas,2021,2676.02,102.66,106.48
Bahrain,2021,3441.49,104.66,128.65
Bangladesh,2021,2595.44,67.88,42.28
Barbados,2021,3179.2,109.09,106.32
Belarus,2021,3415.41,114.16,131.36
Belgium,2021,3911.82,114.02,180.58
Belize,2021,2834.43,82.22,106.31
Bhutan,2021,3237.69,76.51,86.46
Bolivia (Plurinational State of),2021,2387.63,81.11,57.35
Bosnia and Herzegovina,2021,3375.76,109.26,93.41
Botswana,2021,2695.75,74.67,68.61
Brazil,2021,3374.66,103.02,140.35
Bulgaria,2021,2983.54,91.11,129.5
Burkina Faso,2021,2664.25,89.25,58.59
Cabo Verde,2021,2821.57,84.61,77.0
Cambodia,2021,2694.31,60.75,35.23
Cameroon,2021,2867.1,72.96,60.49
Canada,2021,3583.96,113.71,159.81
Chile,2021,3136.64,105.5,99.51
China,2021,3408.66,126.01,95.43
"China, Hong Kong SAR",2021,3045.8,140.59,125.41
"China, Macao SAR",2021,2908.56,114.34,121.99
"China, Taiwan Province of",2021,2953.45,98.28,132.13
"China, mainland",2021,3418.33,126.4,94.65
Colombia,2021,3113.62,81.22,106.83
Comoros,2021,2443.91,66.16,58.48
Congo,2021,2174.03,54.91,56.93
Costa Rica,2021,3041.69,87.93,114.11
Croatia,2021,3382.85,111.7,137.8
Cyprus,2021,2867.39,97.62,109.57
Czechia,2021,3380.83,96.63,159.05
Côte d'Ivoire,2021,2923.48,65.36,54.11
Democratic Republic of the Congo,2021,2047.24,28.6,21.58
Denmark,2021,3802.28,127.2,165.95
Djibouti,2021,2763.4,75.12,67.03
Dominican Republic,2021,3163.43,83.28,106.41
Ecuador,2021,2578.48,69.48,105.37
Egypt,2021,3081.45,90.59,59.39
El Salvador,2021,2828.69,85.92,72.84
Estonia,2021,3241.57,110.65,139.63
Eswatini,2021,2514.07,60.04,60.82
Ethiopia,2021,2556.18,79.8,44.55
Fiji,2021,2925.33,80.15,88.06
Finland,2021,3335.91,124.7,127.61
France,2021,3489.97,119.23,147.82
French Polynesia,2021,3139.39,112.61,129.17
Gabon,2021,2632.34,86.55,62.64
Gambia,2021,2380.52,58.06,51.85
Georgia,2021,3010.86,88.85,86.96
Germany,2021,3607.75,110.18,164.57
Ghana,2021,3143.69,70.92,48.52
Greece,2021,3350.12,106.06,153.1
Grenada,2021,2765.68,102.52,104.54
Guatemala,2021,2746.33,69.49,69.97
Guinea,2021,2867.21,57.23,61.32
Guinea-Bissau,2021,2520.65,52.49,77.04
Guyana,2021,3153.66,106.39,69.25
Haiti,2021,2089.54,48.12,43.01
Honduras,2021,2661.35,63.48,90.42
Hungary,2021,3420.12,92.84,154.7
Iceland,2021,3643.28,149.66,160.59
India,2021,2550.03,70.9,61.22
Indonesia,2021,2868.96,77.4,77.42
Iran (Islamic Republic of),2021,2865.77,81.77,78.98
Iraq,2021,2697.06,70.77,64.56
Ireland,2021,3886.1,138.88,155.14
Israel,2021,3842.17,135.64,163.68
Italy,2021,3689.83,116.73,159.77
Jamaica,2021,2862.18,89.63,84.15
Jordan,2021,2552.68,72.74,85.45
Kazakhstan,2021,3103.08,98.06,123.54
Kenya,2021,2162.74,55.72,52.38
Kiribati,2021,3120.95,87.57,128.56
Kuwait,2021,3409.35,108.12,119.78
Kyrgyzstan,2021,2595.65,87.99,76.57
Lao People's Democratic Republic,2021,3123.63,81.17,42.72
Latvia,2021,3253.6,105.53,147.53
Lebanon,2021,2843.13,80.51,90.42
Lesotho,2021,1812.37,49.25,36.11
Liberia,2021,2074.36,45.71,38.99
Libya,2021,2998.82,94.85,102.86
Lithuania,2021,3366.19,126.98,124.28
Luxembourg,2021,3458.19,117.17,131.49
Madagascar,2021,1926.26,38.73,21.83
Malawi,2021,2642.28,66.23,43.62
Malaysia,2021,2919.14,89.94,102.05
Maldives,2021,2634.44,98.5,74.29
Malta,2021,3341.4,101.47,128.87
Marshall Islands,2021,3214.38,116.11,153.12
Mauritania,2021,2887.71,83.79,65.2
Mauritius,2021,3110.2,97.17,103.15
Mexico,2021,3267.92,98.52,105.74
Micronesia (Federated States of),2021,2804.84,78.17,123.34
Mongolia,2021,3043.5,126.09,126.16
Montenegro,2021,3683.86,130.42,140.18
Morocco,2021,3380.26,101.05,76.84
Mozambique,2021,2193.57,45.55,40.88
Myanmar,2021,2837.22,80.78,56.69
Namibia,2021,2485.21,66.22,66.62
Nauru,2021,3001.03,111.76,130.11
Nepal,2021,2994.01,84.64,65.18
Netherlands (Kingdom of the),2021,3462.13,112.08,142.74
New Caledonia,2021,2977.51,103.12,119.24
New Zealand,2021,3151.23,99.81,119.18
Nicaragua,2021,2751.13,74.16,64.82
Niger,2021,2583.45,90.02,59.02
Nigeria,2021,2546.54,58.92,63.01
North Macedonia,2021,3569.87,104.4,122.5
Norway,2021,3507.65,128.41,139.92
Oman,2021,3033.5,94.22,97.85
Pakistan,2021,2587.96,74.02,89.39
Panama,2021,3052.38,95.4,108.82
Papua New Guinea,2021,2175.17,61.14,65.51
Paraguay,2021,3098.45,75.34,85.26
Peru,2021,2848.28,89.58,70.21
Philippines,2021,2834.88,75.79,54.6
Poland,2021,3678.89,119.69,137.7
Portugal,2021,3486.4,117.93,147.77
Qatar,2021,3311.52,111.15,108.6
Republic of Korea,2021,3409.02,108.16,126.92
Republic of Moldova,2021,3001.21,89.65,93.12
Romania,2021,3660.52,110.59,136.01
Russian Federation,2021,3432.24,114.74,121.48
Rwanda,2021,2336.03,57.24,35.09
Saint Kitts and Nevis,2021,2898.57,100.85,114.31
Saint Lucia,2021,2720.57,109.73,91.72
Saint Vincent and the Grenadines,2021,2986.96,116.2,96.09
Samoa,2021,3154.87,108.73,108.96
Sao Tome and Principe,2021,2431.33,60.73,58.71
Saudi Arabia,2021,3730.01,108.13,115.7
Senegal,2021,2736.45,67.7,76.08
Serbia,2021,3816.85,132.57,114.31
Seychelles,2021,2875.01,101.53,86.7
Sierra Leone,2021,2366.67,57.78,41.0
Slovakia,2021,2979.09,78.55,149.38
Slovenia,2021,3089.07,101.42,111.8
Solomon Islands,2021,2255.97,56.07,54.75
South Africa,2021,2686.49,79.64,93.67
Spain,2021,3375.7,113.31,157.9
Sri Lanka,2021,2937.42,75.34,48.29
Suriname,2021,2610.85,73.75,72.24
Sweden,2021,3298.19,112.08,137.97
Switzerland,2021,3440.02,103.12,163.99
Syrian Arab Republic,2021,2390.08,73.07,67.95
Tajikistan,2021,2710.88,81.87,80.67
Thailand,2021,2858.29,68.12,63.45
Timor-Leste,2021,2240.85,61.0,56.61
Tonga,2021,3032.85,139.63,128.19
Trinidad and Tobago,2021,2999.19,87.32,100.0
Tunisia,2021,3531.27,106.59,97.38
Turkmenistan,2021,2871.17,102.95,91.27
Tuvalu,2021,3212.33,100.69,112.89
Türkiye,2021,3745.52,113.51,135.6
Uganda,2021,2295.26,51.7,52.84
Ukraine,2021,2885.65,89.13,85.01
United Arab Emirates,2021,3171.17,113.43,131.51
United Kingdom of Great Britain and Northern Ireland,2021,3322.56,108.49,137.71
United Republic of Tanzania,2021,2417.57,58.19,59.3
United States of America,2021,3875.35,121.05,178.72
Uruguay,2021,3317.73,102.21,122.87
Uzbekistan,2021,3241.81,103.69,104.05
Vanuatu,2021,2916.29,78.09,117.37
