country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2017,2307.21,65.33,40.86
Albania,2017,3354.93,116.34,118.11
Algeria,2017,3349.87,91.18,100.33
Angola,2017,2449.86,52.91,58.59
Antigua and Barbuda,2017,2448.38,95.42,93.78
Argentina,2017,3178.47,109.78,115.26
Armenia,2017,3064.87,105.43,108.42
Australia,2017,3472.98,117.43,158.75
Austria,2017,3761.97,107.81,172.47
Azerbaijan,2017,3111.73,95.09,79.32
Bahamas,2017,2623.63,92.13,94.54
Bangladesh,2017,2488.05,61.19,34.02
Barbados,2017,3032.73,103.47,93.73
Belarus,2017,3314.59,101.29,134.61
Belgium,2017,3795.17,99.66,171.99
Belize,2017,2777.86,77.48,94.62
Bolivia (Plurinational State of),2017,2380.25,80.59,61.25
Bosnia and Herzegovina,2017,3304.25,106.23,92.9
Botswana,2017,2572.09,64.1,60.22
Brazil,2017,3296.82,104.43,124.05
Bulgaria,2017,2855.27,90.99,97.69
Burkina Faso,2017,2610.01,73.04,61.45
Cabo Verde,2017,2710.05,83.42,71.58
Cambodia,2017,2673.85,61.58,35.33
Cameroon,2017,2779.0,73.75,59.24
Canada,2017,3569.68,113.57,159.02
Chile,2017,2956.5,100.96,83.84
China,2017,3258.41,118.59,88.6
"China, Hong Kong SAR",2017,3155.46,148.15,124.92
"China, Macao SAR",2017,3156.3,122.24,141.98
"China, Taiwan Province of",2017,2930.44,93.4,123.52
"China, mainland",2017,3264.49,118.86,87.8
Colombia,2017,3052.02,78.48,96.9
Comoros,2017,2495.3,64.9,67.9
Congo,2017,2124.7,52.98,49.2
Costa Rica,2017,3056.04,82.47,112.4
Croatia,2017,3174.85,100.2,115.74
Cuba,2017,3459.98,99.73,78.18
Cyprus,2017,2863.39,95.27,106.54
Czechia,2017,3298.72,95.19,142.46
Côte d'Ivoire,2017,2805.04,64.44,49.85
Democratic People's Republic of Korea,2017,2040.98,58.42,34.06
Democratic Republic of the Congo,2017,2121.05,29.6,25.7
Denmark,2017,3656.42,123.4,155.66
Djibouti,2017,2703.37,72.33,62.21
Dominican Republic,2017,2939.87,71.56,109.56
Ecuador,2017,2549.78,67.13,96.44
Egypt,2017,3149.92,91.88,55.91
El Salvador,2017,2750.76,80.2,66.39
Estonia,2017,3101.95,106.54,116.96
Eswatini,2017,2412.58,58.34,52.38
Ethiopia,2017,2523.13,80.27,37.06
Fiji,2017,2726.68,75.92,86.65
Finland,2017,3269.79,120.93,131.16
France,2017,3452.03,118.11,143.15
French Polynesia,2017,2923.92,107.45,118.25
Gabon,2017,2610.08,88.16,60.12
Gambia,2017,2498.57,61.4,56.62
Georgia,2017,2891.54,84.08,77.85
Germany,2017,3554.88,108.84,147.02
Ghana,2017,2888.48,63.17,40.81
Greece,2017,3371.83,105.55,151.51
Grenada,2017,2602.03,91.69,91.53
Guatemala,2017,2606.19,71.08,63.45
Guinea,2017,2664.44,53.76,69.21
Guinea-Bissau,2017,2603.11,56.11,81.89
Guyana,2017,3048.12,98.43,58.15
Haiti,2017,2183.03,52.45,51.07
Honduras,2017,2613.8,60.2,80.01
Hungary,2017,3236.5,91.64,147.41
Iceland,2017,3633.78,152.54,167.07
India,2017,2513.81,66.78,56.69
Indonesia,2017,2950.85,80.78,61.53
Iran (Islamic Republic of),2017,2858.73,83.93,72.82
Iraq,2017,2624.16,71.56,68.1
Ireland,2017,3947.62,126.04,153.08
Israel,2017,3738.66,130.82,165.29
Italy,2017,3530.86,112.71,151.26
Jamaica,2017,2850.57,83.85,81.14
Jordan,2017,2719.21,72.4,85.79
Kazakhstan,2017,2986.28,93.68,119.1
Kenya,2017,2192.95,58.87,49.07
Kiribati,2017,3066.99,79.84,126.68
Kuwait,2017,3413.71,108.0,104.5
Kyrgyzstan,2017,2685.92,85.26,69.7
Lao People's Democratic Republic,2017,3118.33,78.64,39.59
Latvia,2017,3227.63,108.27,129.23
