country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2003,1892.0,54.54,29.99
Albania,2003,2772.0,95.79,82.36
Algeria,2003,2970.0,82.16,60.98
Angola,2003,1983.0,43.28,43.24
Argentina,2003,3009.0,92.55,98.93
Armenia,2003,2432.0,70.15,57.49
Australia,2003,3104.0,109.64,130.99
Austria,2003,3609.0,102.09,151.28
Azerbaijan,2003,2554.0,73.1,46.38
Bahamas,2003,2686.0,87.0,91.6
Bangladesh,2003,2350.0,51.21,25.82
Barbados,2003,2838.0,85.74,86.01
Belarus,2003,2821.0,85.38,93.78
Belgium,2003,3717.0,99.47,162.06
Belize,2003,2806.0,78.65,71.31
Benin,2003,2360.0,56.73,51.89
Bermuda,2003,2490.0,78.17,111.95
Bolivia (Plurinational State of),2003,2117.0,57.25,45.45
Bosnia and Herzegovina,2003,2834.0,81.25,57.87
Botswana,2003,2113.0,61.22,48.43
Brazil,2003,3067.0,84.42,103.63
Brunei Darussalam,2003,2976.0,90.6,82.89
Bulgaria,2003,2757.0,78.55,94.36
Burkina Faso,2003,2492.0,75.86,59.28
Cabo Verde,2003,2414.0,63.9,65.19
Cambodia,2003,2261.0,54.57,32.65
Cameroon,2003,2233.0,57.25,49.45
Canada,2003,3518.0,104.01,148.12
Central African Republic,2003,1966.0,46.7,64.87
Chad,2003,2024.0,63.67,59.62
Chile,2003,2891.0,83.69,85.71
China,2003,2838.0,84.97,79.41
"China, Hong Kong SAR",2003,3179.0,98.9,137.97
"China, Macao SAR",2003,2647.0,81.42,113.62
"China, Taiwan Province of",2003,2991.0,90.52,128.29
"China, mainland",2003,2833.0,84.8,78.25
Colombia,2003,2798.0,63.1,72.74
Congo,2003,2236.0,47.08,55.06
Costa Rica,2003,2749.0,70.59,78.14
Croatia,2003,2868.0,75.65,88.53
Cuba,2003,3246.0,76.93,50.54
Cyprus,2003,2611.0,80.14,106.16
Czechia,2003,3319.0,92.99,120.35
Côte d'Ivoire,2003,2688.0,53.2,56.72
Democratic People's Republic of Korea,2003,2189.0,59.42,36.55
Denmark,2003,3343.0,103.36,130.11
Djibouti,2003,2094.0,50.93,52.35
Dominica,2003,3006.0,87.8,82.79
Dominican Republic,2003,2143.0,43.89,74.07
Ecuador,2003,2202.0,54.85,81.88
Egypt,2003,3379.0,95.86,59.1
El Salvador,2003,2597.0,69.66,60.5
Estonia,2003,3074.0,90.52,101.62
Eswatini,2003,2436.0,66.96,48.72
Ethiopia,2003,1884.0,54.32,20.3
Fiji,2003,2892.0,75.35,94.31
Finland,2003,3154.0,104.3,125.98
France,2003,3587.0,116.25,168.41
French Polynesia,2003,2869.0,97.49,119.28
Gabon,2003,2661.0,73.87,55.63
Gambia,2003,2455.0,59.87,79.5
Georgia,2003,2864.0,83.37,57.07
Germany,2003,3390.0,97.95,139.19
Ghana,2003,2669.0,55.14,42.03
Greece,2003,3651.0,117.79,146.97
Grenada,2003,2313.0,71.36,84.15
Guatemala,2003,2345.0,60.18,53.54
Guinea,2003,2400.0,52.35,55.72
Guinea-Bissau,2003,2227.0,42.48,52.96
Guyana,2003,2711.0,80.26,54.63
Haiti,2003,1872.0,42.96,36.56
Honduras,2003,2482.0,63.2,66.43
Hungary,2003,3061.0,87.27,129.19
Iceland,2003,3236.0,129.47,138.85
India,2003,2282.0,54.32,45.04
Indonesia,2003,2468.0,53.46,48.39
