country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2023,2314.63,62.58,43.33
Albania,2023,3237.8,113.95,115.45
Algeria,2023,3396.01,93.59,101.81
Angola,2023,2399.33,47.47,49.54
Antigua and Barbuda,2023,2544.28,98.12,104.68
Argentina,2023,3360.43,121.54,136.75
Armenia,2023,3129.25,103.18,108.94
Australia,2023,3561.93,124.99,159.07
Austria,2023,3755.86,108.46,186.87
Azerbaijan,2023,3339.19,101.95,94.86
Bahamas,2023,2672.43,104.78,117.42
Bahrain,2023,3422.85,99.79,135.25
Bangladesh,2023,2587.65,67.99,42.76
Barbados,2023,3117.97,108.64,102.35
Belarus,2023,3396.26,127.95,125.35
Belgium,2023,3921.31,120.26,170.09
Belize,2023,2831.81,88.63,99.47
Bhutan,2023,3106.71,71.76,80.55
Bolivia (Plurinational State of),2023,2373.67,80.84,57.2
Bosnia and Herzegovina,2023,3457.78,113.72,96.7
Botswana,2023,2713.86,73.01,65.14
Brazil,2023,3423.45,106.5,141.32
Bulgaria,2023,2999.6,86.49,139.66
Burkina Faso,2023,2790.88,92.56,64.09
Cabo Verde,2023,2793.61,82.7,84.28
Cambodia,2023,2642.91,64.43,34.63
Cameroon,2023,2900.97,71.3,60.54
Canada,2023,3590.04,112.92,163.09
Chile,2023,3057.47,105.13,94.59
China,2023,3513.91,130.99,100.89
"China, Hong Kong SAR",2023,2827.73,118.32,108.77
"China, Macao SAR",2023,2928.55,117.74,125.24
"China, Taiwan Province of",2023,2958.35,98.77,128.38
"China, mainland",2023,3526.9,131.59,100.38
Colombia,2023,3126.32,83.15,103.58
Comoros,2023,2390.16,63.04,58.87
Congo,2023,2187.12,58.89,54.71
Costa Rica,2023,3061.13,91.85,107.82
Croatia,2023,3447.57,115.3,139.73
Cyprus,2023,2876.46,98.73,109.36
Czechia,2023,3384.27,96.08,159.05
Côte d'Ivoire,2023,2937.75,65.01,56.3
Democratic Republic of the Congo,2023,2014.82,27.72,20.35
Denmark,2023,3733.87,126.33,150.78
Djibouti,2023,2720.97,74.87,67.34
Dominican Republic,2023,3313.44,90.04,115.99
Ecuador,2023,2620.91,69.6,104.35
Egypt,2023,3094.01,89.77,54.47
El Salvador,2023,2896.33,88.88,75.71
Estonia,2023,3286.52,112.13,135.55
Eswatini,2023,2573.77,58.78,58.01
Ethiopia,2023,2558.42,79.88,43.96
Fiji,2023,2938.04,87.01,94.45
Finland,2023,3345.6,126.14,123.78
France,2023,3489.55,115.99,149.13
French Polynesia,2023,3044.82,110.79,124.52
Gabon,2023,2686.47,84.78,64.23
Gambia,2023,2402.32,58.12,45.99
Georgia,2023,2999.83,90.25,91.78
Germany,2023,3534.54,109.22,162.28
Ghana,2023,3124.99,67.94,48.71
Greece,2023,3381.65,112.03,156.16
Grenada,2023,2826.85,98.43,115.26
Guatemala,2023,2823.17,74.39,76.97
Guinea,2023,2947.55,58.23,65.94
Guinea-Bissau,2023,2559.62,52.12,84.16
Guyana,2023,3318.06,114.21,77.01
Haiti,2023,1958.81,46.01,37.03
Honduras,2023,2628.13,63.03,86.77
Hungary,2023,3549.11,93.64,152.69
Iceland,2023,3681.06,151.69,163.24
India,2023,2668.5,74.57,65.74
Indonesia,2023,2900.3,77.8,80.35
Iran (Islamic Republic of),2023,2875.16,79.61,83.28
Iraq,2023,2763.82,74.51,59.41
Ireland,2023,3920.92,136.88,153.94
Israel,2023,3753.9,130.74,155.52
Italy,2023,3752.66,116.6,160.79
Jamaica,2023,2892.06,91.68,88.15
Jordan,2023,2555.98,71.1,84.47
Kazakhstan,2023,3135.92,106.7,117.01
Kenya,2023,2146.01,55.77,48.6
Kiribati,2023,3125.69,83.37,130.54
Kuwait,2023,3135.58,95.5,108.72
Kyrgyzstan,2023,2763.23,92.84,83.65
Lao People's Democratic Republic,2023,3188.1,81.68,42.14
Latvia,2023,3342.19,110.83,151.45
Lebanon,2023,2827.67,79.58,89.83
Lesotho,2023,1872.7,50.54,42.06
Liberia,2023,2135.15,45.04,44.21
Libya,2023,2867.18,86.53,111.03
Lithuania,2023,3347.5,123.76,128.03
Luxembourg,2023,3521.85,122.55,130.33
Madagascar,2023,1977.96,39.53,21.84
Malawi,2023,2618.32,65.67,46.27
Malaysia,2023,2926.51,93.33,100.94
Maldives,2023,2671.39,97.41,78.48
Malta,2023,3406.62,105.84,127.55
Marshall Islands,2023,3322.43,119.04,161.73
Mauritania,2023,2909.38,83.2,74.51
Mauritius,2023,3255.54,104.96,112.45
Mexico,2023,3304.56,100.29,109.87
Micronesia (Federated States of),2023,2633.2,71.96,124.1
Mongolia,2023,3031.07,132.13,128.75
Montenegro,2023,3669.43,134.43,143.66
Morocco,2023,3353.86,98.09,75.25
Mozambique,2023,2186.13,44.69,40.1
Myanmar,2023,2809.02,78.39,58.75
Namibia,2023,2581.16,64.23,62.72
Nauru,2023,3087.34,111.13,124.83
Nepal,2023,2919.77,81.74,62.28
Netherlands (Kingdom of the),2023,3466.98,117.08,142.26
New Caledonia,2023,3016.42,105.77,124.18
New Zealand,2023,3121.5,100.93,105.01
Nicaragua,2023,2760.19,73.77,65.64
Niger,2023,2654.02,92.53,59.5
Nigeria,2023,2470.11,57.03,62.67
North Macedonia,2023,3475.55,103.11,116.0
Norway,2023,3475.59,125.45,137.28
Oman,2023,2981.33,85.62,97.46
Pakistan,2023,2513.76,73.39,86.23
Panama,2023,3104.59,93.54,101.88
Papua New Guinea,2023,2177.1,62.19,64.36
Paraguay,2023,3067.06,66.47,95.0
Peru,2023,2810.52,88.55,67.11
Philippines,2023,2982.9,77.49,57.95
Poland,2023,3730.14,117.73,141.12
Portugal,2023,3552.93,126.35,141.4
Qatar,2023,3251.08,105.09,108.97
Republic of Korea,2023,3430.35,110.69,126.35
Republic of Moldova,2023,2991.25,93.1,86.92
Romania,2023,3648.94,112.42,137.57
Russian Federation,2023,3528.4,117.83,127.12
Rwanda,2023,2404.9,57.05,36.72
Saint Kitts and Nevis,2023,2853.54,90.98,119.75
Saint Lucia,2023,2654.32,93.03,91.06
Saint Vincent and the Grenadines,2023,3042.94,114.02,106.62
Samoa,2023,3116.51,105.3,111.03
Sao Tome and Principe,2023,2279.41,54.39,66.56
Saudi Arabia,2023,3659.84,103.8,109.04
Senegal,2023,2847.77,71.66,71.75
Serbia,2023,3878.93,135.58,113.87
Seychelles,2023,2888.64,104.35,85.73
Sierra Leone,2023,2437.3,57.58,37.75
Slovakia,2023,2979.96,81.31,139.38
Slovenia,2023,3200.29,101.46,110.71
Solomon Islands,2023,2165.63,54.5,53.25
South Africa,2023,2693.94,79.18,95.57
Spain,2023,3377.16,117.64,152.8
Sri Lanka,2023,2675.11,67.54,39.61
Suriname,2023,2539.07,68.32,69.5
Sweden,2023,3366.78,112.8,146.57
Switzerland,2023,3402.39,101.41,162.33
Syrian Arab Republic,2023,2259.36,70.56,65.45
Tajikistan,2023,2711.69,83.14,86.23
Thailand,2023,2855.27,68.63,57.28
Timor-Leste,2023,2276.55,65.4,61.36
Tonga,2023,3059.05,129.3,124.12
Trinidad and Tobago,2023,2945.7,87.44,107.34
