country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2008,2041.0,56.96,29.72
Albania,2008,2947.0,101.95,95.42
Algeria,2008,3048.0,83.45,67.22
Angola,2008,2245.0,51.32,48.42
Argentina,2008,3158.0,99.35,111.29
Armenia,2008,2869.0,87.6,81.67
Australia,2008,3199.0,106.45,141.0
Austria,2008,3717.0,101.78,161.86
Azerbaijan,2008,3026.0,89.07,49.39
Bahamas,2008,2585.0,83.14,93.54
Bangladesh,2008,2386.0,52.16,27.64
Barbados,2008,2884.0,86.79,91.35
Belarus,2008,3200.0,90.86,119.11
Belgium,2008,3702.0,98.38,162.36
Belize,2008,2719.0,69.29,69.04
Benin,2008,2521.0,62.77,49.91
Bermuda,2008,2701.0,90.09,122.49
Bolivia (Plurinational State of),2008,2146.0,63.4,50.7
Bosnia and Herzegovina,2008,3107.0,90.86,72.13
Botswana,2008,2184.0,59.88,55.39
Brazil,2008,3178.0,88.58,111.14
Brunei Darussalam,2008,2908.0,85.09,82.75
Bulgaria,2008,2782.0,80.01,92.48
Burkina Faso,2008,2588.0,78.32,59.71
Cabo Verde,2008,2540.0,70.75,71.16
Cambodia,2008,2403.0,60.95,35.03
Cameroon,2008,2446.0,65.53,53.49
Canada,2008,3465.0,104.7,145.84
Central African Republic,2008,2133.0,51.26,73.44
Chad,2008,2027.0,61.43,51.74
Chile,2008,2943.0,85.52,86.52
China,2008,2977.0,91.98,89.04
"China, Hong Kong SAR",2008,3241.0,117.96,134.49
"China, Macao SAR",2008,2843.0,92.02,125.14
"China, Taiwan Province of",2008,2925.0,89.9,128.29
"China, mainland",2008,2977.0,91.88,88.12
Colombia,2008,2807.0,64.81,77.21
Congo,2008,2110.0,44.17,44.91
Costa Rica,2008,2844.0,75.33,87.65
Croatia,2008,3109.0,82.62,122.73
Cuba,2008,3120.0,89.93,58.12
Cyprus,2008,2657.0,81.82,115.2
Czechia,2008,3268.0,93.79,137.67
Côte d'Ivoire,2008,2739.0,56.28,49.24
Democratic People's Republic of Korea,2008,2095.0,56.72,34.35
Denmark,2008,3326.0,109.26,127.22
Djibouti,2008,2447.0,61.97,69.37
Dominica,2008,3021.0,91.56,81.47
Dominican Republic,2008,2352.0,54.74,84.63
Ecuador,2008,2297.0,60.04,93.98
Egypt,2008,3490.0,100.12,61.73
El Salvador,2008,2574.0,71.71,58.44
Estonia,2008,3313.0,100.68,93.83
Eswatini,2008,2257.0,56.28,44.46
Ethiopia,2008,2018.0,58.88,26.21
Fiji,2008,2948.0,75.44,93.51
Finland,2008,3236.0,111.77,131.69
France,2008,3551.0,112.58,167.33
French Polynesia,2008,2917.0,99.12,122.64
Gabon,2008,2653.0,78.19,51.4
Gambia,2008,2589.0,62.9,69.18
Georgia,2008,2975.0,79.78,62.08
Germany,2008,3517.0,101.28,144.11
Ghana,2008,2950.0,63.53,49.98
Greece,2008,3519.0,111.93,152.45
Grenada,2008,2426.0,73.93,87.12
Guatemala,2008,2378.0,60.22,58.89
Guinea,2008,2534.0,53.55,57.09
Guinea-Bissau,2008,2304.0,44.28,59.37
Guyana,2008,2599.0,74.12,52.01
Haiti,2008,2014.0,45.39,41.87
Honduras,2008,2603.0,68.04,73.35
Hungary,2008,3149.0,86.46,139.12
Iceland,2008,3428.0,134.23,149.68
India,2008,2427.0,58.35,49.35
Indonesia,2008,2544.0,56.6,51.42
Iran (Islamic Republic of),2008,3012.0,81.72,76.04
Iraq,2008,2358.0,57.55,59.48
Ireland,2008,3582.0,112.3,133.24
Israel,2008,3523.0,128.22,147.4
Italy,2008,3595.0,110.59,155.89
Jamaica,2008,2747.0,76.38,78.45
Japan,2008,2734.0,89.13,88.76
Jordan,2008,3072.0,83.15,86.85
Kazakhstan,2008,3186.0,94.68,121.27
Kenya,2008,2106.0,57.87,48.39
Kiribati,2008,2881.0,69.12,99.47
Kuwait,2008,3512.0,110.27,124.04
Kyrgyzstan,2008,2679.0,81.75,64.02
Lao People's Democratic Republic,2008,2246.0,60.04,34.0
Latvia,2008,3157.0,96.02,120.4
Lebanon,2008,3127.0,83.5,107.54
Lesotho,2008,2558.0,72.12,32.2
Liberia,2008,2227.0,37.08,57.29
Lithuania,2008,3522.0,127.1,102.63
Luxembourg,2008,3511.0,108.17,146.16
Madagascar,2008,2061.0,47.48,27.76
Malawi,2008,2318.0,61.41,37.6
Malaysia,2008,2787.0,75.78,84.06
Maldives,2008,2554.0,94.07,61.32
Mali,2008,2777.0,77.71,62.26
Malta,2008,3371.0,112.39,111.24
Mauritania,2008,2772.0,79.13,72.63
Mauritius,2008,3001.0,84.54,88.41
Mexico,2008,3079.0,88.19,91.06
Mongolia,2008,2375.0,79.26,83.92
Montenegro,2008,3482.0,110.36,120.97
Morocco,2008,3271.0,90.41,63.85
Mozambique,2008,2164.0,43.8,39.25
Myanmar,2008,2372.0,72.11,62.23
Namibia,2008,2120.0,64.11,53.01
Nepal,2008,2490.0,62.95,46.87
Netherlands (Kingdom of the),2008,3228.0,108.0,132.7
Netherlands Antilles (former),2008,3081.0,91.17,78.04
New Caledonia,2008,2775.0,80.74,112.08
New Zealand,2008,3205.0,94.14,120.87
Nicaragua,2008,2467.0,63.49,60.12
Niger,2008,2520.0,79.96,57.31
Nigeria,2008,2723.0,63.65,65.12
North Macedonia,2008,2960.0,76.27,105.61
Norway,2008,3478.0,109.85,147.24
Oman,2008,2944.0,85.99,82.69
Pakistan,2008,2422.0,62.27,73.72
Panama,2008,2523.0,73.31,67.73
Paraguay,2008,2535.0,64.87,90.1
Peru,2008,2525.0,69.78,45.74
Philippines,2008,2583.0,59.52,49.63
Poland,2008,3346.0,97.96,112.18
Portugal,2008,3538.0,114.15,143.83
Republic of Korea,2008,3187.0,93.13,92.57
Republic of Moldova,2008,2788.0,72.07,82.94
Romania,2008,3402.0,110.58,107.62
Russian Federation,2008,3312.0,99.56,95.32
Rwanda,2008,2101.0,53.29,24.74
Saint Kitts and Nevis,2008,2513.0,75.41,86.03
Saint Lucia,2008,2555.0,84.17,78.35
Saint Vincent and the Grenadines,2008,2868.0,86.04,78.3
Samoa,2008,2914.0,79.81,135.37
Sao Tome and Principe,2008,2466.0,57.43,74.64
Saudi Arabia,2008,3014.0,82.61,84.25
Senegal,2008,2439.0,60.51,72.06
Serbia,2008,2722.0,80.57,85.11
Sierra Leone,2008,2197.0,53.61,51.75
Slovakia,2008,2864.0,73.43,97.26
Slovenia,2008,3156.0,101.66,121.9
Solomon Islands,2008,2480.0,54.34,47.74
South Africa,2008,2924.0,81.18,83.33
Spain,2008,3208.0,108.08,144.21
Sri Lanka,2008,2443.0,54.79,44.76
Sudan (former),2008,2344.0,75.57,69.87
Suriname,2008,2645.0,59.06,73.13
Sweden,2008,3128.0,108.93,125.61
Switzerland,2008,3445.0,93.42,158.65
Tajikistan,2008,2082.0,51.66,57.99
Thailand,2008,2757.0,57.68,59.23
Timor-Leste,2008,2061.0,54.95,41.29
Togo,2008,2316.0,53.54,47.46
Trinidad and Tobago,2008,2828.0,72.46,79.89
Tunisia,2008,3302.0,91.81,94.67
Turkmenistan,2008,2872.0,92.73,81.25
Türkiye,2008,3595.0,100.53,110.33
Uganda,2008,2177.0,53.94,45.78
Ukraine,2008,3297.0,91.41,96.98
United Arab Emirates,2008,3149.0,106.29,89.23
United Kingdom of Great Britain and Northern Ireland,2008,3422.0,102.88,140.14
United Republic of Tanzania,2008,2132.0,53.46,41.35
United States of America,2008,3700.0,112.89,161.37
Uruguay,2008,2958.0,89.43,101.57
Uzbekistan,2008,2597.0,76.69,66.82
Vanuatu,2008,2864.0,68.9,101.28
Venezuela (Bolivarian Republic of),2008,2808.0,78.75,88.17
Viet Nam,2008,2615.0,71.0,64.71
Yemen,2008,2134.0,55.94,45.0
Zambia,2008,1801.0,47.84,35.61
Zimbabwe,2008,2094.0,50.71,58.03
