country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2009,2081.0,57.79,30.72
Albania,2009,2993.0,101.91,101.91
Algeria,2009,3110.0,86.53,65.44
Angola,2009,2303.0,51.49,49.2
Argentina,2009,3132.0,98.37,110.93
Armenia,2009,2819.0,84.58,77.87
Australia,2009,3205.0,103.33,143.62
Austria,2009,3723.0,102.36,167.82
Azerbaijan,2009,2995.0,89.37,52.86
Bahamas,2009,2619.0,87.52,98.11
Bangladesh,2009,2425.0,55.23,29.43
Barbados,2009,2909.0,86.01,92.66
Belarus,2009,3126.0,91.56,110.9
Belgium,2009,3697.0,96.11,159.41
Belize,2009,2763.0,69.89,70.63
Benin,2009,2565.0,63.27,47.14
Bermuda,2009,2716.0,90.22,119.73
Bolivia (Plurinational State of),2009,2133.0,62.95,46.45
Bosnia and Herzegovina,2009,3079.0,90.19,70.14
Botswana,2009,2199.0,64.19,57.99
Brazil,2009,3166.0,88.54,110.52
Brunei Darussalam,2009,2892.0,83.89,79.16
Bulgaria,2009,2785.0,80.48,95.77
Burkina Faso,2009,2639.0,79.73,58.42
Cabo Verde,2009,2558.0,70.85,71.43
Cambodia,2009,2417.0,62.38,34.86
Cameroon,2009,2492.0,67.41,53.71
Canada,2009,3440.0,103.14,145.3
Central African Republic,2009,2139.0,52.15,71.39
Chad,2009,2021.0,61.25,48.95
Chile,2009,2892.0,82.1,83.84
China,2009,2995.0,92.72,91.98
"China, Hong Kong SAR",2009,3255.0,124.65,135.78
"China, Macao SAR",2009,2839.0,89.45,125.5
"China, Taiwan Province of",2009,2938.0,88.27,128.36
"China, mainland",2009,2994.0,92.63,91.11
Colombia,2009,2708.0,61.54,74.3
Congo,2009,2142.0,47.15,44.94
Costa Rica,2009,2843.0,76.08,87.51
Croatia,2009,3058.0,84.17,113.16
Cuba,2009,3233.0,87.0,62.63
Cyprus,2009,2630.0,79.22,117.83
Czechia,2009,3276.0,92.58,136.23
Côte d'Ivoire,2009,2727.0,57.19,52.66
Democratic People's Republic of Korea,2009,2088.0,56.38,33.37
Denmark,2009,3340.0,103.86,131.31
Djibouti,2009,2466.0,62.04,63.42
Dominica,2009,3037.0,90.22,76.54
Dominican Republic,2009,2392.0,55.94,84.42
Ecuador,2009,2290.0,59.29,89.71
Egypt,2009,3441.0,99.36,59.5
El Salvador,2009,2574.0,71.44,61.27
Estonia,2009,3348.0,98.68,95.57
Eswatini,2009,2249.0,56.74,44.06
Ethiopia,2009,2052.0,60.35,23.77
Fiji,2009,2916.0,71.89,94.7
Finland,2009,3233.0,109.87,131.09
France,2009,3530.0,111.19,165.11
French Polynesia,2009,2918.0,98.59,125.95
Gabon,2009,2699.0,79.18,50.91
Gambia,2009,2621.0,62.4,69.89
Georgia,2009,2947.0,75.17,69.31
Germany,2009,3515.0,102.56,142.81
Ghana,2009,3032.0,64.28,48.04
Greece,2009,3505.0,113.27,153.86
Grenada,2009,2434.0,74.99,86.05
Guatemala,2009,2459.0,63.26,56.31
Guinea,2009,2546.0,55.05,57.0
Guinea-Bissau,2009,2278.0,43.55,60.09
Guyana,2009,2623.0,73.93,52.21
Haiti,2009,2060.0,47.1,43.02
Honduras,2009,2596.0,64.03,71.09
Hungary,2009,3140.0,85.1,136.72
Iceland,2009,3394.0,134.35,146.44
India,2009,2415.0,57.68,52.12
Indonesia,2009,2603.0,57.94,52.49
Iran (Islamic Republic of),2009,3058.0,85.03,79.25
Iraq,2009,2441.0,61.83,63.87
Ireland,2009,3571.0,111.61,130.19
Israel,2009,3514.0,124.77,145.75
Italy,2009,3599.0,112.01,152.73
Jamaica,2009,2749.0,76.43,74.72
Japan,2009,2675.0,87.06,85.49
Jordan,2009,3099.0,81.99,91.61
Kazakhstan,2009,3153.0,94.95,119.34
Kenya,2009,2165.0,59.96,52.34
Kiribati,2009,2941.0,72.43,101.9
Kuwait,2009,3472.0,113.52,118.63
Kyrgyzstan,2009,2737.0,84.56,62.95
Lao People's Democratic Republic,2009,2312.0,63.05,35.64
Latvia,2009,3174.0,96.81,120.98
Lebanon,2009,3144.0,82.81,110.6
Lesotho,2009,2569.0,73.18,32.82
Liberia,2009,2231.0,36.94,57.15
Lithuania,2009,3470.0,127.02,98.95
Luxembourg,2009,3511.0,108.09,143.81
Madagascar,2009,2065.0,47.54,25.9
Malawi,2009,2311.0,60.45,39.45
Malaysia,2009,2839.0,78.53,84.14
Maldives,2009,2602.0,101.17,61.83
Mali,2009,2831.0,80.26,63.6
