country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2012,2165.88,62.67,37.34
Albania,2012,3324.83,111.67,107.9
Algeria,2012,3329.83,93.98,91.93
Angola,2012,2440.35,52.67,53.66
Antigua and Barbuda,2012,2418.26,98.39,94.93
Argentina,2012,3086.0,103.04,111.19
Armenia,2012,3139.71,101.15,95.71
Australia,2012,3544.38,121.27,158.79
Austria,2012,3822.94,105.71,177.62
Azerbaijan,2012,3007.01,91.62,74.09
Bahamas,2012,2707.96,101.55,101.2
Bangladesh,2012,2383.37,56.8,28.38
Barbados,2012,3069.88,99.2,90.93
Belarus,2012,3303.43,103.93,128.32
Belgium,2012,3698.13,102.12,163.41
Belize,2012,2768.52,77.8,78.99
Bolivia (Plurinational State of),2012,2277.36,70.92,56.16
Bosnia and Herzegovina,2012,3110.46,100.33,79.48
Botswana,2012,2469.07,72.26,65.62
Brazil,2012,3300.03,102.21,118.26
Bulgaria,2012,2794.07,86.11,93.19
Burkina Faso,2012,2632.59,76.86,61.28
Cabo Verde,2012,2554.97,72.72,69.1
Cambodia,2012,2601.93,64.08,32.61
Cameroon,2012,2855.07,75.57,62.92
Canada,2012,3555.98,112.04,145.31
Chile,2012,2887.69,93.44,78.41
China,2012,3100.18,110.34,82.76
"China, Hong Kong SAR",2012,3098.51,138.54,126.89
"China, Macao SAR",2012,3033.35,110.01,137.62
"China, Taiwan Province of",2012,2909.89,93.96,122.01
"China, mainland",2012,3103.46,110.47,81.83
Colombia,2012,2897.59,70.22,86.69
Comoros,2012,2394.05,60.73,64.56
Congo,2012,1994.35,43.25,41.98
Costa Rica,2012,2878.9,77.24,93.69
Croatia,2012,3031.85,90.03,114.01
Cuba,2012,3313.2,90.49,69.71
Cyprus,2012,2957.35,101.51,104.09
Czechia,2012,3272.84,93.75,138.77
Côte d'Ivoire,2012,2691.45,58.38,55.57
Democratic People's Republic of Korea,2012,2071.1,60.41,35.88
Democratic Republic of the Congo,2012,2144.55,30.08,25.54
Denmark,2012,3478.58,113.05,137.53
Djibouti,2012,2518.09,68.66,55.99
Dominican Republic,2012,2682.52,62.86,98.47
Ecuador,2012,2594.68,70.65,97.36
Egypt,2012,3237.3,92.9,58.54
El Salvador,2012,2650.83,75.35,59.74
Estonia,2012,3151.76,100.18,95.61
Eswatini,2012,2270.67,53.88,49.03
Ethiopia,2012,2254.1,74.81,32.5
Fiji,2012,2683.21,72.28,77.25
Finland,2012,3267.81,117.95,133.66
