country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2000,1790.0,52.57,32.14
Albania,2000,2734.0,90.39,75.56
Algeria,2000,2812.0,75.87,65.5
Angola,2000,1792.0,39.47,38.78
Argentina,2000,3260.0,104.79,116.49
Armenia,2000,2236.0,65.33,41.35
Australia,2000,2991.0,101.3,130.01
Austria,2000,3726.0,106.03,159.02
Azerbaijan,2000,2282.0,67.17,37.25
Bahamas,2000,2779.0,92.69,93.86
Bangladesh,2000,2258.0,48.46,27.39
Barbados,2000,2802.0,80.57,90.84
Belarus,2000,2993.0,86.75,96.64
Belgium,2000,3709.0,96.58,161.53
Belize,2000,2688.0,71.3,67.39
Benin,2000,2245.0,55.26,43.02
Bermuda,2000,2651.0,86.6,106.07
Bolivia (Plurinational State of),2000,2076.0,56.16,41.49
Bosnia and Herzegovina,2000,2803.0,77.41,59.62
Botswana,2000,2080.0,65.18,49.16
Brazil,2000,2880.0,79.42,99.68
Brunei Darussalam,2000,2797.0,83.36,73.45
Bulgaria,2000,2813.0,85.79,92.31
Burkina Faso,2000,2318.0,68.96,51.69
Cabo Verde,2000,2358.0,63.86,68.05
Cambodia,2000,2115.0,51.39,29.03
Cameroon,2000,2116.0,55.0,45.8
Canada,2000,3506.0,106.07,147.52
Central African Republic,2000,1983.0,46.33,60.01
Chad,2000,1947.0,63.24,60.97
Chile,2000,2833.0,78.58,83.09
China,2000,2814.0,83.97,75.99
"China, Hong Kong SAR",2000,3049.0,100.67,129.99
"China, Macao SAR",2000,2474.0,71.3,107.19
"China, Taiwan Province of",2000,3119.0,94.47,136.92
"China, mainland",2000,2808.0,83.71,74.64
Colombia,2000,2779.0,63.38,73.23
Congo,2000,2177.0,43.15,53.39
Costa Rica,2000,2800.0,74.24,78.04
Croatia,2000,2556.0,66.69,80.92
Cuba,2000,3031.0,69.67,53.12
Cyprus,2000,2676.0,85.13,109.86
Czechia,2000,3079.0,90.29,111.5
Côte d'Ivoire,2000,2612.0,50.96,53.08
Democratic People's Republic of Korea,2000,2147.0,61.15,35.82
Denmark,2000,3313.0,99.86,133.99
Djibouti,2000,1993.0,48.44,48.36
Dominica,2000,3063.0,91.48,86.09
Dominican Republic,2000,2224.0,47.54,78.36
Ecuador,2000,2285.0,57.84,78.93
Egypt,2000,3368.0,94.69,57.33
El Salvador,2000,2541.0,64.46,57.73
Estonia,2000,3050.0,88.97,86.54
Eswatini,2000,2351.0,61.44,45.85
Ethiopia,2000,1786.0,50.84,17.13
Fiji,2000,2830.0,72.92,96.18
Finland,2000,3151.0,101.17,122.94
France,2000,3605.0,117.45,169.87
French Polynesia,2000,2805.0,92.93,114.12
Gabon,2000,2716.0,78.66,56.96
Gambia,2000,2590.0,59.1,75.41
Georgia,2000,2566.0,74.22,44.68
Germany,2000,3336.0,94.46,142.8
Ghana,2000,2510.0,51.51,39.55
Greece,2000,3602.0,120.78,141.54
Grenada,2000,2220.0,59.75,81.49
Guatemala,2000,2160.0,54.85,44.38
Guinea,2000,2359.0,51.27,53.14
Guinea-Bissau,2000,2250.0,44.16,53.82
Guyana,2000,2733.0,79.9,59.24
Haiti,2000,1958.0,42.95,43.08
Honduras,2000,2369.0,59.7,66.78
Hungary,2000,3172.0,91.15,134.52
Iceland,2000,3152.0,123.65,129.82
India,2000,2380.0,56.61,45.65
Indonesia,2000,2436.0,52.65,44.02
Iran (Islamic Republic of),2000,3050.0,82.27,64.47
Iraq,2000,2177.0,52.11,49.66
Ireland,2000,3727.0,116.33,139.77
Israel,2000,3553.0,120.27,129.09
Italy,2000,3668.0,113.93,153.68
Jamaica,2000,2729.0,70.59,80.67
Japan,2000,2899.0,96.43,90.23
Jordan,2000,2727.0,72.55,79.84
Kazakhstan,2000,2807.0,88.47,72.75
Kenya,2000,2049.0,57.68,46.74
Kiribati,2000,2842.0,69.69,104.18
Kuwait,2000,3435.0,104.3,116.44
Kyrgyzstan,2000,2396.0,83.09,50.15
Lao People's Democratic Republic,2000,2116.0,56.04,26.44
Latvia,2000,2785.0,76.96,92.44
Lebanon,2000,3288.0,92.02,111.78
Lesotho,2000,2462.0,68.85,34.82
Liberia,2000,2122.0,39.45,50.57
Lithuania,2000,3160.0,104.83,75.44
Luxembourg,2000,3479.0,99.16,144.52
Madagascar,2000,2006.0,46.68,27.02
Malawi,2000,2204.0,56.39,29.26
Malaysia,2000,2841.0,76.38,85.74
Maldives,2000,2435.0,98.0,59.9
Mali,2000,2451.0,68.13,51.79
Malta,2000,3331.0,109.34,106.48
Mauritania,2000,2632.0,73.64,66.7
Mauritius,2000,2904.0,78.56,84.34
Mexico,2000,3037.0,86.1,83.16
Mongolia,2000,2177.0,81.63,80.07
Morocco,2000,3063.0,81.56,60.49
Mozambique,2000,1990.0,36.46,38.71
Myanmar,2000,1910.0,50.26,37.96
Namibia,2000,2246.0,67.66,51.97
Nepal,2000,2257.0,57.33,37.64
Netherlands (Kingdom of the),2000,3265.0,107.25,146.17
Netherlands Antilles (former),2000,3077.0,102.74,92.17
New Caledonia,2000,2769.0,77.96,108.86
New Zealand,2000,3173.0,87.89,114.21
Nicaragua,2000,2133.0,52.08,48.07
Niger,2000,2328.0,67.87,44.63
Nigeria,2000,2610.0,58.88,59.57
North Macedonia,2000,2750.0,70.95,82.62
Norway,2000,3378.0,105.11,139.28
Oman,2000,2591.0,71.96,68.55
Pakistan,2000,2398.0,61.7,64.42
Panama,2000,2132.0,62.41,64.73
Paraguay,2000,2588.0,72.93,92.5
Peru,2000,2366.0,64.94,44.94
Philippines,2000,2392.0,53.95,49.97
Poland,2000,3419.0,99.81,113.41
Portugal,2000,3544.0,112.79,133.83
Republic of Korea,2000,3094.0,87.18,78.05
Republic of Moldova,2000,2500.0,67.72,42.76
Romania,2000,3141.0,94.86,91.4
Russian Federation,2000,2877.0,85.27,76.45
Rwanda,2000,1857.0,43.16,17.01
Saint Kitts and Nevis,2000,2514.0,76.86,81.82
Saint Lucia,2000,2709.0,88.71,80.67
Saint Vincent and the Grenadines,2000,2498.0,67.76,62.47
Samoa,2000,2772.0,75.95,124.48
Sao Tome and Principe,2000,2379.0,51.08,65.57
Saudi Arabia,2000,3111.0,83.8,90.98
Senegal,2000,2164.0,61.34,62.28
Serbia and Montenegro,2000,2651.0,76.94,114.86
Sierra Leone,2000,1990.0,43.16,45.72
Slovakia,2000,2778.0,71.61,97.18
Slovenia,2000,3056.0,102.34,107.83
Solomon Islands,2000,2353.0,52.15,44.9
South Africa,2000,2886.0,76.35,71.26
Spain,2000,3360.0,112.25,155.1
Sri Lanka,2000,2315.0,51.94,44.3
Sudan (former),2000,2206.0,71.35,71.55
Suriname,2000,2545.0,57.13,67.49
Sweden,2000,3099.0,101.92,122.96
Switzerland,2000,3440.0,95.85,149.94
Tajikistan,2000,1959.0,49.83,42.1
Thailand,2000,2604.0,59.44,54.79
Timor-Leste,2000,1872.0,50.92,32.21
Togo,2000,2171.0,51.32,42.59
Trinidad and Tobago,2000,2777.0,65.39,76.32
Tunisia,2000,3251.0,90.07,96.25
Turkmenistan,2000,2613.0,79.46,67.55
Türkiye,2000,3662.0,105.32,100.07
Uganda,2000,2267.0,48.75,33.13
Ukraine,2000,2896.0,80.26,72.49
United Arab Emirates,2000,3295.0,107.17,95.1
United Kingdom of Great Britain and Northern Ireland,2000,3362.0,98.79,140.8
United Republic of Tanzania,2000,2005.0,52.82,32.14
United States of America,2000,3755.0,114.29,154.39
Uruguay,2000,2811.0,86.91,99.77
Uzbekistan,2000,2368.0,66.54,65.02
Vanuatu,2000,2698.0,63.32,97.22
Venezuela (Bolivarian Republic of),2000,2454.0,62.99,70.74
Viet Nam,2000,2239.0,54.84,38.69
Yemen,2000,2091.0,57.53,41.45
Zambia,2000,1873.0,46.8,32.42
Zimbabwe,2000,1979.0,46.18,52.0
