country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2020,2259.95,63.21,41.87
Albania,2020,3343.03,115.1,111.71
Algeria,2020,3457.51,92.82,99.02
Angola,2020,2390.13,46.64,51.37
Antigua and Barbuda,2020,2430.24,89.66,93.55
Argentina,2020,3297.1,117.6,130.79
Armenia,2020,3120.83,104.12,107.0
Australia,2020,3468.42,123.88,155.4
Austria,2020,3784.16,109.0,184.22
Azerbaijan,2020,3339.01,98.77,92.14
Bahamas,2020,2629.62,100.41,99.52
Bahrain,2020,3510.61,112.39,129.33
Bangladesh,2020,2589.33,65.31,35.39
Barbados,2020,3189.57,109.02,107.79
Belarus,2020,3433.25,117.33,134.16
Belgium,2020,3865.77,110.52,184.85
Belize,2020,2868.88,79.38,106.87
Bhutan,2020,3256.29,78.43,80.46
Bolivia (Plurinational State of),2020,2404.37,80.38,58.46
Bosnia and Herzegovina,2020,3385.91,108.99,92.64
Botswana,2020,2642.04,69.8,66.44
Brazil,2020,3322.75,103.57,138.03
Bulgaria,2020,2916.51,85.78,127.49
Burkina Faso,2020,2683.58,93.56,68.06
Cabo Verde,2020,2844.07,87.01,77.93
Cambodia,2020,2721.31,61.17,37.21
Cameroon,2020,2843.39,72.82,65.56
Canada,2020,3617.0,115.84,160.07
Chile,2020,3079.38,104.5,93.48
China,2020,3323.27,122.13,90.51
"China, Hong Kong SAR",2020,3103.3,144.38,128.78
"China, Macao SAR",2020,2890.05,108.7,120.83
"China, Taiwan Province of",2020,2971.98,99.94,132.16
"China, mainland",2020,3330.46,122.38,89.61
Colombia,2020,3105.91,81.03,102.95
Comoros,2020,2492.1,66.75,56.46
Congo,2020,2159.68,51.21,57.35
Costa Rica,2020,3078.39,88.69,110.94
Croatia,2020,3334.82,106.12,125.39
Cyprus,2020,2877.71,97.76,105.73
Czechia,2020,3352.24,95.65,154.36
Côte d'Ivoire,2020,2863.81,64.37,50.4
Democratic Republic of the Congo,2020,2026.11,28.28,23.18
Denmark,2020,3815.31,127.61,169.61
Djibouti,2020,2764.18,72.83,65.19
Dominican Republic,2020,3111.27,80.14,106.3
Ecuador,2020,2545.86,69.76,96.56
Egypt,2020,3111.73,91.92,58.67
El Salvador,2020,2798.51,85.52,68.57
Estonia,2020,3243.85,107.87,143.14
Eswatini,2020,2506.78,61.14,57.16
Ethiopia,2020,2543.33,80.8,42.0
Fiji,2020,2883.64,80.13,84.25
Finland,2020,3360.16,123.05,128.51
France,2020,3485.45,118.41,146.79
French Polynesia,2020,3097.3,112.04,128.36
Gabon,2020,2657.27,87.27,60.01
Gambia,2020,2405.73,56.97,51.36
Georgia,2020,3028.94,89.7,81.78
Germany,2020,3629.4,110.64,167.64
Ghana,2020,3070.15,67.1,44.86
Greece,2020,3311.69,100.1,156.84
Grenada,2020,2687.43,98.81,105.94
Guatemala,2020,2713.45,71.63,65.74
