country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2016,2240.71,64.82,41.56
Albania,2016,3345.03,115.77,115.84
Algeria,2016,3413.27,92.76,104.28
Angola,2016,2429.06,50.8,56.98
Antigua and Barbuda,2016,2407.06,83.89,92.23
Argentina,2016,3150.8,108.08,115.24
Armenia,2016,3126.97,107.27,104.39
Australia,2016,3517.43,120.5,161.93
Austria,2016,3721.98,109.72,168.6
Azerbaijan,2016,3055.43,92.8,74.5
Bahamas,2016,2602.25,94.51,91.45
Bangladesh,2016,2425.98,59.49,33.14
Barbados,2016,3061.58,103.45,94.29
Belarus,2016,3295.96,101.14,130.93
Belgium,2016,3775.53,102.22,167.79
Belize,2016,2740.81,80.86,91.93
Bolivia (Plurinational State of),2016,2382.64,79.08,59.89
Bosnia and Herzegovina,2016,3327.73,107.05,91.73
Botswana,2016,2545.17,66.77,62.05
Brazil,2016,3280.27,103.23,123.59
Bulgaria,2016,2845.91,90.5,96.92
Burkina Faso,2016,2636.41,74.78,60.75
Cabo Verde,2016,2637.96,79.56,75.41
Cambodia,2016,2651.16,60.23,32.28
Cameroon,2016,2803.31,75.79,61.13
Canada,2016,3573.24,111.41,159.49
Chile,2016,2954.51,100.3,83.87
China,2016,3221.75,117.5,87.82
"China, Hong Kong SAR",2016,3105.71,143.38,123.29
"China, Macao SAR",2016,3143.07,115.5,143.13
"China, Taiwan Province of",2016,2931.69,94.39,123.99
"China, mainland",2016,3227.27,117.76,87.0
Colombia,2016,3090.76,77.31,91.79
Comoros,2016,2506.62,65.82,68.07
Congo,2016,2099.19,48.07,51.33
Costa Rica,2016,3020.16,81.39,103.83
Croatia,2016,3211.42,98.39,116.2
Cuba,2016,3475.65,99.76,77.07
Cyprus,2016,2869.79,95.4,103.53
Czechia,2016,3258.33,96.86,138.7
Côte d'Ivoire,2016,2753.33,62.42,50.96
Democratic People's Republic of Korea,2016,2027.67,57.98,34.2
Democratic Republic of the Congo,2016,2085.97,29.3,25.43
Denmark,2016,3670.16,123.75,159.28
Djibouti,2016,2677.79,74.18,59.58
Dominican Republic,2016,2890.5,70.42,108.29
Ecuador,2016,2537.41,67.55,93.86
Egypt,2016,3138.96,90.07,56.28
El Salvador,2016,2697.39,80.25,60.49
Estonia,2016,3104.23,108.24,117.0
Eswatini,2016,2387.13,58.75,52.37
Ethiopia,2016,2471.91,79.65,36.1
Fiji,2016,2676.68,67.95,74.92
Finland,2016,3269.8,120.23,132.03
France,2016,3450.05,116.44,141.57
French Polynesia,2016,2932.28,108.43,120.81
Gabon,2016,2658.37,89.25,56.34
Gambia,2016,2554.73,62.73,62.84
Georgia,2016,2814.57,81.84,75.37
Germany,2016,3564.59,109.38,145.79
Ghana,2016,2793.78,60.54,40.21
Greece,2016,3344.94,105.26,150.34
Grenada,2016,2596.1,90.99,86.55
Guatemala,2016,2564.31,69.9,71.17
Guinea,2016,2629.76,53.86,65.86
Guinea-Bissau,2016,2325.9,49.25,75.64
Guyana,2016,2998.31,98.03,54.43
Haiti,2016,2174.42,52.36,50.91
Honduras,2016,2615.33,60.15,80.16
Hungary,2016,3201.08,90.53,144.93
Iceland,2016,3578.9,148.18,164.59
India,2016,2472.94,65.04,53.67
Indonesia,2016,2887.21,76.07,57.41
Iran (Islamic Republic of),2016,2925.94,86.3,72.61
Iraq,2016,2603.62,68.28,73.16
Ireland,2016,3814.63,117.85,140.23
Israel,2016,3704.86,130.48,165.51
Italy,2016,3522.03,110.99,150.89
Jamaica,2016,2772.49,81.85,79.07
Jordan,2016,2754.3,75.72,86.1
Kazakhstan,2016,2900.37,89.53,116.1
Kenya,2016,2174.69,59.68,43.55
Kiribati,2016,3096.93,79.33,127.33
Kuwait,2016,3447.78,108.47,104.86
Kyrgyzstan,2016,2638.87,85.38,69.24
Lao People's Democratic Republic,2016,3148.77,81.37,40.8
Latvia,2016,3222.04,109.22,124.81
Lebanon,2016,2899.12,78.22,97.53
Lesotho,2016,2096.03,56.68,42.23
Liberia,2016,2133.04,43.73,55.99
Libya,2016,2962.62,88.34,100.37
Lithuania,2016,3395.92,125.62,102.14
Luxembourg,2016,3355.51,113.15,130.46
Madagascar,2016,2001.15,41.7,22.74
Malawi,2016,2573.69,62.72,40.96
Malaysia,2016,2864.2,92.32,100.31
Maldives,2016,2773.15,119.26,69.33
