country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2014,2270.45,65.55,41.84
Albania,2014,3294.38,111.3,110.98
Algeria,2014,3398.2,93.87,101.36
Angola,2014,2549.7,59.67,62.5
Antigua and Barbuda,2014,2411.42,91.55,94.8
Argentina,2014,3156.44,104.9,115.52
Armenia,2014,3182.42,105.27,105.2
Australia,2014,3514.57,119.15,160.2
Austria,2014,3754.41,107.82,168.56
Azerbaijan,2014,2984.55,90.73,72.39
Bahamas,2014,2604.73,95.49,95.49
Bangladesh,2014,2410.22,57.76,32.18
Barbados,2014,3041.56,101.8,96.03
Belarus,2014,3338.34,103.69,131.85
Belgium,2014,3795.33,100.27,165.04
Belize,2014,2701.4,77.55,89.51
Bolivia (Plurinational State of),2014,2277.85,71.37,56.54
Bosnia and Herzegovina,2014,3221.81,100.87,84.28
Botswana,2014,2504.64,65.77,61.71
Brazil,2014,3354.31,104.78,122.65
Bulgaria,2014,2878.14,90.42,92.26
Burkina Faso,2014,2639.19,75.65,61.34
Cabo Verde,2014,2554.82,73.69,72.76
Cambodia,2014,2603.49,61.15,31.85
Cameroon,2014,2805.18,74.98,61.32
Canada,2014,3500.25,107.53,159.52
Chile,2014,2938.08,95.67,84.48
China,2014,3195.07,113.38,86.37
"China, Hong Kong SAR",2014,3121.31,140.38,122.03
"China, Macao SAR",2014,3181.4,119.85,140.02
"China, Taiwan Province of",2014,2933.66,93.69,122.78
"China, mainland",2014,3199.88,113.57,85.55
Colombia,2014,3009.42,74.92,90.2
Comoros,2014,2444.28,62.85,67.95
Congo,2014,2118.42,48.02,41.09
Costa Rica,2014,2919.45,78.28,97.82
Croatia,2014,3019.5,91.36,108.59
Cuba,2014,3316.15,94.24,71.32
Cyprus,2014,2872.8,96.41,101.38
Czechia,2014,3205.03,94.73,129.26
Côte d'Ivoire,2014,2612.02,59.04,48.45
Democratic People's Republic of Korea,2014,2071.99,59.31,34.42
Democratic Republic of the Congo,2014,2167.85,30.68,27.1
Denmark,2014,3654.9,119.14,155.07
Djibouti,2014,2640.02,72.7,59.24
Dominican Republic,2014,2812.96,65.87,103.44
Ecuador,2014,2601.29,70.96,101.79
Egypt,2014,3151.58,92.23,53.37
El Salvador,2014,2644.2,79.66,58.84
Estonia,2014,3177.74,106.06,104.92
Eswatini,2014,2403.91,58.49,59.48
Ethiopia,2014,2385.89,76.62,34.05
Fiji,2014,2752.12,72.6,82.96
Finland,2014,3243.47,120.0,132.18
France,2014,3420.76,114.23,140.85
French Polynesia,2014,2967.95,110.6,123.16
Gabon,2014,2736.73,93.52,59.29
Gambia,2014,2560.53,60.22,71.13
Georgia,2014,2831.86,83.88,74.12
Germany,2014,3577.47,110.03,144.25
Ghana,2014,2877.81,64.05,41.86
Greece,2014,3435.63,109.17,154.23
Grenada,2014,2461.97,79.31,84.33
Guatemala,2014,2487.96,67.67,64.39
Guinea,2014,2627.62,54.37,68.15
Guinea-Bissau,2014,2042.22,44.12,69.05
Guyana,2014,2813.59,93.04,52.66
Haiti,2014,2222.81,51.27,55.02
Honduras,2014,2559.68,56.44,79.47
Hungary,2014,3071.63,86.36,133.6
Iceland,2014,3399.07,144.76,152.48
India,2014,2449.48,63.61,53.73
Indonesia,2014,2818.11,73.42,50.45
Iran (Islamic Republic of),2014,2934.64,86.41,72.8
Iraq,2014,2591.61,65.45,68.78
Ireland,2014,3686.95,110.87,135.43
Israel,2014,3669.02,127.05,157.02
Italy,2014,3514.61,113.07,152.32
Jamaica,2014,2791.35,82.99,77.9
Jordan,2014,2786.76,75.96,90.96
Kazakhstan,2014,2884.83,85.72,113.87
Kenya,2014,2230.33,60.45,45.25
