country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Djibouti,2011,2477.45,65.75,56.65
Dominican Republic,2011,2647.2,65.44,92.69
Ecuador,2011,2601.5,72.31,98.25
Egypt,2011,3247.69,91.58,60.88
El Salvador,2011,2630.33,73.58,61.62
Estonia,2011,3220.54,103.33,90.24
Eswatini,2011,2198.48,50.91,47.67
Ethiopia,2011,2203.32,72.18,31.96
Fiji,2011,2721.62,72.36,78.68
Finland,2011,3193.79,116.59,128.46
France,2011,3490.55,117.52,148.63
French Polynesia,2011,3007.12,110.44,123.25
Gabon,2011,2737.39,90.1,58.18
Gambia,2011,2653.59,60.69,72.41
Georgia,2011,2794.24,80.1,71.91
Germany,2011,3651.89,111.27,150.18
Ghana,2011,2915.49,66.93,45.22
Greece,2011,3499.16,112.35,158.85
Grenada,2011,2431.24,80.47,75.27
Guatemala,2011,2490.74,65.69,61.67
Guinea,2011,2495.96,52.28,69.48
Guinea-Bissau,2011,2235.16,46.78,59.21
Guyana,2011,2632.62,86.68,53.57
Haiti,2011,2153.9,49.06,56.29
Honduras,2011,2624.56,59.31,80.45
Hungary,2011,3059.36,86.45,133.81
Iceland,2011,3302.28,135.16,141.29
India,2011,2391.21,60.66,48.72
Indonesia,2011,2672.15,70.88,43.37
Iran (Islamic Republic of),2011,2778.66,81.59,66.35
Iraq,2011,2618.15,68.4,70.01
Ireland,2011,3656.2,114.4,136.42
Israel,2011,3605.09,127.79,150.1
Italy,2011,3648.85,119.16,162.99
Jamaica,2011,2764.79,84.7,76.95
Jordan,2011,2662.06,76.28,87.01
Kazakhstan,2011,2870.93,86.88,114.4
Kenya,2011,2185.37,60.58,44.99
Kiribati,2011,2988.43,77.51,123.54
Kuwait,2011,3584.68,116.68,118.16
Kyrgyzstan,2011,2693.58,87.35,69.19
Lao People's Democratic Republic,2011,2971.81,73.64,34.46
Latvia,2011,3191.05,106.21,123.14
Lebanon,2011,3014.54,82.73,107.05
Lesotho,2011,2541.12,67.06,33.23
Liberia,2011,2095.73,39.79,54.81
Libya,2011,2991.0,83.19,99.76
Lithuania,2011,3344.33,114.83,104.12
Luxembourg,2011,3443.71,116.67,131.44
Madagascar,2011,2107.76,42.81,23.65
Malawi,2011,2562.32,60.18,35.2
Malaysia,2011,2865.85,89.73,86.77
Maldives,2011,2598.99,115.87,55.76
Malta,2011,3439.23,109.59,118.85
Mauritania,2011,2889.98,84.59,75.97
Mauritius,2011,2987.85,90.96,90.85
Mexico,2011,3121.91,91.23,93.14
Mongolia,2011,2532.39,88.08,96.79
Montenegro,2011,3406.83,116.58,124.4
Morocco,2011,3315.37,98.23,66.73
Mozambique,2011,2381.93,47.6,40.6
Myanmar,2011,2678.1,87.43,71.68
Namibia,2011,2292.97,67.56,56.42
Nepal,2011,2547.66,68.25,53.26
Netherlands (Kingdom of the),2011,3196.59,108.78,121.71
New Caledonia,2011,2745.43,94.68,114.74
New Zealand,2011,3258.13,105.4,133.55
Nicaragua,2011,2570.89,63.49,62.28
Niger,2011,2470.61,87.26,55.86
Nigeria,2011,2528.97,60.72,61.1
North Macedonia,2011,3008.55,83.27,104.83
Norway,2011,3561.43,131.51,138.79
Oman,2011,3158.97,94.55,88.24
Pakistan,2011,2353.33,65.29,72.84
Panama,2011,2746.91,81.29,87.47
Papua New Guinea,2011,2139.54,65.54,63.94
Paraguay,2011,3122.53,70.11,105.93
Peru,2011,2605.88,75.41,55.06
Philippines,2011,2418.94,66.46,45.97
Poland,2011,3464.48,111.73,125.21
Portugal,2011,3492.04,118.14,140.06
Republic of Korea,2011,3335.28,105.59,98.06
Republic of Moldova,2011,2742.78,85.03,91.27
Romania,2011,3394.44,106.65,120.37
Russian Federation,2011,3387.59,110.08,107.45
Rwanda,2011,2126.84,58.73,28.18
Saint Kitts and Nevis,2011,2605.41,93.76,88.75
Saint Lucia,2011,2623.97,97.7,73.68
Saint Vincent and the Grenadines,2011,2926.45,101.6,79.04
Samoa,2011,2868.22,95.28,123.69
Sao Tome and Principe,2011,2313.11,56.35,66.02
Saudi Arabia,2011,3326.02,99.37,96.73
Senegal,2011,2446.74,59.85,81.01
Serbia,2011,3391.75,113.09,93.88
Seychelles,2011,2756.72,91.14,68.96
Sierra Leone,2011,2400.44,56.75,50.3
Slovakia,2011,2811.21,79.33,113.87
Slovenia,2011,3231.21,107.9,122.17
Solomon Islands,2011,2375.8,61.54,48.98
South Africa,2011,2871.87,79.18,85.93
Spain,2011,3200.69,108.99,145.34
Sri Lanka,2011,2448.83,62.46,38.14
Suriname,2011,2620.55,69.09,75.45
Sweden,2011,3221.46,113.27,135.86
Switzerland,2011,3498.67,99.41,155.5
Syrian Arab Republic,2011,3056.92,81.48,105.62
Tajikistan,2011,2293.51,62.03,60.59
Thailand,2011,2730.82,63.84,53.95
Timor-Leste,2011,2289.8,63.1,53.23
Trinidad and Tobago,2011,3023.62,93.58,98.26
Tunisia,2011,3314.86,99.35,89.41
Turkmenistan,2011,2803.55,96.72,82.48
Türkiye,2011,3650.84,103.48,117.54
Uganda,2011,2433.98,61.79,57.95
Ukraine,2011,3139.92,95.61,88.98
United Arab Emirates,2011,3695.2,103.43,135.45
United Kingdom of Great Britain and Northern Ireland,2011,3321.13,106.96,126.59
United Republic of Tanzania,2011,2295.25,56.62,52.71
United States of America,2011,3724.24,116.9,162.67
Uruguay,2011,3151.22,95.06,109.25
Uzbekistan,2011,3017.54,92.86,86.16
Vanuatu,2011,2902.23,75.33,127.3
Venezuela (Bolivarian Republic of),2011,2914.13,84.19,105.01
Viet Nam,2011,2757.69,82.42,53.35
Yemen,2011,2061.68,56.59,39.58
Zambia,2011,1961.36,49.48,49.0
Zimbabwe,2011,2154.43,59.95,76.38
