country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2011,2171.86,63.74,35.86
Albania,2011,3282.92,111.02,104.67
Algeria,2011,3317.0,91.29,97.56
Angola,2011,2494.66,51.17,57.06
Antigua and Barbuda,2011,2370.59,92.32,92.7
Argentina,2011,3055.1,102.43,103.08
Armenia,2011,3163.09,101.38,95.09
Australia,2011,3496.46,121.76,157.45
Austria,2011,3834.49,111.59,177.2
Azerbaijan,2011,2982.74,92.52,68.91
Bahamas,2011,2606.34,93.89,88.94
Bangladesh,2011,2365.3,56.04,27.52
Barbados,2011,3045.08,101.55,93.51
Belarus,2011,3230.57,103.18,128.62
Belgium,2011,3704.62,99.17,169.43
Belize,2011,2742.12,76.56,74.45
Bolivia (Plurinational State of),2011,2266.25,71.3,55.39
Bosnia and Herzegovina,2011,3111.37,98.45,79.83
Botswana,2011,2464.72,73.75,64.28
Brazil,2011,3348.85,103.51,117.87
Bulgaria,2011,2786.97,85.32,93.4
Burkina Faso,2011,2572.92,74.54,58.59
Cabo Verde,2011,2521.04,72.93,66.58
Cambodia,2011,2610.49,63.86,33.28
Cameroon,2011,2821.92,76.12,62.42
Canada,2011,3572.99,109.63,154.71
Chile,2011,2902.83,94.75,75.93
China,2011,3085.76,110.05,81.26
"China, Hong Kong SAR",2011,3144.4,141.59,127.32
"China, Macao SAR",2011,3044.9,111.31,135.37
"China, Taiwan Province of",2011,2918.24,94.6,122.13
"China, mainland",2011,3088.33,110.14,80.29
Colombia,2011,2803.96,67.75,83.2
Comoros,2011,2387.02,60.49,63.94
Congo,2011,1940.44,43.12,43.25
Costa Rica,2011,2881.9,77.14,96.14
Croatia,2011,3029.91,87.89,105.41
Cuba,2011,3307.61,91.17,66.23
Cyprus,2011,2990.14,103.43,106.9
Czechia,2011,3274.5,98.19,134.7
Côte d'Ivoire,2011,2679.1,58.72,53.3
Democratic People's Republic of Korea,2011,2063.82,60.4,35.96
Democratic Republic of the Congo,2011,2185.62,31.25,25.68
Denmark,2011,3494.55,108.51,139.48
