country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2005,1948.0,53.51,36.75
Albania,2005,2874.0,98.24,88.6
Algeria,2005,2958.0,84.11,61.56
Angola,2005,2077.0,44.62,45.17
Argentina,2005,3107.0,96.09,107.1
Armenia,2005,2668.0,77.37,63.01
Australia,2005,3099.0,104.91,137.26
Austria,2005,3640.0,102.69,152.26
Azerbaijan,2005,2837.0,81.91,50.04
Bahamas,2005,2648.0,81.48,92.43
Bangladesh,2005,2372.0,52.07,27.48
Barbados,2005,2888.0,89.67,90.53
Belarus,2005,2987.0,89.1,102.82
Belgium,2005,3716.0,99.26,163.34
Belize,2005,2818.0,76.39,71.45
Benin,2005,2435.0,57.78,50.05
Bermuda,2005,2521.0,78.45,110.62
Bolivia (Plurinational State of),2005,2106.0,57.97,46.13
Bosnia and Herzegovina,2005,3038.0,87.6,67.8
Botswana,2005,2198.0,59.63,61.33
Brazil,2005,3078.0,83.08,102.4
Brunei Darussalam,2005,2976.0,86.45,80.21
Bulgaria,2005,2723.0,77.82,95.75
Burkina Faso,2005,2463.0,73.13,54.81
Cabo Verde,2005,2517.0,68.25,67.6
Cambodia,2005,2327.0,57.1,34.63
Cameroon,2005,2311.0,61.14,50.97
Canada,2005,3475.0,102.11,144.31
Central African Republic,2005,2026.0,48.06,65.43
Chad,2005,2034.0,62.89,58.12
Chile,2005,2909.0,85.87,80.88
China,2005,2883.0,87.07,82.45
"China, Hong Kong SAR",2005,3224.0,110.48,136.25
"China, Macao SAR",2005,2836.0,87.13,123.94
"China, Taiwan Province of",2005,2985.0,87.7,131.41
"China, mainland",2005,2879.0,86.94,81.31
Colombia,2005,2733.0,62.24,73.58
Congo,2005,2043.0,40.11,45.75
Costa Rica,2005,2813.0,70.75,82.31
Croatia,2005,2980.0,78.13,107.44
Cuba,2005,3254.0,77.82,62.03
Cyprus,2005,2565.0,78.53,111.1
Czechia,2005,3318.0,99.33,128.05
Côte d'Ivoire,2005,2787.0,55.45,56.79
Democratic People's Republic of Korea,2005,2180.0,59.19,37.0
Denmark,2005,3414.0,115.63,137.46
Djibouti,2005,2265.0,55.52,63.58
Dominica,2005,2924.0,85.94,77.81
Dominican Republic,2005,2328.0,51.55,77.89
Ecuador,2005,2248.0,55.73,85.92
Egypt,2005,3367.0,95.85,57.27
El Salvador,2005,2571.0,69.88,61.41
Estonia,2005,3167.0,92.99,91.78
Eswatini,2005,2372.0,68.15,56.0
Ethiopia,2005,1978.0,56.8,21.99
Fiji,2005,2941.0,76.68,95.72
Finland,2005,3201.0,105.97,127.53
France,2005,3538.0,111.29,162.9
French Polynesia,2005,2910.0,98.84,121.91
Gabon,2005,2715.0,80.73,56.89
Gambia,2005,2442.0,57.21,78.56
Georgia,2005,2983.0,85.56,66.41
Germany,2005,3450.0,96.96,138.96
Ghana,2005,2751.0,58.66,44.47
Greece,2005,3593.0,114.54,149.23
Grenada,2005,2370.0,77.6,85.62
Guatemala,2005,2383.0,59.79,56.95
Guinea,2005,2443.0,51.54,57.2
Guinea-Bissau,2005,2273.0,43.48,56.09
Guyana,2005,2687.0,76.91,54.69
Haiti,2005,1884.0,43.04,32.44
Honduras,2005,2490.0,65.59,68.5
Hungary,2005,3270.0,90.59,138.39
Iceland,2005,3323.0,129.34,144.61
India,2005,2270.0,53.66,47.56
Indonesia,2005,2468.0,53.62,48.85
Iran (Islamic Republic of),2005,3074.0,84.39,69.12
Iraq,2005,2351.0,54.21,59.87
Ireland,2005,3485.0,113.03,134.12
Israel,2005,3633.0,128.93,147.73
Italy,2005,3567.0,111.36,147.86
Jamaica,2005,2795.0,76.03,86.73
Japan,2005,2829.0,92.39,90.61
