country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2015,2251.27,63.93,38.94
Albania,2015,3310.49,113.28,111.8
Algeria,2015,3384.2,93.81,97.3
Angola,2015,2468.9,53.94,58.25
Antigua and Barbuda,2015,2420.04,93.21,94.96
Argentina,2015,3210.04,110.69,116.59
Armenia,2015,3166.96,107.61,103.48
Australia,2015,3500.05,119.6,161.19
Austria,2015,3734.47,108.12,169.5
Azerbaijan,2015,3016.72,92.25,73.29
Bahamas,2015,2593.36,95.95,94.62
Bangladesh,2015,2481.03,59.52,33.77
Barbados,2015,3078.45,104.67,100.13
Belarus,2015,3303.29,100.85,133.71
Belgium,2015,3807.89,100.01,170.22
Belize,2015,2730.99,78.68,96.74
Bolivia (Plurinational State of),2015,2338.54,79.64,60.16
Bosnia and Herzegovina,2015,3293.02,106.01,89.28
Botswana,2015,2532.12,66.59,59.7
Brazil,2015,3299.99,103.49,123.8
Bulgaria,2015,2779.09,87.07,96.31
Burkina Faso,2015,2645.45,75.16,61.92
Cabo Verde,2015,2598.96,79.13,71.95
Cambodia,2015,2641.9,60.02,31.79
Cameroon,2015,2806.53,75.51,60.41
Canada,2015,3504.89,106.57,160.69
Chile,2015,2925.52,96.88,84.29
China,2015,3229.71,115.35,87.83
"China, Hong Kong SAR",2015,3068.13,135.96,119.28
"China, Macao SAR",2015,3162.29,118.06,141.76
"China, Taiwan Province of",2015,2938.3,95.3,125.0
"China, mainland",2015,3235.5,115.58,87.01
Colombia,2015,3075.32,77.14,92.26
Comoros,2015,2443.38,62.26,66.17
Congo,2015,2120.47,48.67,43.85
Costa Rica,2015,2931.29,78.09,100.81
Croatia,2015,3095.26,95.26,112.0
Cuba,2015,3360.61,91.65,73.1
Cyprus,2015,2910.25,96.53,99.9
Czechia,2015,3133.55,95.39,126.07
Côte d'Ivoire,2015,2748.84,62.94,50.06
Democratic People's Republic of Korea,2015,2043.15,58.64,34.35
Democratic Republic of the Congo,2015,2133.42,30.14,27.31
Denmark,2015,3700.48,123.03,160.53
Djibouti,2015,2699.99,76.33,60.63
Dominican Republic,2015,2795.61,67.62,102.77
Ecuador,2015,2603.85,69.91,98.43
Egypt,2015,3143.81,92.16,52.07
El Salvador,2015,2649.61,79.14,60.05
Estonia,2015,3130.34,107.57,117.67
Eswatini,2015,2387.15,56.83,57.39
Ethiopia,2015,2483.18,79.84,40.06
