country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2006,1966.0,53.46,31.13
Albania,2006,2855.0,97.63,91.55
Algeria,2006,3047.0,83.73,68.66
Angola,2006,2119.0,45.88,45.52
Argentina,2006,3114.0,98.26,107.32
Armenia,2006,2757.0,80.89,66.44
Australia,2006,3156.0,104.6,143.42
Austria,2006,3719.0,101.46,162.3
Azerbaijan,2006,3006.0,86.7,49.4
Bahamas,2006,2627.0,84.3,92.23
Bangladesh,2006,2372.0,51.86,29.16
Barbados,2006,2838.0,87.04,87.75
Belarus,2006,3084.0,90.99,112.32
Belgium,2006,3716.0,100.12,163.62
Belize,2006,2800.0,73.21,71.98
Benin,2006,2450.0,58.14,42.89
Bermuda,2006,2590.0,83.27,113.4
Bolivia (Plurinational State of),2006,2159.0,60.64,47.59
Bosnia and Herzegovina,2006,3016.0,86.62,68.1
Botswana,2006,2150.0,57.24,53.84
Brazil,2006,3096.0,84.39,105.28
Brunei Darussalam,2006,2971.0,86.43,77.38
Bulgaria,2006,2759.0,79.75,92.99
Burkina Faso,2006,2559.0,75.26,56.04
Cabo Verde,2006,2513.0,67.77,70.22
Cambodia,2006,2377.0,61.33,36.22
Cameroon,2006,2354.0,62.56,51.73
Canada,2006,3470.0,103.53,143.19
Central African Republic,2006,2029.0,49.43,65.86
Chad,2006,2022.0,62.65,55.56
Chile,2006,2957.0,87.73,86.69
China,2006,2886.0,87.24,85.38
"China, Hong Kong SAR",2006,3246.0,109.37,139.46
"China, Macao SAR",2006,2828.0,89.0,120.74
"China, Taiwan Province of",2006,2948.0,87.79,130.37
"China, mainland",2006,2883.0,87.11,84.31
Colombia,2006,2770.0,63.83,75.6
Congo,2006,2143.0,44.49,51.66
Costa Rica,2006,2873.0,72.98,86.23
Croatia,2006,3070.0,80.49,114.75
Cuba,2006,3260.0,80.34,62.46
Cyprus,2006,2559.0,76.29,117.48
Czechia,2006,3279.0,95.26,137.7
Côte d'Ivoire,2006,2783.0,55.55,54.19
Democratic People's Republic of Korea,2006,2141.0,57.87,34.88
Denmark,2006,3407.0,112.93,130.9
Djibouti,2006,2314.0,59.99,64.97
Dominica,2006,2917.0,87.97,76.24
Dominican Republic,2006,2367.0,54.78,80.09
Ecuador,2006,2229.0,57.58,86.28
Egypt,2006,3389.0,98.43,57.57
El Salvador,2006,2577.0,70.9,62.67
Estonia,2006,3203.0,93.64,94.98
Eswatini,2006,2325.0,61.21,48.43
Ethiopia,2006,1967.0,56.48,21.42
Fiji,2006,2949.0,77.26,95.82
Finland,2006,3237.0,108.12,129.1
France,2006,3513.0,110.98,162.86
French Polynesia,2006,2903.0,96.98,121.53
Gabon,2006,2716.0,81.87,59.07
Gambia,2006,2397.0,57.65,72.97
Georgia,2006,2864.0,75.82,65.14
Germany,2006,3466.0,99.18,140.72
Ghana,2006,2824.0,61.17,47.99
Greece,2006,3485.0,113.64,148.22
Grenada,2006,2400.0,77.94,89.65
Guatemala,2006,2415.0,61.75,58.16
Guinea,2006,2503.0,52.49,58.66
Guinea-Bissau,2006,2253.0,43.38,56.41
Guyana,2006,2660.0,72.13,55.9
Haiti,2006,1942.0,43.48,36.54
Honduras,2006,2530.0,64.81,71.46
Hungary,2006,3278.0,90.4,139.09
Iceland,2006,3401.0,134.74,149.05
India,2006,2334.0,55.91,49.32
Indonesia,2006,2483.0,54.99,49.57
