country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2019,2223.1,60.84,41.79
Albania,2019,3361.19,117.96,114.73
Algeria,2019,3431.1,94.65,95.67
Angola,2019,2425.25,48.67,54.49
Antigua and Barbuda,2019,2465.2,93.5,93.17
Argentina,2019,3253.2,114.18,126.63
Armenia,2019,3136.93,104.53,111.55
Australia,2019,3485.34,121.63,159.91
Austria,2019,3822.84,110.32,184.34
Azerbaijan,2019,3281.8,98.95,87.93
Bahamas,2019,2615.52,92.43,99.58
Bahrain,2019,3489.08,109.28,123.8
Bangladesh,2019,2522.89,62.73,35.07
Barbados,2019,3124.84,106.69,93.63
Belarus,2019,3373.82,112.75,134.91
Belgium,2019,3855.36,106.58,178.09
Belize,2019,2834.43,80.76,98.26
Bhutan,2019,3234.78,75.26,86.96
Bolivia (Plurinational State of),2019,2441.03,81.43,63.26
Bosnia and Herzegovina,2019,3356.36,109.88,96.2
Botswana,2019,2577.1,64.81,61.48
Brazil,2019,3350.08,103.59,134.92
Bulgaria,2019,2902.75,88.98,118.76
Burkina Faso,2019,2628.08,93.43,61.46
Cabo Verde,2019,2783.47,85.3,74.31
Cambodia,2019,2716.55,61.34,34.35
Cameroon,2019,2865.11,73.93,59.02
Canada,2019,3557.96,115.62,155.78
Chile,2019,3022.55,103.69,89.24
China,2019,3301.99,121.11,91.12
"China, Hong Kong SAR",2019,3194.04,148.91,130.53
"China, Macao SAR",2019,3151.16,116.56,137.55
"China, Taiwan Province of",2019,2975.96,97.3,128.27
"China, mainland",2019,3308.05,121.36,90.27
Colombia,2019,3063.84,81.92,94.25
Comoros,2019,2499.55,61.75,63.58
Congo,2019,2124.87,51.65,54.1
Costa Rica,2019,3071.57,89.34,110.21
Croatia,2019,3297.85,106.73,124.5
Cuba,2019,3385.12,95.29,81.44
Cyprus,2019,2906.57,101.09,110.58
Czechia,2019,3338.98,95.24,152.33
Côte d'Ivoire,2019,2848.79,63.34,50.81
Democratic Republic of the Congo,2019,2091.0,28.88,24.91
Denmark,2019,3763.79,124.11,171.04
Djibouti,2019,2751.36,71.88,63.01
Dominican Republic,2019,3055.38,78.47,107.69
Ecuador,2019,2508.72,66.85,93.48
Egypt,2019,3162.49,91.01,62.39
El Salvador,2019,2848.17,85.54,67.28
Estonia,2019,3250.53,110.48,143.38
Eswatini,2019,2461.18,58.61,54.46
Ethiopia,2019,2469.31,79.73,33.38
Fiji,2019,2841.14,81.96,85.57
Finland,2019,3341.73,121.83,128.98
France,2019,3459.25,118.39,149.09
French Polynesia,2019,3029.37,110.1,121.31
Gabon,2019,2646.56,86.88,58.55
Gambia,2019,2446.17,59.64,53.28
Georgia,2019,3020.82,87.02,85.54
Germany,2019,3616.84,110.33,165.12
Ghana,2019,3036.32,65.11,42.42
Greece,2019,3374.7,106.34,163.27
Grenada,2019,2630.45,94.79,97.39
Guatemala,2019,2636.18,70.54,63.44
Guinea,2019,2779.17,56.23,72.43
Guinea-Bissau,2019,2513.94,52.14,76.81
Guyana,2019,3068.34,98.86,65.62
Haiti,2019,2123.91,47.98,45.43
Honduras,2019,2637.19,61.66,85.01
Hungary,2019,3309.82,94.29,142.84
Iceland,2019,3683.31,152.61,166.31
India,2019,2527.73,67.68,59.13
Indonesia,2019,2898.94,80.31,69.39
Iran (Islamic Republic of),2019,2901.18,81.98,78.2
Iraq,2019,2685.04,72.28,68.57
Ireland,2019,3966.57,128.56,146.39
Israel,2019,3754.5,130.53,161.41
Italy,2019,3623.81,114.86,156.23
Jamaica,2019,2906.29,90.91,85.32
Jordan,2019,2593.93,68.65,91.96
Kazakhstan,2019,3059.13,97.2,120.05
Kenya,2019,2289.89,60.22,49.08
Kiribati,2019,3131.79,82.47,129.85
Kuwait,2019,3460.64,111.27,110.09
Kyrgyzstan,2019,2690.36,86.01,76.76
Lao People's Democratic Republic,2019,3168.05,78.51,42.91
Latvia,2019,3269.64,108.62,135.56
Lebanon,2019,2882.32,81.17,98.42
Lesotho,2019,1993.76,51.81,40.44
Liberia,2019,2105.44,43.68,45.48
Libya,2019,2997.86,84.58,105.53
Lithuania,2019,3359.3,126.83,118.87
Luxembourg,2019,3505.49,113.82,143.24
Madagascar,2019,1945.93,39.04,21.98
Malawi,2019,2574.69,65.19,43.42
Malaysia,2019,2892.36,88.43,99.44
Maldives,2019,2657.13,98.58,73.15
Malta,2019,3322.97,100.92,118.26
