Country Name,Country Code,Year,GDP per capita(current US$)
Afghanistan,AFG,1967,
Albania,ALB,1967,
Algeria,DZA,1967,
Andorra,AND,1967,
Angola,AGO,1967,
Antigua and Barbuda,ATG,1967,
Argentina,ARG,1967,
Armenia,ARM,1967,
Australia,AUS,1967,
Austria,AUT,1967,1063.932838
Azerbaijan,AZE,1967,
Bahamas,BHS,1967,
Bahrain,BHR,1967,
Bangladesh,BGD,1967,2583.907524
Barbados,BRB,1967,1577.141477
Belarus,BLR,1967,
Belgium,BEL,1967,54.01814253
Belize,BLZ,1967,2113.821941
Benin,BEN,1967,106.5862419
Bhutan,BTN,1967,84.62720114
Bolivia,BOL,1967,114.2098817
Bosnia and Herzegovina,BIH,1967,
Botswana,BWA,1967,
Brazil,BRA,1967,
Brunei,BRN,1967,
Bulgaria,BGR,1967,
Burkina Faso,BFA,1967,426.2640714
Burundi,BDI,1967,
Cabo Verde,CPV,1967,176.0734778
Cambodia,KHM,1967,351.4726004
Cameroon,CMR,1967,508.1286195
Canada,CAN,1967,
Central African Republic,CAF,1967,
Chad,TCD,1967,100.9451246
Chile,CHL,1967,83.56296511
China,CHN,1967,3226.382737
Colombia,COL,1967,
Comoros,COM,1967,3237.273152
Congo,COG,1967,
Costa Rica,CRI,1967,764.2651287
Croatia,HRV,1967,96.76144801
Cuba,CUB,1967,
Cyprus,CYP,1967,156.6212907
Czechia,CZE,1967,
Côte d'Ivoire,CIV,1967,
Democratic Republic of the Congo,COD,1967,302.8325078
Denmark,DNK,1967,
Djibouti,DJI,1967,
Dominica,DMA,1967,413.996506
Dominican Republic,DOM,1967,
Ecuador,ECU,1967,
Egypt,EGY,1967,
El Salvador,SLV,1967,
Equatorial Guinea,GNQ,1967,
Eritrea,ERI,1967,
Estonia,EST,1967,1885.615966
Eswatini,SWZ,1967,
Ethiopia,ETH,1967,
Fiji,FJI,1967,2700.746379
Finland,FIN,1967,256.2065974
France,FRA,1967,261.7924421
Gabon,GAB,1967,
Gambia,GMB,1967,
Georgia,GEO,1967,
Germany,DEU,1967,
Ghana,GHA,1967,
Greece,GRC,1967,453.6452859
Grenada,GRD,1967,
Guatemala,GTM,1967,
Guinea,GIN,1967,
Guinea-Bissau,GNB,1967,996.5718635
Guyana,GUY,1967,
Haiti,HTI,1967,96.08647474
Honduras,HND,1967,
Hungary,HUN,1967,
Iceland,ISL,1967,2055.753068
India,IND,1967,325.9865454
Indonesia,IDN,1967,2328.117855
Iran,IRN,1967,
Iraq,IRQ,1967,
Ireland,IRL,1967,482.2230905
Israel,ISR,1967,2058.781882
Italy,ITA,1967,
Jamaica,JAM,1967,211.2192965
Japan,JPN,1967,
Jordan,JOR,1967,
Kazakhstan,KAZ,1967,
Kenya,KEN,1967,
Kiribati,KIR,1967,231.9316462
Kuwait,KWT,1967,1053.258886
Kyrgyzstan,KGZ,1967,
Laos,LAO,1967,
Latvia,LVA,1967,291.9341809
Lebanon,LBN,1967,
Lesotho,LSO,1967,377.732622
Liberia,LBR,1967,
Libya,LBY,1967,
Liechtenstein,LIE,1967,298.1559948
Lithuania,LTU,1967,
Luxembourg,LUX,1967,
Madagascar,MDG,1967,84.21726767
Malawi,MWI,1967,
Malaysia,MYS,1967,
Maldives,MDV,1967,
Mali,MLI,1967,
Malta,MLT,1967,
Marshall Islands,MHL,1967,53.2051867
Mauritania,MRT,1967,
Mauritius,MUS,1967,
Mexico,MEX,1967,97.99514812
Micronesia,FSM,1967,
Moldova,MDA,1967,1187.183212
Monaco,MCO,1967,
Mongolia,MNG,1967,290.6436645
Montenegro,MNE,1967,3283.551155
Morocco,MAR,1967,1734.931433
Mozambique,MOZ,1967,1595.485781
Myanmar,MMR,1967,633.2596806
Namibia,NAM,1967,496.9227462
Nauru,NRU,1967,1326.361039
Nepal,NPL,1967,
Netherlands,NLD,1967,121.9021421
New Zealand,NZL,1967,
Nicaragua,NIC,1967,
Niger,NER,1967,
Nigeria,NGA,1967,
North Korea,PRK,1967,
North Macedonia,MKD,1967,3887.34562
Norway,NOR,1967,
Oman,OMN,1967,
Pakistan,PAK,1967,
Palau,PLW,1967,192.150747
Palestine,PSE,1967,1436.618033
Panama,PAN,1967,
Papua New Guinea,PNG,1967,
Paraguay,PRY,1967,
Peru,PER,1967,
Philippines,PHL,1967,
Poland,POL,1967,162.2948231
Portugal,PRT,1967,
Qatar,QAT,1967,
Romania,ROU,1967,64.83932539
Russia,RUS,1967,
Rwanda,RWA,1967,
Saint Kitts and Nevis,KNA,1967,2934.528321
Saint Lucia,LCA,1967,
Saint Vincent and the Grenadines,VCT,1967,
Samoa,WSM,1967,
San Marino,SMR,1967,217.304306
Sao Tome and Principe,STP,1967,
Saudi Arabia,SAU,1967,
Senegal,SEN,1967,155.8606884
Serbia,SRB,1967,
Seychelles,SYC,1967,
Sierra Leone,SLE,1967,575.7690375
Singapore,SGP,1967,
Slovakia,SVK,1967,
Slovenia,SVN,1967,
Solomon Islands,SLB,1967,45.98544487
Somalia,SOM,1967,
South Africa,ZAF,1967,16.54538054
South Korea,KOR,1967,
South Sudan,SSD,1967,
Spain,ESP,1967,
Sri Lanka,LKA,1967,
Sudan,SDN,1967,
Suriname,SUR,1967,281.5333774
Sweden,SWE,1967,304.1639496
Switzerland,CHE,1967,
Syria,SYR,1967,335.4256306
Tajikistan,TJK,1967,
Tanzania,TZA,1967,
Thailand,THA,1967,
Timor-Leste,TLS,1967,155.3806205
Togo,TGO,1967,99.50149066
Tonga,TON,1967,297.9460659
Trinidad and Tobago,TTO,1967,2154.579697
Tunisia,TUN,1967,2530.660578
Turkmenistan,TKM,1967,72.25560337
Tuvalu,TUV,1967,
Türkiye,TUR,1967,2208.442138
Uganda,UGA,1967,
Ukraine,UKR,1967,174.7084424
United Arab Emirates,ARE,1967,
United Kingdom,GBR,1967,135.1904749
United States,USA,1967,744.8909283
Uruguay,URY,1967,497.5847563
Uzbekistan,UZB,1967,223.1247663
Vanuatu,VUT,1967,
Vatican City,VAT,1967,188.9720366
Venezuela,VEN,1967,
Vietnam,VNM,1967,
Yemen,YEM,1967,
Zambia,ZMB,1967,
Zimbabwe,ZWE,1967,676.3866699
