Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Slovenia,SVN,2017,Milk - Excluding Butter,296.8,21.0,16.0
Slovenia,SVN,2017,"Pulses, Other and products",0.5,0.0,0.0
Slovenia,SVN,2017,Rice and products,32.8,0.7,0.1
Slovenia,SVN,2017,Wheat and products,779.5,22.7,7.0
Solomon Islands,SLB,2017,Eggs,3.5,0.3,0.2
Solomon Islands,SLB,2017,Maize and products,4.5,0.1,0.1
Solomon Islands,SLB,2017,Milk - Excluding Butter,18.0,0.9,0.7
Solomon Islands,SLB,2017,"Pulses, Other and products",82.9,6.2,1.2
Solomon Islands,SLB,2017,Rice and products,575.7,11.7,1.5
Solomon Islands,SLB,2017,Wheat and products,212.4,6.4,1.9
Somalia,SOM,2017,Eggs,None,None,None
Somalia,SOM,2017,Maize and products,None,None,None
Somalia,SOM,2017,Milk - Excluding Butter,None,None,None
Somalia,SOM,2017,"Pulses, Other and products",None,None,None
Somalia,SOM,2017,Rice and products,None,None,None
Somalia,SOM,2017,Wheat and products,None,None,None
South Africa,ZAF,2017,Eggs,20.8,1.8,1.5
South Africa,ZAF,2017,Maize and products,818.9,18.9,7.7
South Africa,ZAF,2017,Milk - Excluding Butter,91.5,4.5,5.5
South Africa,ZAF,2017,"Pulses, Other and products",2.4,0.2,0.0
South Africa,ZAF,2017,Rice and products,140.4,2.9,0.4
South Africa,ZAF,2017,Wheat and products,416.4,13.6,2.3
South Korea,KOR,2017,Eggs,None,None,None
South Korea,KOR,2017,Maize and products,None,None,None
South Korea,KOR,2017,Milk - Excluding Butter,None,None,None
South Korea,KOR,2017,"Pulses, Other and products",None,None,None
South Korea,KOR,2017,Rice and products,None,None,None
South Korea,KOR,2017,Wheat and products,None,None,None
South Sudan,SSD,2017,Eggs,None,None,None
South Sudan,SSD,2017,Maize and products,None,None,None
South Sudan,SSD,2017,Milk - Excluding Butter,None,None,None
South Sudan,SSD,2017,"Pulses, Other and products",None,None,None
South Sudan,SSD,2017,Rice and products,None,None,None
South Sudan,SSD,2017,Wheat and products,None,None,None
Spain,ESP,2017,Eggs,50.7,4.5,3.5
Spain,ESP,2017,Maize and products,15.3,0.3,0.1
Spain,ESP,2017,Milk - Excluding Butter,275.3,15.0,17.8
Spain,ESP,2017,"Pulses, Other and products",30.9,2.1,0.3
Spain,ESP,2017,Rice and products,76.4,1.6,0.3
Spain,ESP,2017,Wheat and products,646.1,20.3,3.2
Sri Lanka,LKA,2017,Eggs,16.1,1.3,1.1
Sri Lanka,LKA,2017,Maize and products,98.6,2.1,0.9
Sri Lanka,LKA,2017,Milk - Excluding Butter,89.3,4.6,4.4
Sri Lanka,LKA,2017,"Pulses, Other and products",78.0,5.8,0.4
Sri Lanka,LKA,2017,Rice and products,1116.8,22.7,2.9
Sri Lanka,LKA,2017,Wheat and products,336.2,11.1,1.9
Sudan,SDN,2017,Eggs,None,None,None
Sudan,SDN,2017,Maize and products,None,None,None
Sudan,SDN,2017,Milk - Excluding Butter,None,None,None
Sudan,SDN,2017,"Pulses, Other and products",None,None,None
Sudan,SDN,2017,Rice and products,None,None,None
Sudan,SDN,2017,Wheat and products,None,None,None
Suriname,SUR,2017,Eggs,21.7,2.0,1.5
Suriname,SUR,2017,Maize and products,22.8,0.6,0.2
Suriname,SUR,2017,Milk - Excluding Butter,62.7,4.1,2.9
Suriname,SUR,2017,"Pulses, Other and products",1.0,0.1,0.0
Suriname,SUR,2017,Rice and products,592.1,12.1,1.6
Suriname,SUR,2017,Wheat and products,408.4,12.0,3.7
Sweden,SWE,2017,Eggs,49.9,4.4,3.5
Sweden,SWE,2017,Maize and products,10.0,0.2,0.1
Sweden,SWE,2017,Milk - Excluding Butter,398.1,26.8,21.1
Sweden,SWE,2017,"Pulses, Other and products",3.0,0.2,0.0
Sweden,SWE,2017,Rice and products,56.2,1.1,0.2
Sweden,SWE,2017,Wheat and products,652.3,19.8,4.6
Switzerland,CHE,2017,Eggs,36.9,3.2,2.6
Switzerland,CHE,2017,Maize and products,5.7,0.1,0.1
Switzerland,CHE,2017,Milk - Excluding Butter,501.0,29.6,33.3
Switzerland,CHE,2017,"Pulses, Other and products",3.3,0.2,0.0
Switzerland,CHE,2017,Rice and products,24.3,0.5,0.1
Switzerland,CHE,2017,Wheat and products,701.1,20.3,7.4
Syria,SYR,2017,Eggs,None,None,None
Syria,SYR,2017,Maize and products,None,None,None
Syria,SYR,2017,Milk - Excluding Butter,None,None,None
Syria,SYR,2017,"Pulses, Other and products",None,None,None
Syria,SYR,2017,Rice and products,None,None,None
Syria,SYR,2017,Wheat and products,None,None,None
Tajikistan,TJK,2017,Eggs,10.6,1.0,0.7
Tajikistan,TJK,2017,Maize and products,9.2,0.2,0.1
Tajikistan,TJK,2017,Milk - Excluding Butter,192.2,9.2,11.6
Tajikistan,TJK,2017,"Pulses, Other and products",1.8,0.1,0.0
Tajikistan,TJK,2017,Rice and products,87.0,1.8,0.3
Tajikistan,TJK,2017,Wheat and products,1115.4,33.7,9.1
Tanzania,TZA,2017,Eggs,None,None,None
Tanzania,TZA,2017,Maize and products,None,None,None
Tanzania,TZA,2017,Milk - Excluding Butter,None,None,None
Tanzania,TZA,2017,"Pulses, Other and products",None,None,None
Tanzania,TZA,2017,Rice and products,None,None,None
Tanzania,TZA,2017,Wheat and products,None,None,None
Thailand,THA,2017,Eggs,43.8,3.7,3.1
Thailand,THA,2017,Maize and products,81.3,1.9,0.9
Thailand,THA,2017,Milk - Excluding Butter,46.2,2.6,2.2
Thailand,THA,2017,"Pulses, Other and products",15.7,1.2,0.2
Thailand,THA,2017,Rice and products,1070.5,21.6,3.0
Thailand,THA,2017,Wheat and products,127.0,4.2,0.8
Timor-Leste,TLS,2017,Eggs,12.8,1.1,0.9
Timor-Leste,TLS,2017,Maize and products,395.9,8.2,3.4
Timor-Leste,TLS,2017,Milk - Excluding Butter,29.2,1.7,1.1
Timor-Leste,TLS,2017,"Pulses, Other and products",0.0,0.0,0.0
Timor-Leste,TLS,2017,Rice and products,770.0,15.7,2.0
Timor-Leste,TLS,2017,Wheat and products,186.8,5.3,2.1
Togo,TGO,2017,Eggs,None,None,None
Togo,TGO,2017,Maize and products,None,None,None
Togo,TGO,2017,Milk - Excluding Butter,None,None,None
Togo,TGO,2017,"Pulses, Other and products",None,None,None
Togo,TGO,2017,Rice and products,None,None,None
Togo,TGO,2017,Wheat and products,None,None,None
Tonga,TON,2017,Eggs,None,None,None
Tonga,TON,2017,Maize and products,None,None,None
Tonga,TON,2017,Milk - Excluding Butter,None,None,None
Tonga,TON,2017,"Pulses, Other and products",None,None,None
Tonga,TON,2017,Rice and products,None,None,None
Tonga,TON,2017,Wheat and products,None,None,None
Trinidad and Tobago,TTO,2017,Eggs,15.0,1.4,1.0
Trinidad and Tobago,TTO,2017,Maize and products,211.3,4.7,1.7
Trinidad and Tobago,TTO,2017,Milk - Excluding Butter,166.2,9.6,8.8
Trinidad and Tobago,TTO,2017,"Pulses, Other and products",55.2,3.7,0.6
Trinidad and Tobago,TTO,2017,Rice and products,196.5,4.3,1.1
Trinidad and Tobago,TTO,2017,Wheat and products,684.4,21.3,3.7
Tunisia,TUN,2017,Eggs,26.0,2.3,1.8
Tunisia,TUN,2017,Maize and products,0.3,0.0,0.0
Tunisia,TUN,2017,Milk - Excluding Butter,213.8,11.9,11.0
Tunisia,TUN,2017,"Pulses, Other and products",52.6,3.9,0.5
Tunisia,TUN,2017,Rice and products,11.1,0.2,0.0
Tunisia,TUN,2017,Wheat and products,1488.8,46.9,7.3
Turkmenistan,TKM,2017,Eggs,37.9,3.4,2.6
Turkmenistan,TKM,2017,Maize and products,1.5,0.0,0.0
Turkmenistan,TKM,2017,Milk - Excluding Butter,491.2,23.1,28.4
Turkmenistan,TKM,2017,"Pulses, Other and products",1.6,0.1,0.0
Turkmenistan,TKM,2017,Rice and products,87.3,1.8,0.2
Turkmenistan,TKM,2017,Wheat and products,1255.2,39.5,6.2
Tuvalu,TUV,2017,Eggs,None,None,None
Tuvalu,TUV,2017,Maize and products,None,None,None
Tuvalu,TUV,2017,Milk - Excluding Butter,None,None,None
Tuvalu,TUV,2017,"Pulses, Other and products",None,None,None
Tuvalu,TUV,2017,Rice and products,None,None,None
Tuvalu,TUV,2017,Wheat and products,None,None,None
Türkiye,TUR,2017,Eggs,29.1,2.6,2.0
Türkiye,TUR,2017,Maize and products,153.0,3.2,1.3
Türkiye,TUR,2017,Milk - Excluding Butter,340.2,17.7,18.9
Türkiye,TUR,2017,"Pulses, Other and products",88.6,6.0,0.9
Türkiye,TUR,2017,Rice and products,91.1,1.9,0.3
Türkiye,TUR,2017,Wheat and products,1235.4,38.9,6.3
Uganda,UGA,2017,Eggs,3.0,0.3,0.2
Uganda,UGA,2017,Maize and products,432.5,8.9,3.7
Uganda,UGA,2017,Milk - Excluding Butter,68.3,3.2,4.0
Uganda,UGA,2017,"Pulses, Other and products",5.6,0.4,0.0
Uganda,UGA,2017,Rice and products,62.9,1.3,0.3
Uganda,UGA,2017,Wheat and products,114.2,3.7,0.8
Ukraine,UKR,2017,Eggs,49.1,4.4,3.4
Ukraine,UKR,2017,Maize and products,132.8,2.8,1.1
Ukraine,UKR,2017,Milk - Excluding Butter,254.4,12.8,15.9
Ukraine,UKR,2017,"Pulses, Other and products",10.9,0.7,0.1
Ukraine,UKR,2017,Rice and products,23.1,0.5,0.1
Ukraine,UKR,2017,Wheat and products,891.5,27.9,4.7
United Arab Emirates,ARE,2017,Eggs,24.0,2.1,1.7
United Arab Emirates,ARE,2017,Maize and products,15.3,0.4,0.1
United Arab Emirates,ARE,2017,Milk - Excluding Butter,184.4,9.0,7.6
United Arab Emirates,ARE,2017,"Pulses, Other and products",117.0,8.3,1.1
United Arab Emirates,ARE,2017,Rice and products,317.3,6.5,0.8
United Arab Emirates,ARE,2017,Wheat and products,774.3,23.7,5.2
United Kingdom,GBR,2017,Eggs,None,None,None
United Kingdom,GBR,2017,Maize and products,None,None,None
United Kingdom,GBR,2017,Milk - Excluding Butter,None,None,None
United Kingdom,GBR,2017,"Pulses, Other and products",None,None,None
United Kingdom,GBR,2017,Rice and products,None,None,None
United Kingdom,GBR,2017,Wheat and products,None,None,None
United States,USA,2017,Eggs,None,None,None
United States,USA,2017,Maize and products,None,None,None
United States,USA,2017,Milk - Excluding Butter,None,None,None
United States,USA,2017,"Pulses, Other and products",None,None,None
United States,USA,2017,Rice and products,None,None,None
United States,USA,2017,Wheat and products,None,None,None
Uruguay,URY,2017,Eggs,41.3,3.7,2.9
Uruguay,URY,2017,Maize and products,189.0,3.9,1.6
Uruguay,URY,2017,Milk - Excluding Butter,345.9,18.9,20.9
Uruguay,URY,2017,"Pulses, Other and products",11.5,0.8,0.1
Uruguay,URY,2017,Rice and products,113.9,2.3,0.3
Uruguay,URY,2017,Wheat and products,766.8,23.3,5.4
Uzbekistan,UZB,2017,Eggs,21.1,1.9,1.5
Uzbekistan,UZB,2017,Maize and products,43.8,0.9,0.4
Uzbekistan,UZB,2017,Milk - Excluding Butter,457.1,23.0,27.6
Uzbekistan,UZB,2017,"Pulses, Other and products",2.4,0.2,0.0
Uzbekistan,UZB,2017,Rice and products,52.0,1.1,0.1
Uzbekistan,UZB,2017,Wheat and products,1253.3,39.6,5.8
Vanuatu,VUT,2017,Eggs,9.1,0.8,0.6
Vanuatu,VUT,2017,Maize and products,4.8,0.1,0.0
Vanuatu,VUT,2017,Milk - Excluding Butter,53.8,2.3,2.7
Vanuatu,VUT,2017,"Pulses, Other and products",0.0,0.0,0.0
Vanuatu,VUT,2017,Rice and products,630.9,12.9,1.7
Vanuatu,VUT,2017,Wheat and products,437.3,11.6,7.0
Vatican City,VAT,2017,Eggs,None,None,None
Vatican City,VAT,2017,Maize and products,None,None,None
Vatican City,VAT,2017,Milk - Excluding Butter,None,None,None
Vatican City,VAT,2017,"Pulses, Other and products",None,None,None
Vatican City,VAT,2017,Rice and products,None,None,None
Vatican City,VAT,2017,Wheat and products,None,None,None
Venezuela,VEN,2017,Eggs,None,None,None
Venezuela,VEN,2017,Maize and products,None,None,None
Venezuela,VEN,2017,Milk - Excluding Butter,None,None,None
Venezuela,VEN,2017,"Pulses, Other and products",None,None,None
Venezuela,VEN,2017,Rice and products,None,None,None
Venezuela,VEN,2017,Wheat and products,None,None,None
Vietnam,VNM,2017,Eggs,None,None,None
Vietnam,VNM,2017,Maize and products,None,None,None
Vietnam,VNM,2017,Milk - Excluding Butter,None,None,None
Vietnam,VNM,2017,"Pulses, Other and products",None,None,None
Vietnam,VNM,2017,Rice and products,None,None,None
Vietnam,VNM,2017,Wheat and products,None,None,None
Yemen,YEM,2017,Eggs,5.2,0.5,0.4
Yemen,YEM,2017,Maize and products,154.1,3.2,1.3
Yemen,YEM,2017,Milk - Excluding Butter,28.9,2.0,1.2
Yemen,YEM,2017,"Pulses, Other and products",31.4,2.1,0.3
Yemen,YEM,2017,Rice and products,129.6,2.6,0.4
Yemen,YEM,2017,Wheat and products,787.7,24.6,4.3
Zambia,ZMB,2017,Eggs,11.3,1.0,0.8
Zambia,ZMB,2017,Maize and products,1054.0,21.8,9.0
Zambia,ZMB,2017,Milk - Excluding Butter,13.3,0.8,0.8
Zambia,ZMB,2017,"Pulses, Other and products",13.0,1.0,0.2
Zambia,ZMB,2017,Rice and products,19.5,0.4,0.1
Zambia,ZMB,2017,Wheat and products,86.9,2.7,0.4
Zimbabwe,ZWE,2017,Eggs,4.7,0.4,0.3
Zimbabwe,ZWE,2017,Maize and products,713.0,14.8,6.1
Zimbabwe,ZWE,2017,Milk - Excluding Butter,45.0,2.3,2.5
Zimbabwe,ZWE,2017,"Pulses, Other and products",15.8,1.0,0.3
Zimbabwe,ZWE,2017,Rice and products,95.2,1.9,0.3
Zimbabwe,ZWE,2017,Wheat and products,167.1,5.4,0.9
