Domain Code,Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
FBS,Afghanistan,AFG,2023,Eggs,2.05,0.18,0.14
FBS,Afghanistan,AFG,2023,Maize and products,62.57,1.29,0.53
FBS,Afghanistan,AFG,2023,Milk - Excluding Butter,85.14,5.08,3.92
FBS,Afghanistan,AFG,2023,"Pulses, Other and products",4.37,0.33,0.06
FBS,Afghanistan,AFG,2023,Rice and products,205.97,4.17,0.53
FBS,Afghanistan,AFG,2023,Wheat and products,1369.98,41.35,6.12
FBS,Albania,ALB,2023,Eggs,45.22,3.48,3.25
FBS,Albania,ALB,2023,Maize and products,27.16,0.65,0.25
FBS,Albania,ALB,2023,Milk - Excluding Butter,572.1,30.43,35.59
FBS,Albania,ALB,2023,"Pulses, Other and products",3.6,0.27,0.04
FBS,Albania,ALB,2023,Rice and products,57.84,1.17,0.15
FBS,Albania,ALB,2023,Wheat and products,724.62,22.52,5.97
FBS,Algeria,DZA,2023,Eggs,21.04,1.89,1.46
FBS,Algeria,DZA,2023,Maize and products,116.95,2.72,1.1
FBS,Algeria,DZA,2023,Milk - Excluding Butter,247.26,14.35,12.28
FBS,Algeria,DZA,2023,"Pulses, Other and products",58.88,4.17,0.51
FBS,Algeria,DZA,2023,Rice and products,44.5,0.91,0.11
FBS,Algeria,DZA,2023,Wheat and products,1267.12,40.89,6.38
None,Andorra,AND,2023,Eggs,None,None,None
None,Andorra,AND,2023,Maize and products,None,None,None
None,Andorra,AND,2023,Milk - Excluding Butter,None,None,None
None,Andorra,AND,2023,"Pulses, Other and products",None,None,None
None,Andorra,AND,2023,Rice and products,None,None,None
None,Andorra,AND,2023,Wheat and products,None,None,None
FBS,Angola,AGO,2023,Eggs,6.07,0.55,0.42
FBS,Angola,AGO,2023,Maize and products,399.03,8.25,3.39
FBS,Angola,AGO,2023,Milk - Excluding Butter,13.21,0.67,0.75
FBS,Angola,AGO,2023,"Pulses, Other and products",6.93,0.42,0.09
FBS,Angola,AGO,2023,Rice and products,96.27,1.96,0.27
FBS,Angola,AGO,2023,Wheat and products,153.4,4.79,0.89
FBS,Antigua and Barbuda,ATG,2023,Eggs,20.36,1.81,1.41
FBS,Antigua and Barbuda,ATG,2023,Maize and products,22.17,0.49,0.16
FBS,Antigua and Barbuda,ATG,2023,Milk - Excluding Butter,178.01,8.88,10.44
FBS,Antigua and Barbuda,ATG,2023,"Pulses, Other and products",10.12,0.75,0.07
FBS,Antigua and Barbuda,ATG,2023,Rice and products,132.01,3.18,0.89
FBS,Antigua and Barbuda,ATG,2023,Wheat and products,424.72,12.17,4.75
FBS,Argentina,ARG,2023,Eggs,64.51,5.81,4.45
FBS,Argentina,ARG,2023,Maize and products,81.01,1.68,0.69
FBS,Argentina,ARG,2023,Milk - Excluding Butter,259.45,14.2,16.55
FBS,Argentina,ARG,2023,"Pulses, Other and products",6.28,0.45,0.05
FBS,Argentina,ARG,2023,Rice and products,82.31,1.72,0.31
FBS,Argentina,ARG,2023,Wheat and products,908.86,29.89,8.62
FBS,Armenia,ARM,2023,Eggs,46.49,4.17,3.22
FBS,Armenia,ARM,2023,Maize and products,40.74,0.97,0.39
FBS,Armenia,ARM,2023,Milk - Excluding Butter,354.65,18.39,21.86
FBS,Armenia,ARM,2023,"Pulses, Other and products",8.78,0.65,0.06
FBS,Armenia,ARM,2023,Rice and products,31.92,0.65,0.08
FBS,Armenia,ARM,2023,Wheat and products,973.31,30.23,5.51
FBS,Australia,AUS,2023,Eggs,26.78,2.4,1.85
FBS,Australia,AUS,2023,Maize and products,40.02,0.84,0.34
FBS,Australia,AUS,2023,Milk - Excluding Butter,370.82,20.28,23.54
FBS,Australia,AUS,2023,"Pulses, Other and products",66.32,4.02,1.03
FBS,Australia,AUS,2023,Rice and products,84.68,1.69,0.23
FBS,Australia,AUS,2023,Wheat and products,600.28,19.67,5.67
FBS,Austria,AUT,2023,Eggs,53.41,4.64,3.73
FBS,Austria,AUT,2023,Maize and products,91.23,1.94,0.74
FBS,Austria,AUT,2023,Milk - Excluding Butter,362.42,23.3,23.37
FBS,Austria,AUT,2023,"Pulses, Other and products",12.37,0.79,0.15
FBS,Austria,AUT,2023,Rice and products,38.71,0.77,0.11
FBS,Austria,AUT,2023,Wheat and products,664.85,21.57,3.94
FBS,Azerbaijan,AZE,2023,Eggs,37.03,3.32,2.56
FBS,Azerbaijan,AZE,2023,Maize and products,90.25,1.87,0.77
FBS,Azerbaijan,AZE,2023,Milk - Excluding Butter,284.07,15.27,17.43
FBS,Azerbaijan,AZE,2023,"Pulses, Other and products",6.0,0.46,0.02
FBS,Azerbaijan,AZE,2023,Rice and products,53.92,1.1,0.14
FBS,Azerbaijan,AZE,2023,Wheat and products,1424.93,44.42,7.96
FBS,Bahamas,BHS,2023,Eggs,44.47,3.82,3.12
FBS,Bahamas,BHS,2023,Maize and products,52.0,1.16,0.42
FBS,Bahamas,BHS,2023,Milk - Excluding Butter,205.64,11.35,13.01
FBS,Bahamas,BHS,2023,"Pulses, Other and products",1.85,0.13,0.01
FBS,Bahamas,BHS,2023,Rice and products,71.92,1.66,0.36
FBS,Bahamas,BHS,2023,Wheat and products,308.08,7.25,6.8
FBS,Bahrain,BHR,2023,Eggs,34.82,3.12,2.41
FBS,Bahrain,BHR,2023,Maize and products,55.85,1.16,0.47
FBS,Bahrain,BHR,2023,Milk - Excluding Butter,197.9,12.1,9.96
FBS,Bahrain,BHR,2023,"Pulses, Other and products",34.54,2.31,0.45
FBS,Bahrain,BHR,2023,Rice and products,423.93,8.62,1.1
FBS,Bahrain,BHR,2023,Wheat and products,579.75,18.18,3.31
FBS,Bangladesh,BGD,2023,Eggs,13.97,1.18,0.99
FBS,Bangladesh,BGD,2023,Maize and products,7.4,0.19,0.09
FBS,Bangladesh,BGD,2023,Milk - Excluding Butter,146.65,6.95,8.57
FBS,Bangladesh,BGD,2023,"Pulses, Other and products",63.95,4.6,0.65
FBS,Bangladesh,BGD,2023,Rice and products,1655.14,32.66,4.15
FBS,Bangladesh,BGD,2023,Wheat and products,92.66,2.9,0.49
FBS,Barbados,BRB,2023,Eggs,33.47,2.98,2.32
FBS,Barbados,BRB,2023,Maize and products,158.26,3.37,1.27
FBS,Barbados,BRB,2023,Milk - Excluding Butter,162.13,9.28,10.01
FBS,Barbados,BRB,2023,"Pulses, Other and products",37.72,2.79,0.49
FBS,Barbados,BRB,2023,Rice and products,179.29,3.87,0.92
FBS,Barbados,BRB,2023,Wheat and products,571.62,17.27,4.5
FBS,Belarus,BLR,2023,Eggs,58.53,5.21,4.06
FBS,Belarus,BLR,2023,Maize and products,1.4,0.03,0.01
FBS,Belarus,BLR,2023,Milk - Excluding Butter,413.2,25.14,15.75
FBS,Belarus,BLR,2023,"Pulses, Other and products",0.3,0.02,0.0
FBS,Belarus,BLR,2023,Rice and products,1.33,0.03,0.0
FBS,Belarus,BLR,2023,Wheat and products,523.26,13.55,9.04
