Domain Code,Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
FBS,Afghanistan,AFG,2014,Eggs,6.13,0.54,0.43
FBS,Afghanistan,AFG,2014,Maize and products,22.28,0.46,0.19
FBS,Afghanistan,AFG,2014,Milk - Excluding Butter,125.41,7.7,5.56
FBS,Afghanistan,AFG,2014,"Pulses, Other and products",23.15,1.72,0.34
FBS,Afghanistan,AFG,2014,Rice and products,159.13,3.23,0.41
FBS,Afghanistan,AFG,2014,Wheat and products,1359.69,40.83,6.64
FBS,Albania,ALB,2014,Eggs,53.93,4.19,3.87
FBS,Albania,ALB,2014,Maize and products,17.03,0.36,0.14
FBS,Albania,ALB,2014,Milk - Excluding Butter,609.32,32.09,36.21
FBS,Albania,ALB,2014,"Pulses, Other and products",3.33,0.25,0.03
FBS,Albania,ALB,2014,Rice and products,67.48,1.38,0.19
FBS,Albania,ALB,2014,Wheat and products,1042.98,32.35,6.29
FBS,Algeria,DZA,2014,Eggs,28.17,2.53,1.95
FBS,Algeria,DZA,2014,Maize and products,129.17,2.58,1.06
FBS,Algeria,DZA,2014,Milk - Excluding Butter,286.16,16.0,14.68
FBS,Algeria,DZA,2014,"Pulses, Other and products",47.15,3.26,0.47
FBS,Algeria,DZA,2014,Rice and products,24.5,0.5,0.07
FBS,Algeria,DZA,2014,Wheat and products,1252.06,39.46,6.04
None,Andorra,AND,2014,Eggs,None,None,None
None,Andorra,AND,2014,Maize and products,None,None,None
None,Andorra,AND,2014,Milk - Excluding Butter,None,None,None
None,Andorra,AND,2014,"Pulses, Other and products",None,None,None
None,Andorra,AND,2014,Rice and products,None,None,None
None,Andorra,AND,2014,Wheat and products,None,None,None
FBS,Angola,AGO,2014,Eggs,2.68,0.24,0.19
FBS,Angola,AGO,2014,Maize and products,356.57,7.37,3.03
FBS,Angola,AGO,2014,Milk - Excluding Butter,30.43,1.5,1.54
FBS,Angola,AGO,2014,"Pulses, Other and products",8.78,0.54,0.12
FBS,Angola,AGO,2014,Rice and products,134.23,2.73,0.38
FBS,Angola,AGO,2014,Wheat and products,234.85,7.1,1.95
FBS,Antigua and Barbuda,ATG,2014,Eggs,9.94,0.87,0.69
FBS,Antigua and Barbuda,ATG,2014,Maize and products,57.41,1.49,0.42
FBS,Antigua and Barbuda,ATG,2014,Milk - Excluding Butter,174.04,8.39,10.15
FBS,Antigua and Barbuda,ATG,2014,"Pulses, Other and products",8.58,0.63,0.05
FBS,Antigua and Barbuda,ATG,2014,Rice and products,119.4,2.75,0.81
FBS,Antigua and Barbuda,ATG,2014,Wheat and products,413.95,12.15,4.16
FBS,Argentina,ARG,2014,Eggs,41.59,3.74,2.87
FBS,Argentina,ARG,2014,Maize and products,94.3,1.95,0.8
FBS,Argentina,ARG,2014,Milk - Excluding Butter,250.84,14.41,16.75
FBS,Argentina,ARG,2014,"Pulses, Other and products",6.84,0.52,0.04
FBS,Argentina,ARG,2014,Rice and products,97.3,2.07,0.44
FBS,Argentina,ARG,2014,Wheat and products,804.91,25.4,3.81
FBS,Armenia,ARM,2014,Eggs,41.96,3.76,2.91
FBS,Armenia,ARM,2014,Maize and products,39.16,0.94,0.38
FBS,Armenia,ARM,2014,Milk - Excluding Butter,415.48,21.06,25.85
FBS,Armenia,ARM,2014,"Pulses, Other and products",9.75,0.71,0.06
FBS,Armenia,ARM,2014,Rice and products,34.7,0.72,0.11
FBS,Armenia,ARM,2014,Wheat and products,902.28,28.27,4.57
FBS,Australia,AUS,2014,Eggs,28.06,2.51,1.94
FBS,Australia,AUS,2014,Maize and products,40.13,0.88,0.33
FBS,Australia,AUS,2014,Milk - Excluding Butter,360.94,20.48,21.62
FBS,Australia,AUS,2014,"Pulses, Other and products",4.61,0.29,0.06
FBS,Australia,AUS,2014,Rice and products,76.94,1.54,0.21
FBS,Australia,AUS,2014,Wheat and products,569.27,18.12,5.15
FBS,Austria,AUT,2014,Eggs,47.56,4.25,3.29
FBS,Austria,AUT,2014,Maize and products,106.93,2.32,0.82
FBS,Austria,AUT,2014,Milk - Excluding Butter,307.33,19.95,20.32
FBS,Austria,AUT,2014,"Pulses, Other and products",3.91,0.26,0.04
FBS,Austria,AUT,2014,Rice and products,35.38,0.72,0.09
FBS,Austria,AUT,2014,Wheat and products,682.36,21.95,4.36
FBS,Azerbaijan,AZE,2014,Eggs,29.91,2.68,2.07
FBS,Azerbaijan,AZE,2014,Maize and products,110.45,3.03,0.91
FBS,Azerbaijan,AZE,2014,Milk - Excluding Butter,269.93,14.82,16.33
FBS,Azerbaijan,AZE,2014,"Pulses, Other and products",0.02,0.0,0.0
FBS,Azerbaijan,AZE,2014,Rice and products,7.19,0.15,0.03
FBS,Azerbaijan,AZE,2014,Wheat and products,1395.26,43.51,7.73
FBS,Bahamas,BHS,2014,Eggs,15.3,1.31,1.07
FBS,Bahamas,BHS,2014,Maize and products,115.93,2.55,0.94
FBS,Bahamas,BHS,2014,Milk - Excluding Butter,161.12,9.13,10.65
FBS,Bahamas,BHS,2014,"Pulses, Other and products",4.09,0.28,0.03
FBS,Bahamas,BHS,2014,Rice and products,248.05,5.26,0.83
FBS,Bahamas,BHS,2014,Wheat and products,268.97,6.64,5.22
None,Bahrain,BHR,2014,Eggs,None,None,None
None,Bahrain,BHR,2014,Maize and products,None,None,None
None,Bahrain,BHR,2014,Milk - Excluding Butter,None,None,None
None,Bahrain,BHR,2014,"Pulses, Other and products",None,None,None
None,Bahrain,BHR,2014,Rice and products,None,None,None
None,Bahrain,BHR,2014,Wheat and products,None,None,None
FBS,Bangladesh,BGD,2014,Eggs,9.03,0.77,0.64
FBS,Bangladesh,BGD,2014,Maize and products,5.93,0.15,0.07
FBS,Bangladesh,BGD,2014,Milk - Excluding Butter,40.83,2.07,2.29
FBS,Bangladesh,BGD,2014,"Pulses, Other and products",29.07,2.07,0.28
FBS,Bangladesh,BGD,2014,Rice and products,1671.02,32.96,4.18
FBS,Bangladesh,BGD,2014,Wheat and products,133.97,4.23,0.63
FBS,Barbados,BRB,2014,Eggs,25.8,2.29,1.79
