Domain Code,Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
FBSH,Afghanistan,AFG,2002,Eggs,2.76,0.21,0.2
FBSH,Afghanistan,AFG,2002,Maize and products,64.74,1.71,0.91
FBSH,Afghanistan,AFG,2002,Milk - Excluding Butter,128.13,7.47,7.04
FBSH,Afghanistan,AFG,2002,"Pulses, Other and products",10.12,0.68,0.06
FBSH,Afghanistan,AFG,2002,Rice and products,205.81,3.94,0.39
FBSH,Afghanistan,AFG,2002,Wheat and products,1068.75,28.81,3.63
FBSH,Albania,ALB,2002,Eggs,24.52,1.96,1.72
FBSH,Albania,ALB,2002,Maize and products,23.54,0.54,0.08
FBSH,Albania,ALB,2002,Milk - Excluding Butter,473.74,25.73,28.36
FBSH,Albania,ALB,2002,"Pulses, Other and products",1.58,0.1,0.01
FBSH,Albania,ALB,2002,Rice and products,68.23,1.37,0.2
FBSH,Albania,ALB,2002,Wheat and products,1256.97,40.28,6.47
FBSH,Algeria,DZA,2002,Eggs,14.57,1.23,1.0
FBSH,Algeria,DZA,2002,Maize and products,108.43,2.73,0.96
FBSH,Algeria,DZA,2002,Milk - Excluding Butter,173.53,10.73,7.98
FBSH,Algeria,DZA,2002,"Pulses, Other and products",36.51,2.43,0.22
FBSH,Algeria,DZA,2002,Rice and products,29.43,0.57,0.04
FBSH,Algeria,DZA,2002,Wheat and products,1419.96,42.95,5.16
None,Andorra,AND,2002,Eggs,None,None,None
None,Andorra,AND,2002,Maize and products,None,None,None
None,Andorra,AND,2002,Milk - Excluding Butter,None,None,None
None,Andorra,AND,2002,"Pulses, Other and products",None,None,None
None,Andorra,AND,2002,Rice and products,None,None,None
None,Andorra,AND,2002,Wheat and products,None,None,None
FBSH,Angola,AGO,2002,Eggs,3.6,0.3,0.25
FBSH,Angola,AGO,2002,Maize and products,342.95,9.04,3.69
FBSH,Angola,AGO,2002,Milk - Excluding Butter,25.94,1.35,1.42
None,Angola,AGO,2002,"Pulses, Other and products",None,None,None
FBSH,Angola,AGO,2002,Rice and products,55.9,1.08,0.08
FBSH,Angola,AGO,2002,Wheat and products,170.71,5.18,0.61
FBSH,Antigua and Barbuda,ATG,2002,Eggs,10.03,0.75,0.65
FBSH,Antigua and Barbuda,ATG,2002,Maize and products,30.45,0.65,0.1
FBSH,Antigua and Barbuda,ATG,2002,Milk - Excluding Butter,253.05,12.33,11.64
FBSH,Antigua and Barbuda,ATG,2002,"Pulses, Other and products",3.56,0.24,0.0
FBSH,Antigua and Barbuda,ATG,2002,Rice and products,92.36,1.82,0.14
