Domain Code,Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
FBS,Afghanistan,AFG,2019,Eggs,3.27,0.28,0.23
FBS,Afghanistan,AFG,2019,Maize and products,29.18,0.6,0.25
FBS,Afghanistan,AFG,2019,Milk - Excluding Butter,90.01,5.52,4.05
FBS,Afghanistan,AFG,2019,"Pulses, Other and products",16.79,1.25,0.24
FBS,Afghanistan,AFG,2019,Rice and products,132.9,2.7,0.34
FBS,Afghanistan,AFG,2019,Wheat and products,1343.85,40.56,6.03
FBS,Albania,ALB,2019,Eggs,61.53,4.72,4.43
FBS,Albania,ALB,2019,Maize and products,21.13,0.45,0.18
FBS,Albania,ALB,2019,Milk - Excluding Butter,664.85,35.73,40.93
FBS,Albania,ALB,2019,"Pulses, Other and products",3.39,0.26,0.03
FBS,Albania,ALB,2019,Rice and products,66.84,1.36,0.18
FBS,Albania,ALB,2019,Wheat and products,938.22,28.96,6.03
FBS,Algeria,DZA,2019,Eggs,23.4,2.1,1.62
FBS,Algeria,DZA,2019,Maize and products,123.09,2.48,1.02
FBS,Algeria,DZA,2019,Milk - Excluding Butter,258.42,14.84,13.06
FBS,Algeria,DZA,2019,"Pulses, Other and products",42.91,2.98,0.42
FBS,Algeria,DZA,2019,Rice and products,27.22,0.55,0.07
FBS,Algeria,DZA,2019,Wheat and products,1316.98,41.6,6.14
None,Andorra,AND,2019,Eggs,None,None,None
None,Andorra,AND,2019,Maize and products,None,None,None
None,Andorra,AND,2019,Milk - Excluding Butter,None,None,None
None,Andorra,AND,2019,"Pulses, Other and products",None,None,None
None,Andorra,AND,2019,Rice and products,None,None,None
None,Andorra,AND,2019,Wheat and products,None,None,None
FBS,Angola,AGO,2019,Eggs,0.25,0.02,0.02
FBS,Angola,AGO,2019,Maize and products,391.99,8.11,3.33
FBS,Angola,AGO,2019,Milk - Excluding Butter,12.44,0.67,0.71
FBS,Angola,AGO,2019,"Pulses, Other and products",6.98,0.42,0.09
FBS,Angola,AGO,2019,Rice and products,149.6,3.08,0.5
FBS,Angola,AGO,2019,Wheat and products,180.98,5.6,1.31
FBS,Antigua and Barbuda,ATG,2019,Eggs,15.88,1.41,1.1
FBS,Antigua and Barbuda,ATG,2019,Maize and products,29.03,0.76,0.25
FBS,Antigua and Barbuda,ATG,2019,Milk - Excluding Butter,165.61,8.15,9.68
FBS,Antigua and Barbuda,ATG,2019,"Pulses, Other and products",11.77,0.85,0.09
FBS,Antigua and Barbuda,ATG,2019,Rice and products,158.28,3.77,1.07
FBS,Antigua and Barbuda,ATG,2019,Wheat and products,433.9,12.62,4.46
FBS,Argentina,ARG,2019,Eggs,55.48,4.99,3.83
FBS,Argentina,ARG,2019,Maize and products,92.57,1.91,0.79
FBS,Argentina,ARG,2019,Milk - Excluding Butter,235.62,13.14,14.94
FBS,Argentina,ARG,2019,"Pulses, Other and products",15.81,1.08,0.16
FBS,Argentina,ARG,2019,Rice and products,74.01,1.55,0.28
FBS,Argentina,ARG,2019,Wheat and products,830.92,27.38,7.97
FBS,Armenia,ARM,2019,Eggs,41.64,3.74,2.88
FBS,Armenia,ARM,2019,Maize and products,35.12,0.84,0.34
FBS,Armenia,ARM,2019,Milk - Excluding Butter,407.89,20.63,25.38
FBS,Armenia,ARM,2019,"Pulses, Other and products",10.62,0.78,0.07
FBS,Armenia,ARM,2019,Rice and products,37.42,0.76,0.1
FBS,Armenia,ARM,2019,Wheat and products,938.33,29.19,5.1
FBS,Australia,AUS,2019,Eggs,28.8,2.58,1.99
FBS,Australia,AUS,2019,Maize and products,34.7,0.76,0.28
FBS,Australia,AUS,2019,Milk - Excluding Butter,404.32,22.94,24.65
FBS,Australia,AUS,2019,"Pulses, Other and products",8.4,0.59,0.07
FBS,Australia,AUS,2019,Rice and products,78.38,1.56,0.21
FBS,Australia,AUS,2019,Wheat and products,578.46,18.41,5.15
FBS,Austria,AUT,2019,Eggs,50.08,4.49,3.46
FBS,Austria,AUT,2019,Maize and products,107.48,2.33,0.83
FBS,Austria,AUT,2019,Milk - Excluding Butter,337.7,22.34,21.1
FBS,Austria,AUT,2019,"Pulses, Other and products",9.93,0.63,0.12
FBS,Austria,AUT,2019,Rice and products,36.71,0.74,0.1
FBS,Austria,AUT,2019,Wheat and products,646.18,20.88,3.6
FBS,Azerbaijan,AZE,2019,Eggs,31.54,2.83,2.18
FBS,Azerbaijan,AZE,2019,Maize and products,95.49,3.43,0.76
FBS,Azerbaijan,AZE,2019,Milk - Excluding Butter,277.8,14.81,17.0
FBS,Azerbaijan,AZE,2019,"Pulses, Other and products",0.07,0.0,0.0
FBS,Azerbaijan,AZE,2019,Rice and products,50.74,1.04,0.14
FBS,Azerbaijan,AZE,2019,Wheat and products,1442.38,45.1,7.73
FBS,Bahamas,BHS,2019,Eggs,26.15,2.17,1.85
FBS,Bahamas,BHS,2019,Maize and products,98.86,2.2,0.79
FBS,Bahamas,BHS,2019,Milk - Excluding Butter,173.17,9.64,10.94
FBS,Bahamas,BHS,2019,"Pulses, Other and products",1.51,0.1,0.01
FBS,Bahamas,BHS,2019,Rice and products,198.07,4.1,0.58
FBS,Bahamas,BHS,2019,Wheat and products,312.77,8.02,5.2
FBS,Bahrain,BHR,2019,Eggs,39.14,3.47,2.72
FBS,Bahrain,BHR,2019,Maize and products,57.85,1.2,0.49
FBS,Bahrain,BHR,2019,Milk - Excluding Butter,215.03,12.72,10.72
FBS,Bahrain,BHR,2019,"Pulses, Other and products",41.52,2.87,0.47
FBS,Bahrain,BHR,2019,Rice and products,465.88,9.48,1.21
FBS,Bahrain,BHR,2019,Wheat and products,563.66,17.68,3.51
FBS,Bangladesh,BGD,2019,Eggs,10.15,0.86,0.72
FBS,Bangladesh,BGD,2019,Maize and products,7.02,0.18,0.08
FBS,Bangladesh,BGD,2019,Milk - Excluding Butter,42.21,2.19,2.31
FBS,Bangladesh,BGD,2019,"Pulses, Other and products",52.62,3.82,0.42
FBS,Bangladesh,BGD,2019,Rice and products,1713.64,33.8,4.28
FBS,Bangladesh,BGD,2019,Wheat and products,124.41,3.93,0.58
FBS,Barbados,BRB,2019,Eggs,36.97,3.27,2.57
FBS,Barbados,BRB,2019,Maize and products,159.04,3.45,1.28
FBS,Barbados,BRB,2019,Milk - Excluding Butter,167.82,9.08,10.44
FBS,Barbados,BRB,2019,"Pulses, Other and products",36.29,2.68,0.46
FBS,Barbados,BRB,2019,Rice and products,138.87,3.08,0.9
FBS,Barbados,BRB,2019,Wheat and products,571.57,17.04,4.96
FBS,Belarus,BLR,2019,Eggs,46.45,4.16,3.21
FBS,Belarus,BLR,2019,Maize and products,6.5,0.13,0.06
FBS,Belarus,BLR,2019,Milk - Excluding Butter,306.64,19.99,11.36
FBS,Belarus,BLR,2019,"Pulses, Other and products",0.42,0.03,0.0
FBS,Belarus,BLR,2019,Rice and products,26.93,0.55,0.07
FBS,Belarus,BLR,2019,Wheat and products,571.75,14.91,9.8
FBS,Belgium,BEL,2019,Eggs,36.57,3.22,2.54
FBS,Belgium,BEL,2019,Maize and products,8.07,0.17,0.07
FBS,Belgium,BEL,2019,Milk - Excluding Butter,455.38,26.76,26.14
FBS,Belgium,BEL,2019,"Pulses, Other and products",10.29,0.77,0.13
FBS,Belgium,BEL,2019,Rice and products,92.29,1.87,0.24
FBS,Belgium,BEL,2019,Wheat and products,660.79,20.81,3.25
FBS,Belize,BLZ,2019,Eggs,16.18,1.45,1.12
FBS,Belize,BLZ,2019,Maize and products,375.7,7.93,3.15
FBS,Belize,BLZ,2019,Milk - Excluding Butter,105.8,6.01,4.39
FBS,Belize,BLZ,2019,"Pulses, Other and products",0.64,0.05,0.01
FBS,Belize,BLZ,2019,Rice and products,239.22,4.87,0.62
FBS,Belize,BLZ,2019,Wheat and products,388.38,11.48,3.92
None,Benin,BEN,2019,Eggs,None,None,None
None,Benin,BEN,2019,Maize and products,None,None,None
None,Benin,BEN,2019,Milk - Excluding Butter,None,None,None
None,Benin,BEN,2019,"Pulses, Other and products",None,None,None
None,Benin,BEN,2019,Rice and products,None,None,None
None,Benin,BEN,2019,Wheat and products,None,None,None
FBS,Bhutan,BTN,2019,Eggs,25.59,2.3,1.77
FBS,Bhutan,BTN,2019,Maize and products,475.37,11.65,5.36
FBS,Bhutan,BTN,2019,Milk - Excluding Butter,126.22,7.26,7.53
FBS,Bhutan,BTN,2019,"Pulses, Other and products",32.14,2.43,0.24
FBS,Bhutan,BTN,2019,Rice and products,1161.82,23.64,3.01
FBS,Bhutan,BTN,2019,Wheat and products,174.17,4.59,2.88
FBS,Bolivia,BOL,2019,Eggs,25.37,2.28,1.75
FBS,Bolivia,BOL,2019,Maize and products,255.1,5.64,2.45
FBS,Bolivia,BOL,2019,Milk - Excluding Butter,78.12,4.05,4.45
FBS,Bolivia,BOL,2019,"Pulses, Other and products",15.99,1.14,0.14
FBS,Bolivia,BOL,2019,Rice and products,272.34,5.54,0.7
FBS,Bolivia,BOL,2019,Wheat and products,373.83,11.35,2.4
FBS,Bosnia and Herzegovina,BIH,2019,Eggs,19.97,1.79,1.38
FBS,Bosnia and Herzegovina,BIH,2019,Maize and products,174.17,3.65,1.47
FBS,Bosnia and Herzegovina,BIH,2019,Milk - Excluding Butter,350.48,17.56,21.56
FBS,Bosnia and Herzegovina,BIH,2019,"Pulses, Other and products",15.3,0.93,0.24
FBS,Bosnia and Herzegovina,BIH,2019,Rice and products,20.72,0.43,0.06
FBS,Bosnia and Herzegovina,BIH,2019,Wheat and products,1007.51,32.07,6.71
FBS,Botswana,BWA,2019,Eggs,4.87,0.44,0.34
FBS,Botswana,BWA,2019,Maize and products,694.36,14.5,5.86
FBS,Botswana,BWA,2019,Milk - Excluding Butter,88.67,4.87,4.37
FBS,Botswana,BWA,2019,"Pulses, Other and products",6.85,0.47,0.1
FBS,Botswana,BWA,2019,Rice and products,127.61,2.59,0.33
FBS,Botswana,BWA,2019,Wheat and products,368.81,11.27,3.2
FBS,Brazil,BRA,2019,Eggs,45.52,3.98,3.18
FBS,Brazil,BRA,2019,Maize and products,235.05,4.95,2.07
FBS,Brazil,BRA,2019,Milk - Excluding Butter,287.04,13.86,16.47
FBS,Brazil,BRA,2019,"Pulses, Other and products",1.21,0.09,0.01
FBS,Brazil,BRA,2019,Rice and products,248.15,5.05,0.64
FBS,Brazil,BRA,2019,Wheat and products,373.38,11.78,1.77
None,Brunei,BRN,2019,Eggs,None,None,None
None,Brunei,BRN,2019,Maize and products,None,None,None
None,Brunei,BRN,2019,Milk - Excluding Butter,None,None,None
None,Brunei,BRN,2019,"Pulses, Other and products",None,None,None
None,Brunei,BRN,2019,Rice and products,None,None,None
None,Brunei,BRN,2019,Wheat and products,None,None,None
FBS,Bulgaria,BGR,2019,Eggs,29.54,2.65,2.04
FBS,Bulgaria,BGR,2019,Maize and products,166.88,3.45,1.42
FBS,Bulgaria,BGR,2019,Milk - Excluding Butter,289.48,18.82,17.36
FBS,Bulgaria,BGR,2019,"Pulses, Other and products",1.59,0.12,0.01
FBS,Bulgaria,BGR,2019,Rice and products,28.13,0.62,0.18
FBS,Bulgaria,BGR,2019,Wheat and products,714.23,22.5,3.49
FBS,Burkina Faso,BFA,2019,Eggs,3.99,0.36,0.28
FBS,Burkina Faso,BFA,2019,Maize and products,469.67,9.71,3.99
FBS,Burkina Faso,BFA,2019,Milk - Excluding Butter,44.27,2.21,2.46
FBS,Burkina Faso,BFA,2019,"Pulses, Other and products",310.77,21.34,2.16
FBS,Burkina Faso,BFA,2019,Rice and products,207.3,4.33,0.81
FBS,Burkina Faso,BFA,2019,Wheat and products,95.07,3.02,0.5
None,Burundi,BDI,2019,Eggs,None,None,None
None,Burundi,BDI,2019,Maize and products,None,None,None
None,Burundi,BDI,2019,Milk - Excluding Butter,None,None,None
None,Burundi,BDI,2019,"Pulses, Other and products",None,None,None
None,Burundi,BDI,2019,Rice and products,None,None,None
None,Burundi,BDI,2019,Wheat and products,None,None,None
FBS,Cabo Verde,CPV,2019,Eggs,19.23,1.65,1.35
FBS,Cabo Verde,CPV,2019,Maize and products,476.66,9.87,4.05
FBS,Cabo Verde,CPV,2019,Milk - Excluding Butter,178.87,9.87,9.54
FBS,Cabo Verde,CPV,2019,"Pulses, Other and products",65.29,4.86,0.83
FBS,Cabo Verde,CPV,2019,Rice and products,514.29,10.46,1.33
FBS,Cabo Verde,CPV,2019,Wheat and products,334.58,10.31,3.09
FBS,Cambodia,KHM,2019,Eggs,4.07,0.35,0.29
FBS,Cambodia,KHM,2019,Maize and products,6.01,0.12,0.05
FBS,Cambodia,KHM,2019,Milk - Excluding Butter,6.97,0.38,0.29
FBS,Cambodia,KHM,2019,"Pulses, Other and products",0.04,0.0,0.0
FBS,Cambodia,KHM,2019,Rice and products,1398.69,28.45,3.61
FBS,Cambodia,KHM,2019,Wheat and products,33.73,1.04,0.26
FBS,Cameroon,CMR,2019,Eggs,1.28,0.11,0.09
FBS,Cameroon,CMR,2019,Maize and products,374.99,7.75,3.19
FBS,Cameroon,CMR,2019,Milk - Excluding Butter,24.66,1.23,1.4
FBS,Cameroon,CMR,2019,"Pulses, Other and products",64.11,4.33,0.52
FBS,Cameroon,CMR,2019,Rice and products,288.27,6.06,1.16
FBS,Cameroon,CMR,2019,Wheat and products,216.83,7.07,1.24
FBS,Canada,CAN,2019,Eggs,53.64,4.82,3.7
FBS,Canada,CAN,2019,Maize and products,128.77,2.66,1.09
FBS,Canada,CAN,2019,Milk - Excluding Butter,241.6,17.66,13.68
FBS,Canada,CAN,2019,"Pulses, Other and products",68.04,4.82,0.56
FBS,Canada,CAN,2019,Rice and products,125.45,2.57,0.39
FBS,Canada,CAN,2019,Wheat and products,562.87,17.09,2.83
None,Central African Republic,CAF,2019,Eggs,None,None,None
None,Central African Republic,CAF,2019,Maize and products,None,None,None
None,Central African Republic,CAF,2019,Milk - Excluding Butter,None,None,None
None,Central African Republic,CAF,2019,"Pulses, Other and products",None,None,None
None,Central African Republic,CAF,2019,Rice and products,None,None,None
None,Central African Republic,CAF,2019,Wheat and products,None,None,None
None,Chad,TCD,2019,Eggs,None,None,None
None,Chad,TCD,2019,Maize and products,None,None,None
None,Chad,TCD,2019,Milk - Excluding Butter,None,None,None
None,Chad,TCD,2019,"Pulses, Other and products",None,None,None
None,Chad,TCD,2019,Rice and products,None,None,None
None,Chad,TCD,2019,Wheat and products,None,None,None
FBS,Chile,CHL,2019,Eggs,32.42,2.91,2.24
FBS,Chile,CHL,2019,Maize and products,128.28,2.65,1.09
FBS,Chile,CHL,2019,Milk - Excluding Butter,178.9,10.75,9.36
FBS,Chile,CHL,2019,"Pulses, Other and products",17.74,1.44,0.22
FBS,Chile,CHL,2019,Rice and products,79.81,1.62,0.21
FBS,Chile,CHL,2019,Wheat and products,937.6,29.46,5.39
FBS,China,CHN,2019,Eggs,76.85,6.68,5.38
FBS,China,CHN,2019,Maize and products,53.49,1.13,0.45
FBS,China,CHN,2019,Milk - Excluding Butter,57.66,2.87,3.3
FBS,China,CHN,2019,"Pulses, Other and products",7.83,0.6,0.06
FBS,China,CHN,2019,Rice and products,845.3,17.53,3.41
FBS,China,CHN,2019,Wheat and products,605.77,21.5,4.1
FBS,Colombia,COL,2019,Eggs,46.5,4.17,3.22
FBS,Colombia,COL,2019,Maize and products,332.14,7.05,2.96
FBS,Colombia,COL,2019,Milk - Excluding Butter,209.26,10.12,12.49
FBS,Colombia,COL,2019,"Pulses, Other and products",15.04,1.12,0.09
FBS,Colombia,COL,2019,Rice and products,314.13,6.39,0.81
FBS,Colombia,COL,2019,Wheat and products,226.78,7.09,1.21
FBS,Comoros,COM,2019,Eggs,4.95,0.44,0.34
FBS,Comoros,COM,2019,Maize and products,52.79,1.09,0.45
FBS,Comoros,COM,2019,Milk - Excluding Butter,40.83,2.02,1.73
FBS,Comoros,COM,2019,"Pulses, Other and products",158.03,11.78,2.27
FBS,Comoros,COM,2019,Rice and products,766.66,15.54,1.98
FBS,Comoros,COM,2019,Wheat and products,198.42,6.07,1.38
FBS,Congo,COG,2019,Eggs,1.17,0.11,0.08
FBS,Congo,COG,2019,Maize and products,33.28,0.69,0.28
FBS,Congo,COG,2019,Milk - Excluding Butter,9.66,0.48,0.51
FBS,Congo,COG,2019,"Pulses, Other and products",0.87,0.06,0.01
FBS,Congo,COG,2019,Rice and products,102.6,2.09,0.27
FBS,Congo,COG,2019,Wheat and products,310.03,9.51,2.12
FBS,Costa Rica,CRI,2019,Eggs,40.25,3.6,2.79
FBS,Costa Rica,CRI,2019,Maize and products,151.4,3.22,1.26
FBS,Costa Rica,CRI,2019,Milk - Excluding Butter,326.58,16.34,18.81
FBS,Costa Rica,CRI,2019,"Pulses, Other and products",4.72,0.32,0.05
FBS,Costa Rica,CRI,2019,Rice and products,416.96,8.5,1.12
FBS,Costa Rica,CRI,2019,Wheat and products,386.11,11.87,2.23
FBS,Croatia,HRV,2019,Eggs,28.34,2.53,1.96
FBS,Croatia,HRV,2019,Maize and products,95.29,2.07,0.75
FBS,Croatia,HRV,2019,Milk - Excluding Butter,340.02,23.27,18.21
FBS,Croatia,HRV,2019,"Pulses, Other and products",5.95,0.44,0.05
FBS,Croatia,HRV,2019,Rice and products,24.76,0.5,0.07
FBS,Croatia,HRV,2019,Wheat and products,721.45,20.83,7.58
FBS,Cuba,CUB,2019,Eggs,32.15,2.89,2.22
FBS,Cuba,CUB,2019,Maize and products,11.01,0.23,0.09
FBS,Cuba,CUB,2019,Milk - Excluding Butter,153.7,8.46,8.1
FBS,Cuba,CUB,2019,"Pulses, Other and products",59.45,4.43,0.86
FBS,Cuba,CUB,2019,Rice and products,603.88,12.21,1.56
FBS,Cuba,CUB,2019,Wheat and products,429.64,13.39,2.39
FBS,Cyprus,CYP,2019,Eggs,26.95,2.34,1.88
FBS,Cyprus,CYP,2019,Maize and products,117.68,2.88,1.23
FBS,Cyprus,CYP,2019,Milk - Excluding Butter,298.9,16.11,15.97
FBS,Cyprus,CYP,2019,"Pulses, Other and products",14.81,1.08,0.12
FBS,Cyprus,CYP,2019,Rice and products,53.83,1.1,0.15
FBS,Cyprus,CYP,2019,Wheat and products,806.06,24.02,7.04
FBS,Czechia,CZE,2019,Eggs,34.25,3.04,2.36
FBS,Czechia,CZE,2019,Maize and products,0.03,0.0,0.0
FBS,Czechia,CZE,2019,Milk - Excluding Butter,311.36,20.59,19.15
FBS,Czechia,CZE,2019,"Pulses, Other and products",6.29,0.52,0.05
FBS,Czechia,CZE,2019,Rice and products,43.73,0.9,0.13
FBS,Czechia,CZE,2019,Wheat and products,567.65,17.73,2.84
FBS,Côte d'Ivoire,CIV,2019,Eggs,7.22,0.65,0.5
FBS,Côte d'Ivoire,CIV,2019,Maize and products,141.23,2.92,1.2
FBS,Côte d'Ivoire,CIV,2019,Milk - Excluding Butter,8.7,0.51,0.37
FBS,Côte d'Ivoire,CIV,2019,"Pulses, Other and products",4.45,0.33,0.06
FBS,Côte d'Ivoire,CIV,2019,Rice and products,744.69,15.63,2.95
FBS,Côte d'Ivoire,CIV,2019,Wheat and products,155.33,4.53,1.59
FBS,Democratic Republic of the Congo,COD,2019,Eggs,0.26,0.02,0.02
FBS,Democratic Republic of the Congo,COD,2019,Maize and products,178.62,3.7,1.52
FBS,Democratic Republic of the Congo,COD,2019,Milk - Excluding Butter,1.24,0.07,0.06
FBS,Democratic Republic of the Congo,COD,2019,"Pulses, Other and products",12.13,0.85,0.11
FBS,Democratic Republic of the Congo,COD,2019,Rice and products,96.97,1.97,0.25
FBS,Democratic Republic of the Congo,COD,2019,Wheat and products,40.36,1.23,0.3
FBS,Denmark,DNK,2019,Eggs,57.99,5.24,3.97
FBS,Denmark,DNK,2019,Maize and products,50.69,1.05,0.43
FBS,Denmark,DNK,2019,Milk - Excluding Butter,531.44,32.88,31.33
FBS,Denmark,DNK,2019,"Pulses, Other and products",2.41,0.16,0.03
FBS,Denmark,DNK,2019,Rice and products,46.71,0.94,0.12
FBS,Denmark,DNK,2019,Wheat and products,574.66,17.2,4.72
FBS,Djibouti,DJI,2019,Eggs,3.32,0.29,0.23
FBS,Djibouti,DJI,2019,Maize and products,28.53,0.6,0.24
FBS,Djibouti,DJI,2019,Milk - Excluding Butter,97.61,5.09,5.18
FBS,Djibouti,DJI,2019,"Pulses, Other and products",48.53,3.72,0.2
FBS,Djibouti,DJI,2019,Rice and products,479.37,9.77,1.25
FBS,Djibouti,DJI,2019,Wheat and products,899.72,28.33,5.01
None,Dominica,DMA,2019,Eggs,None,None,None
None,Dominica,DMA,2019,Maize and products,None,None,None
None,Dominica,DMA,2019,Milk - Excluding Butter,None,None,None
None,Dominica,DMA,2019,"Pulses, Other and products",None,None,None
None,Dominica,DMA,2019,Rice and products,None,None,None
None,Dominica,DMA,2019,Wheat and products,None,None,None
FBS,Dominican Republic,DOM,2019,Eggs,43.53,3.9,3.01
FBS,Dominican Republic,DOM,2019,Maize and products,37.2,0.85,0.29
FBS,Dominican Republic,DOM,2019,Milk - Excluding Butter,195.83,10.7,10.8
FBS,Dominican Republic,DOM,2019,"Pulses, Other and products",28.53,2.04,0.17
FBS,Dominican Republic,DOM,2019,Rice and products,463.54,9.43,1.2
FBS,Dominican Republic,DOM,2019,Wheat and products,179.26,5.25,1.59
FBS,Ecuador,ECU,2019,Eggs,27.8,2.49,1.92
FBS,Ecuador,ECU,2019,Maize and products,355.12,7.35,3.02
FBS,Ecuador,ECU,2019,Milk - Excluding Butter,169.98,9.25,10.87
FBS,Ecuador,ECU,2019,"Pulses, Other and products",13.21,1.03,0.08
FBS,Ecuador,ECU,2019,Rice and products,351.43,7.15,0.91
FBS,Ecuador,ECU,2019,Wheat and products,332.03,10.31,1.88
FBS,Egypt,EGY,2019,Eggs,13.29,1.19,0.92
FBS,Egypt,EGY,2019,Maize and products,513.81,11.25,4.86
FBS,Egypt,EGY,2019,Milk - Excluding Butter,87.93,5.34,5.6
FBS,Egypt,EGY,2019,"Pulses, Other and products",26.99,2.09,0.16
FBS,Egypt,EGY,2019,Rice and products,288.58,5.89,0.79
FBS,Egypt,EGY,2019,Wheat and products,1053.1,33.27,4.97
FBS,El Salvador,SLV,2019,Eggs,32.28,2.89,2.23
FBS,El Salvador,SLV,2019,Maize and products,787.12,16.28,6.69
FBS,El Salvador,SLV,2019,Milk - Excluding Butter,191.76,10.47,12.17
FBS,El Salvador,SLV,2019,"Pulses, Other and products",0.22,0.01,0.0
FBS,El Salvador,SLV,2019,Rice and products,95.26,1.94,0.25
FBS,El Salvador,SLV,2019,Wheat and products,349.05,10.68,2.3
None,Equatorial Guinea,GNQ,2019,Eggs,None,None,None
None,Equatorial Guinea,GNQ,2019,Maize and products,None,None,None
None,Equatorial Guinea,GNQ,2019,Milk - Excluding Butter,None,None,None
None,Equatorial Guinea,GNQ,2019,"Pulses, Other and products",None,None,None
None,Equatorial Guinea,GNQ,2019,Rice and products,None,None,None
None,Equatorial Guinea,GNQ,2019,Wheat and products,None,None,None
None,Eritrea,ERI,2019,Eggs,None,None,None
None,Eritrea,ERI,2019,Maize and products,None,None,None
None,Eritrea,ERI,2019,Milk - Excluding Butter,None,None,None
None,Eritrea,ERI,2019,"Pulses, Other and products",None,None,None
None,Eritrea,ERI,2019,Rice and products,None,None,None
None,Eritrea,ERI,2019,Wheat and products,None,None,None
FBS,Estonia,EST,2019,Eggs,46.87,4.0,3.28
FBS,Estonia,EST,2019,Maize and products,68.26,1.42,0.58
FBS,Estonia,EST,2019,Milk - Excluding Butter,602.35,39.91,32.55
FBS,Estonia,EST,2019,"Pulses, Other and products",0.03,0.0,0.0
FBS,Estonia,EST,2019,Rice and products,25.48,0.52,0.08
FBS,Estonia,EST,2019,Wheat and products,334.68,11.03,3.37
FBS,Eswatini,SWZ,2019,Eggs,7.17,0.64,0.5
FBS,Eswatini,SWZ,2019,Maize and products,717.16,15.08,6.02
FBS,Eswatini,SWZ,2019,Milk - Excluding Butter,90.13,4.2,5.04
FBS,Eswatini,SWZ,2019,"Pulses, Other and products",13.66,0.97,0.16
FBS,Eswatini,SWZ,2019,Rice and products,225.41,4.6,0.62
FBS,Eswatini,SWZ,2019,Wheat and products,256.0,7.27,2.72
FBS,Ethiopia,ETH,2019,Eggs,1.27,0.11,0.09
FBS,Ethiopia,ETH,2019,Maize and products,476.55,9.86,4.05
FBS,Ethiopia,ETH,2019,Milk - Excluding Butter,63.02,3.1,3.59
FBS,Ethiopia,ETH,2019,"Pulses, Other and products",128.76,9.67,1.06
FBS,Ethiopia,ETH,2019,Rice and products,50.23,1.02,0.13
FBS,Ethiopia,ETH,2019,Wheat and products,468.8,14.81,2.19
FBS,Fiji,FJI,2019,Eggs,26.56,2.38,1.84
FBS,Fiji,FJI,2019,Maize and products,21.6,0.45,0.19
FBS,Fiji,FJI,2019,Milk - Excluding Butter,60.37,4.36,2.0
FBS,Fiji,FJI,2019,"Pulses, Other and products",21.89,1.64,0.31
FBS,Fiji,FJI,2019,Rice and products,410.15,8.3,1.06
