Domain Code,Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
FBSH,Barbados,BRB,2003,Milk - Excluding Butter,158.07,8.88,8.97
FBSH,Barbados,BRB,2003,"Pulses, Other and products",33.26,2.18,0.19
FBSH,Barbados,BRB,2003,Rice and products,180.06,3.72,0.73
FBSH,Barbados,BRB,2003,Wheat and products,531.92,14.18,1.9
FBSH,Belarus,BLR,2003,Eggs,48.33,3.72,3.41
FBSH,Belarus,BLR,2003,Maize and products,2.05,0.05,0.01
FBSH,Belarus,BLR,2003,Milk - Excluding Butter,236.63,15.7,9.92
FBSH,Belarus,BLR,2003,"Pulses, Other and products",0.01,0.0,0.0
FBSH,Belarus,BLR,2003,Rice and products,52.98,0.99,0.1
FBSH,Belarus,BLR,2003,Wheat and products,551.13,15.05,7.9
FBSH,Belgium,BEL,2003,Eggs,45.12,3.47,3.18
FBSH,Belgium,BEL,2003,Maize and products,14.36,0.33,0.05
FBSH,Belgium,BEL,2003,Milk - Excluding Butter,384.45,23.76,22.12
FBSH,Belgium,BEL,2003,"Pulses, Other and products",2.06,0.14,0.01
FBSH,Belgium,BEL,2003,Rice and products,42.8,0.77,0.09
FBSH,Belgium,BEL,2003,Wheat and products,747.01,22.2,2.28
FBSH,Belize,BLZ,2003,Eggs,17.77,1.35,1.18
FBSH,Belize,BLZ,2003,Maize and products,188.67,4.26,0.58
FBSH,Belize,BLZ,2003,Milk - Excluding Butter,156.14,7.97,7.03
FBSH,Belize,BLZ,2003,"Pulses, Other and products",3.37,0.22,0.02
FBSH,Belize,BLZ,2003,Rice and products,261.56,5.17,0.45
FBSH,Belize,BLZ,2003,Wheat and products,500.01,14.0,2.44
FBSH,Benin,BEN,2003,Eggs,2.29,0.19,0.16
FBSH,Benin,BEN,2003,Maize and products,475.34,12.52,5.12
FBSH,Benin,BEN,2003,Milk - Excluding Butter,17.67,0.79,0.74
FBSH,Benin,BEN,2003,"Pulses, Other and products",15.42,0.8,0.26
FBSH,Benin,BEN,2003,Rice and products,213.58,4.12,0.3
