Country Name,Country Code,Year,Value
Afghanistan,AFG,2016,41.9
Albania,ALB,2016,12.9
Algeria,DZA,2016,10.4
Andorra,AND,2016,
Angola,AGO,2016,36.3
Antigua and Barbuda,ATG,2016,
Argentina,ARG,2016,7.9
Armenia,ARM,2016,10.6
Australia,AUS,2016,3.4
Austria,AUT,2016,
Azerbaijan,AZE,2016,11.9
Bahamas,BHS,2016,
Bahrain,BHR,2016,5.7
Bangladesh,BGD,2016,32.8
Barbados,BRB,2016,6.7
Belarus,BLR,2016,1.8
Belgium,BEL,2016,2.6
Belize,BLZ,2016,14.8
Benin,BEN,2016,33.7
Bhutan,BTN,2016,23.6
Bolivia,BOL,2016,15.8
Bosnia and Herzegovina,BIH,2016,8.6
Botswana,BWA,2016,22.7
Brazil,BRA,2016,7.1
Brunei,BRN,2016,14.2
Bulgaria,BGR,2016,6.5
Burkina Faso,BFA,2016,25.6
Burundi,BDI,2016,54.0
Cabo Verde,CPV,2016,6.8
Cambodia,KHM,2016,27.7
Cameroon,CMR,2016,30.1
Canada,CAN,2016,
Central African Republic,CAF,2016,39.5
Chad,TCD,2016,34.8
Chile,CHL,2016,1.7
China,CHN,2016,6.1
Colombia,COL,2016,12.1
Comoros,COM,2016,25.5
Congo,COG,2016,20.3
Costa Rica,CRI,2016,7.7
Cote d'Ivoire,CIV,2016,25.6
Croatia,HRV,2016,
Cuba,CUB,2016,7.2
Cyprus,CYP,2016,
Czechia,CZE,2016,2.4
Democratic Republic of the Congo,COD,2016,42.5
Denmark,DNK,2016,
Djibouti,DJI,2016,25.1
Dominica,DMA,2016,
Dominican Republic,DOM,2016,7.4
Ecuador,ECU,2016,21.1
Egypt,EGY,2016,18.1
El Salvador,SLV,2016,12.3
Equatorial Guinea,GNQ,2016,21.3
Eritrea,ERI,2016,51.2
Estonia,EST,2016,1.3
Eswatini,SWZ,2016,24.1
Ethiopia,ETH,2016,38.8
Fiji,FJI,2016,6.6
Finland,FIN,2016,1.6
France,FRA,2016,
Gabon,GAB,2016,15.5
Gambia,GMB,2016,19.5
Georgia,GEO,2016,7.0
Germany,DEU,2016,1.8
Ghana,GHA,2016,19.2
Greece,GRC,2016,1.9
Grenada,GRD,2016,
Guatemala,GTM,2016,46.4
Guinea,GIN,2016,31.2
Guinea-Bissau,GNB,2016,27.8
Guyana,GUY,2016,11.3
Haiti,HTI,2016,22.0
Honduras,HND,2016,20.3
Hungary,HUN,2016,
Iceland,ISL,2016,
India,IND,2016,37.7
Indonesia,IDN,2016,29.8
Iran,IRN,2016,5.3
Iraq,IRQ,2016,15.2
Ireland,IRL,2016,2.3
Israel,ISR,2016,
Italy,ITA,2016,
Jamaica,JAM,2016,6.4
Japan,JPN,2016,6.0
Jordan,JOR,2016,7.9
Kazakhstan,KAZ,2016,8.1
Kenya,KEN,2016,24.3
Kiribati,KIR,2016,15.7
Kuwait,KWT,2016,4.9
Kyrgyzstan,KGZ,2016,13.0
Laos,LAO,2016,36.1
Latvia,LVA,2016,1.9
Lebanon,LBN,2016,9.7
Lesotho,LSO,2016,34.6
Liberia,LBR,2016,31.3
Libya,LBY,2016,20.4
Liechtenstein,LIE,2016,
Lithuania,LTU,2016,1.7
Luxembourg,LUX,2016,
Madagascar,MDG,2016,44.6
Malawi,MWI,2016,37.9
Malaysia,MYS,2016,20.0
Maldives,MDV,2016,15.3
Mali,MLI,2016,26.4
Malta,MLT,2016,4.0
Marshall Islands,MHL,2016,34.9
Mauritania,MRT,2016,23.7
Mauritius,MUS,2016,8.0
Mexico,MEX,2016,12.6
Micronesia,FSM,2016,
Moldova,MDA,2016,5.7
Monaco,MCO,2016,
Mongolia,MNG,2016,9.5
Montenegro,MNE,2016,8.2
Morocco,MAR,2016,14.6
Mozambique,MOZ,2016,40.8
Myanmar,MMR,2016,28.6
Namibia,NAM,2016,20.4
Nauru,NRU,2016,18.8
Nepal,NPL,2016,34.2
Netherlands,NLD,2016,1.5
New Zealand,NZL,2016,
Nicaragua,NIC,2016,
Niger,NER,2016,44.7
Nigeria,NGA,2016,35.4
North Korea,PRK,2016,21.4
North Macedonia,MKD,2016,4.6
Norway,NOR,2016,
Oman,OMN,2016,11.8
Pakistan,PAK,2016,40.7
Palau,PLW,2016,
Palestine,PSE,2016,8.6
Panama,PAN,2016,17.7
Papua New Guinea,PNG,2016,47.6
Paraguay,PRY,2016,6.3
Peru,PER,2016,14.0
Philippines,PHL,2016,30.4
Poland,POL,2016,1.5
Portugal,PRT,2016,3.5
Qatar,QAT,2016,6.2
Romania,ROU,2016,8.0
Russia,RUS,2016,
Rwanda,RWA,2016,35.8
Saint Kitts and Nevis,KNA,2016,
