Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
RF,0.5735449735449736,0.5633779437701005,0.5735449735449736,0.5481336343204248,0.7759823863977632
XGB,0.5071428571428572,0.4732105548772215,0.5071428571428572,0.4820861919107533,0.7523513637246498
CatBoost,0.5293650793650795,0.5174836421661818,0.5293650793650795,0.505725652400575,0.7793395041872854
DT,0.47857142857142854,0.46204406704406703,0.47857142857142854,0.45958417615059216,0.6362729685175506
GB,0.47116402116402123,0.46704846079846074,0.47116402116402123,0.4601212274806185,0.7416816114182693
KNN,0.5298941798941799,0.5160670194003527,0.5298941798941799,0.5198327371134389,0.7392910150060379
LR,0.5296296296296296,0.5129451405443468,0.5296296296296296,0.4993868024979136,0.7698311927110026
SVM,0.4994708994708995,0.5302393594060261,0.4994708994708995,0.4865580511706857,0.7308926954620232
