Country Name,Country Code,Year,Food production index (2014-2016 = 100)
Afghanistan,AFG,2008,79.59
Albania,ALB,2008,77.15
Algeria,DZA,2008,59.26
Andorra,AND,2008,
Angola,AGO,2008,64.82
Antigua and Barbuda,ATG,2008,145.98
Argentina,ARG,2008,91.03
Armenia,ARM,2008,84.47
Australia,AUS,2008,80.9
Austria,AUT,2008,103.56
Azerbaijan,AZE,2008,82.72
Bahamas,BHS,2008,81.51
Bahrain,BHR,2008,35.31
Bangladesh,BGD,2008,80.64
Barbados,BRB,2008,110.38
Belarus,BLR,2008,100.27
Belgium,BEL,2008,90.22
Belize,BLZ,2008,96.16
Benin,BEN,2008,74.43
Bhutan,BTN,2008,87.15
Bolivia,BOL,2008,74.43
Bosnia and Herzegovina,BIH,2008,103.04
Botswana,BWA,2008,108.95
Brazil,BRA,2008,85.18
Brunei,BRN,2008,84.36
Bulgaria,BGR,2008,88.42
Burkina Faso,BFA,2008,75.27
Burundi,BDI,2008,92.93
C̫te d'Ivoire,CIV,2008,77.42
Cabo Verde,CPV,2008,91.88
Cambodia,KHM,2008,66.14
Cameroon,CMR,2008,70.59
Canada,CAN,2008,89.24
Central African Republic,CAF,2008,69.03
Chad,TCD,2008,66.51
Chile,CHL,2008,89.9
China,CHN,2008,82.67
Colombia,COL,2008,92.29
Comoros,COM,2008,93.68
Congo,COG,2008,81.28
Costa Rica,CRI,2008,82.76
Croatia,HRV,2008,101.48
Cuba,CUB,2008,93.74
Cyprus,CYP,2008,112.16
Czechia,CZE,2008,101.51
Democratic Republic of the Congo,COD,2008,49.27
Denmark,DNK,2008,98
Djibouti,DJI,2008,116.87
Dominica,DMA,2008,88.23
Dominican Republic,DOM,2008,70.68
Ecuador,ECU,2008,91.59
Egypt,EGY,2008,95.02
El Salvador,SLV,2008,110.04
Equatorial Guinea,GNQ,2008,88.84
Eritrea,ERI,2008,78.84
Estonia,EST,2008,81.41
Eswatini,SWZ,2008,89.44
Ethiopia,ETH,2008,67.89
Fiji,FJI,2008,128.74
Finland,FIN,2008,101.33
France,FRA,2008,99.74
Gabon,GAB,2008,83.41
Gambia,GMB,2008,115.32
Georgia,GEO,2008,99.98
Germany,DEU,2008,96.41
Ghana,GHA,2008,74.63
Greece,GRC,2008,100.84
Grenada,GRD,2008,71.28
Guatemala,GTM,2008,71.13
Guinea,GIN,2008,75.63
Guinea-Bissau,GNB,2008,90.83
Guyana,GUY,2008,58.74
Haiti,HTI,2008,76.76
Honduras,HND,2008,96.75
Hungary,HUN,2008,102.21
Iceland,ISL,2008,89.22
India,IND,2008,79.25
Indonesia,IDN,2008,92.85
Iran,IRN,2008,77.45
Iraq,IRQ,2008,104.11
Ireland,IRL,2008,86.86
Israel,ISR,2008,89.17
Italy,ITA,2008,112.22
Jamaica,JAM,2008,94.93
Japan,JPN,2008,99.94
Jordan,JOR,2008,72.99
Kazakhstan,KAZ,2008,77.32
Kenya,KEN,2008,88.32
Kiribati,KIR,2008,87.35
Kuwait,KWT,2008,52.16
Kyrgyzstan,KGZ,2008,83.87
Laos,LAO,2008,50.94
Latvia,LVA,2008,80.37
Lebanon,LBN,2008,100.04
Lesotho,LSO,2008,98.13
Liberia,LBR,2008,86.04
Libya,LBY,2008,98.19
Liechtenstein,LIE,2008,
Lithuania,LTU,2008,80.11
Luxembourg,LUX,2008,91.08
Madagascar,MDG,2008,95.64
Malawi,MWI,2008,56.89
Malaysia,MYS,2008,72.69
Maldives,MDV,2008,125.21
Mali,MLI,2008,76.8
Malta,MLT,2008,118
Marshall Islands,MHL,2008,130.67
Mauritania,MRT,2008,78.02
Mauritius,MUS,2008,103.86
Mexico,MEX,2008,88.55
Micronesia,FSM,2008,65.17
Moldova,MDA,2008,97.74
