Country Name,Country Code,Year,Food production index (2014-2016 = 100)
Afghanistan,AFG,2014,101.99
Albania,ALB,2014,96.84
Algeria,DZA,2014,96.95
Andorra,AND,2014,
Angola,AGO,2014,94.42
Antigua and Barbuda,ATG,2014,100.66
Argentina,ARG,2014,95.14
Armenia,ARM,2014,97.4
Australia,AUS,2014,100.8
Austria,AUT,2014,102.03
Azerbaijan,AZE,2014,94.84
Bahamas,BHS,2014,98.78
Bahrain,BHR,2014,83.41
Bangladesh,BGD,2014,97.97
Barbados,BRB,2014,99.11
Belarus,BLR,2014,101.59
Belgium,BEL,2014,101.8
Belize,BLZ,2014,102.29
Benin,BEN,2014,103.07
Bhutan,BTN,2014,93.35
Bolivia,BOL,2014,96.04
Bosnia and Herzegovina,BIH,2014,88.85
Botswana,BWA,2014,99.91
Brazil,BRA,2014,98.98
Brunei,BRN,2014,99.31
Bulgaria,BGR,2014,100.74
Burkina Faso,BFA,2014,98.87
Burundi,BDI,2014,100.47
CÃ´te d'Ivoire,CIV,2014,94.7
Cabo Verde,CPV,2014,99.26
Cambodia,KHM,2014,96.88
Cameroon,CMR,2014,95.62
Canada,CAN,2014,94.77
Central African Republic,CAF,2014,95.43
Chad,TCD,2014,97.54
Chile,CHL,2014,97.59
China,CHN,2014,97.62
Colombia,COL,2014,96.69
Comoros,COM,2014,99
Congo,COG,2014,98.96
Costa Rica,CRI,2014,99.6
Croatia,HRV,2014,94.25
Cuba,CUB,2014,97.45
Cyprus,CYP,2014,97.77
Czechia,CZE,2014,101.46
Democratic Republic of the Congo,COD,2014,98.72
Denmark,DNK,2014,99.93
Djibouti,DJI,2014,102.73
Dominica,DMA,2014,98.73
Dominican Republic,DOM,2014,96.53
Ecuador,ECU,2014,101.57
Egypt,EGY,2014,99.73
El Salvador,SLV,2014,99.6
Equatorial Guinea,GNQ,2014,97.47
Eritrea,ERI,2014,100.19
Estonia,EST,2014,97.32
Eswatini,SWZ,2014,101.58
Ethiopia,ETH,2014,96.71
Fiji,FJI,2014,107.58
Finland,FIN,2014,101.04
France,FRA,2014,102.48
Gabon,GAB,2014,99.11
Gambia,GMB,2014,98.01
Georgia,GEO,2014,100.2
Germany,DEU,2014,102.97
Ghana,GHA,2014,99.06
Greece,GRC,2014,97.19
Grenada,GRD,2014,95.2
Guatemala,GTM,2014,96.82
Guinea,GIN,2014,95.45
Guinea-Bissau,GNB,2014,95.56
Guyana,GUY,2014,93.6
Haiti,HTI,2014,101.78
Honduras,HND,2014,93
Hungary,HUN,2014,100.22
Iceland,ISL,2014,95.52
India,IND,2014,99.24
Indonesia,IDN,2014,99.6
Iran,IRN,2014,101.02
Iraq,IRQ,2014,138.3
Ireland,IRL,2014,96.22
Israel,ISR,2014,100.25
Italy,ITA,2014,95.58
Jamaica,JAM,2014,97.75
Japan,JPN,2014,100.86
Jordan,JOR,2014,92.57
Kazakhstan,KAZ,2014,94.49
Kenya,KEN,2014,102.26
Kiribati,KIR,2014,90.44
Kuwait,KWT,2014,98.59
Kyrgyzstan,KGZ,2014,93.37
Laos,LAO,2014,89.82
Latvia,LVA,2014,88.76
Lebanon,LBN,2014,95.09
Lesotho,LSO,2014,106.67
Liberia,LBR,2014,92.45
Libya,LBY,2014,100.24
Liechtenstein,LIE,2014,
Lithuania,LTU,2014,95.06
Luxembourg,LUX,2014,96.69
Madagascar,MDG,2014,101.05
Malawi,MWI,2014,103
Malaysia,MYS,2014,96.27
Maldives,MDV,2014,98.12
Mali,MLI,2014,89.03
Malta,MLT,2014,104.36
Marshall Islands,MHL,2014,83.33
Mauritania,MRT,2014,98.29
Mauritius,MUS,2014,102.85
Mexico,MEX,2014,97.45
Micronesia,FSM,2014,100.05
Moldova,MDA,2014,102.1
Monaco,MCO,2014,
Mongolia,MNG,2014,83.81
Montenegro,MNE,2014,94.04
Morocco,MAR,2014,99.96
Mozambique,MOZ,2014,102.08
Myanmar,MMR,2014,97.99
Namibia,NAM,2014,102.42
Nauru,NRU,2014,99.27
Nepal,NPL,2014,97.66
Netherlands,NLD,2014,96.63
New Zealand,NZL,2014,98.86
Nicaragua,NIC,2014,97.38
Niger,NER,2014,89.86
Nigeria,NGA,2014,95.48
North Korea,PRK,2014,103.24
North Macedonia,MKD,2014,93.16
Norway,NOR,2014,98.85
Oman,OMN,2014,90.93
Pakistan,PAK,2014,98.04
Palau,PLW,2014,
Palestine,PSE,2014,103.43
Panama,PAN,2014,99.45
Papua New Guinea,PNG,2014,99.55
Paraguay,PRY,2014,99.6
Peru,PER,2014,97.76
Philippines,PHL,2014,100.59
Poland,POL,2014,101.74
Portugal,PRT,2014,93.66
Qatar,QAT,2014,80.85
Romania,ROU,2014,103.07
Russia,RUS,2014,97.51
Rwanda,RWA,2014,96.82
Saint Kitts and Nevis,KNA,2014,100.99
Saint Lucia,LCA,2014,101.3
Saint Vincent and the Grenadines,VCT,2014,101.98
Samoa,WSM,2014,121.52
San Marino,SMR,2014,
Sao Tome and Principe,STP,2014,106.36
Saudi Arabia,SAU,2014,91.23
Senegal,SEN,2014,84.48
Serbia,SRB,2014,98.02
Seychelles,SYC,2014,95.09
Sierra Leone,SLE,2014,110.05
Singapore,SGP,2014,95.25
Slovakia,SVK,2014,104.72
Slovenia,SVN,2014,97.67
Solomon Islands,SLB,2014,99.84
Somalia,SOM,2014,100.56
South Africa,ZAF,2014,102.96
South Korea,KOR,2014,101.96
South Sudan,SSD,2014,98.42
Spain,ESP,2014,94.5
Sri Lanka,LKA,2014,96.87
Sudan,SDN,2014,103.29
Suriname,SUR,2014,101.66
Sweden,SWE,2014,99.58
Switzerland,CHE,2014,102.58
Syria,SYR,2014,90.51
TÃ¼rkiye,TUR,2014,95.78
Tajikistan,TJK,2014,87.86
Tanzania,TZA,2014,98.68
Thailand,THA,2014,102.95
Timor-Leste,TLS,2014,100.45
Togo,TGO,2014,100.84
Tonga,TON,2014,95.21
Trinidad and Tobago,TTO,2014,108.27
Tunisia,TUN,2014,89.59
Turkmenistan,TKM,2014,95.8
Tuvalu,TUV,2014,98.81
Uganda,UGA,2014,101.79
Ukraine,UKR,2014,101.11
United Arab Emirates,ARE,2014,94.36
United Kingdom,GBR,2014,100.68
United States,USA,2014,98.13
Uruguay,URY,2014,102.74
Uzbekistan,UZB,2014,93.08
Vanuatu,VUT,2014,105.16
Vatican City,VAT,2014,
Venezuela,VEN,2014,105.75
Vietnam,VNM,2014,98.54
Yemen,YEM,2014,108.06
Zambia,ZMB,2014,105.79
Zimbabwe,ZWE,2014,96.85
