Country,Country Code,Year,Value
Afghanistan,AFG,2017,2.80833730805469
Albania,ALB,2017,-1.54315156766944
Algeria,DZA,2017,2.03200060784518
Andorra,AND,2017,2.16803975005007
Angola,AGO,2017,3.54061221486272
Antigua and Barbuda,ATG,2017,0.553103046635761
Argentina,ARG,2017,0.881249595012674
Armenia,ARM,2017,-0.432038450211669
Australia,AUS,2017,1.64682779735017
Austria,AUT,2017,0.694621103604983
Azerbaijan,AZE,2017,0.98126180450475
Bahamas,BHS,2017,0.624247409539043
Bahrain,BHR,2017,5.29314527321994
Bangladesh,BGD,2017,0.850917315689336
Barbados,BRB,2017,0.204727378663704
Belarus,BLR,2017,-0.109782322950581
Belgium,BEL,2017,0.385228018372369
Belize,BLZ,2017,2.30310203964335
Benin,BEN,2017,2.88117869411855
Bhutan,BTN,2017,0.86127488782821
Bolivia,BOL,2017,1.46124572329841
Bosnia and Herzegovina,BIH,2017,-1.28437067954589
Botswana,BWA,2017,1.42047647332447
Brazil,BRA,2017,0.72824666001736
Brunei,BRN,2017,1.2107045656128
Bulgaria,BGR,2017,-1.32391481752631
Burkina Faso,BFA,2017,2.85291595529266
Burundi,BDI,2017,2.35048627086438
Cabo Verde,CPV,2017,0.0661175101881539
Cambodia,KHM,2017,1.38176596089867
Cameroon,CMR,2017,2.83499798189177
Canada,CAN,2017,1.19543575451553
Central African Republic,CAF,2017,1.67978155291511
Chad,TCD,2017,3.30639583736028
Chile,CHL,2017,1.58394825779579
China,CHN,2017,0.605245013482969
Colombia,COL,2017,1.45147726169193
Comoros,COM,2017,1.99257798738542
Congo,COG,2017,2.43024073423953
Costa Rica,CRI,2017,0.944345948457895
Croatia,HRV,2017,-1.60675520461679
Cuba,CUB,2017,-0.157976772172404
Cyprus,CYP,2017,1.377808546931
Czechia,CZE,2017,0.265642663548985
Côte d'Ivoire,CIV,2017,2.82237176165589
Democratic Republic of the Congo,COD,2017,3.65684620577994
Denmark,DNK,2017,0.643350903737356
Djibouti,DJI,2017,1.64286125399062
Dominica,DMA,2017,-1.60754211187345
Dominican Republic,DOM,2017,1.08787494846018
Ecuador,ECU,2017,1.52946083980042
Egypt,EGY,2017,1.99817843887244
El Salvador,SLV,2017,0.205133928097967
Equatorial Guinea,GNQ,2017,3.53129362583944
Eritrea,ERI,2017,0.817496698225399
Estonia,EST,2017,0.121070631466687
Eswatini,SWZ,2017,0.752960394981198
Ethiopia,ETH,2017,2.72524097063889
Fiji,FJI,2017,-0.0442890767199793
Finland,FIN,2017,0.234670531705453
France,FRA,2017,0.29020211635109
Gabon,GAB,2017,2.65889572463952
Gambia,GMB,2017,2.52588138504562
Georgia,GEO,2017,0.0133860746662629
Germany,DEU,2017,0.373724559895838
Ghana,GHA,2017,2.19535792776401
Greece,GRC,2017,-0.197783224759792
Grenada,GRD,2017,0.26716646126376
Guatemala,GTM,2017,1.81876091504989
Guinea,GIN,2017,2.55652318226129
Guinea-Bissau,GNB,2017,2.4363257519627
Guyana,GUY,2017,0.643724559372237
Haiti,HTI,2017,1.36160662434986
Honduras,HND,2017,1.85007611234979
Hungary,HUN,2017,-0.338685889370073
Iceland,ISL,2017,2.34558267643862
India,IND,2017,1.1623961434697
Indonesia,IDN,2017,1.02232939771064
Iran,IRN,2017,1.43870442098455
Iraq,IRQ,2017,2.23055046409754
Ireland,IRL,2017,1.34979886553997
Israel,ISR,2017,1.93872567441099
Italy,ITA,2017,-0.188100912559894
Jamaica,JAM,2017,0.207939418780596
Japan,JPN,2017,-0.081874296046114
Jordan,JOR,2017,2.25160030043779
Kazakhstan,KAZ,2017,1.5579235201186
Kenya,KEN,2017,2.17412854990493
Kiribati,KIR,2017,1.50534982546091
Kuwait,KWT,2017,3.69493434034851
Kyrgyzstan,KGZ,2017,2.10483082494568
Laos,LAO,2017,1.57029722559747
Latvia,LVA,2017,-0.886215573292392
Lebanon,LBN,2017,-2.61057116476665
Lesotho,LSO,2017,1.24492806980041
Liberia,LBR,2017,1.94324776688719
Libya,LBY,2017,1.59519992425695
Liechtenstein,LIE,2017,0.650125178937136
Lithuania,LTU,2017,-1.21281970207312
Luxembourg,LUX,2017,2.43097641776115
Madagascar,MDG,2017,2.60345495087599
Malawi,MWI,2017,2.70808949087835
Malaysia,MYS,2017,1.76466064017847
Maldives,MDV,2017,3.3230837355609
Mali,MLI,2017,3.18823649379751
Malta,MLT,2017,2.73472979835887
Marshall Islands,MHL,2017,-2.50442852271303
Mauritania,MRT,2017,2.98778789331469
Mauritius,MUS,2017,0.0901672663767558
Mexico,MEX,2017,0.935239396499786
Micronesia,FSM,2017,0.371529920950747
Moldova,MDA,2017,-1.72705846625605
Monaco,MCO,2017,1.07266818197735
Mongolia,MNG,2017,1.92577883760149
Montenegro,MNE,2017,0.100532639617139
Morocco,MAR,2017,1.20034336418867
Mozambique,MOZ,2017,2.98845927899068
Myanmar,MMR,2017,0.772302033467657
Namibia,NAM,2017,2.73527353433315
Nauru,NRU,2017,1.54848693435255
Nepal,NPL,2017,0.199389989212823
Netherlands,NLD,2017,0.591203366164118
New Zealand,NZL,2017,2.08872272281936
Nicaragua,NIC,2017,1.33184988677682
Niger,NER,2017,3.56007044831691
Nigeria,NGA,2017,2.43170936923065
North Korea,PRK,2017,0.463479822191171
North Macedonia,MKD,2017,-0.40242158713311
Norway,NOR,2017,0.807673181884948
Oman,OMN,2017,3.28242998732701
Pakistan,PAK,2017,1.41409990353131
Palau,PLW,2017,0.0842483691607325
Palestine,PSE,2017,1.98868634871278
Panama,PAN,2017,1.71320068899723
Papua New Guinea,PNG,2017,2.3925157995011
Paraguay,PRY,2017,1.42257756735462
Peru,PER,2017,1.47336535107465
Philippines,PHL,2017,1.28830186666283
Poland,POL,2017,0.0124800985844923
Portugal,PRT,2017,-0.243889410358812
Qatar,QAT,2017,2.73590293320866
Romania,ROU,2017,-0.578007015146885
Russia,RUS,2017,0.191382528772924
Rwanda,RWA,2017,2.34556709244995
Saint Kitts and Nevis,KNA,2017,-0.0531208511827516
Saint Lucia,LCA,2017,0.395468542730377
Saint Vincent and the Grenadines,VCT,2017,-0.647135439549124
Samoa,WSM,2017,0.937123219994916
San Marino,SMR,2017,2.16366806498297
Sao Tome and Principe,STP,2017,1.59795344333085
Saudi Arabia,SAU,2017,0.0747825622238132
Senegal,SEN,2017,2.88769908740551
Serbia,SRB,2017,-0.532191341024444
Seychelles,SYC,2017,1.22403375818123
Sierra Leone,SLE,2017,2.38578952940087
Singapore,SGP,2017,0.0885954699924263
Slovakia,SVK,2017,0.155178995687406
Slovenia,SVN,2017,0.0651590392490152
Solomon Islands,SLB,2017,3.45614796025836
Somalia,SOM,2017,3.88144974373944
South Africa,ZAF,2017,0.653837462693277
South Korea,KOR,2017,0.280968018301691
