Country,Country Code,Year,Value
Afghanistan,AFG,1963,2.1052082248002
Albania,ALB,1963,2.95374876199632
Algeria,DZA,1963,1.5250503398561
Andorra,AND,1963,7.21150595530926
Angola,AGO,1963,1.00366645307032
Antigua and Barbuda,ATG,1963,1.38907961226255
Argentina,ARG,1963,1.64339841718671
Armenia,ARM,1963,3.17905118250589
Australia,AUS,1963,1.91781647792421
Austria,AUT,1963,0.642362670652079
Azerbaijan,AZE,1963,2.96416042860687
Bahamas,BHS,1963,5.00445871744217
Bahrain,BHR,1963,3.91029727270344
Bangladesh,BGD,1963,2.91486814980727
Barbados,BRB,1963,0.986934304431455
Belarus,BLR,1963,1.01618823177623
Belgium,BEL,1963,0.747606930682632
Belize,BLZ,1963,2.73398766746674
Benin,BEN,1963,1.83546323054076
Bhutan,BTN,1963,3.11546514463352
Bolivia,BOL,1963,2.08873063140438
Bosnia and Herzegovina,BIH,1963,1.58414276982884
Botswana,BWA,1963,2.3382992115817
Brazil,BRA,1963,2.94697800169989
Brunei,BRN,1963,4.48836692928883
Bulgaria,BGR,1963,0.810378324356217
Burkina Faso,BFA,1963,1.4919836804088
Burundi,BDI,1963,2.10624576492485
Cabo Verde,CPV,1963,3.30370489967376
Cambodia,KHM,1963,2.17796481919923
Cameroon,CMR,1963,2.18629076316111
Canada,CAN,1963,1.86284592763531
Central African Republic,CAF,1963,1.95728780254881
Chad,TCD,1963,2.03566507226671
Chile,CHL,1963,2.01652960266026
China,CHN,1963,2.45764740395145
Colombia,COL,1963,3.05422998569024
Comoros,COM,1963,1.68718444606979
Congo,COG,1963,2.66701619445204
Costa Rica,CRI,1963,3.58390276413584
Croatia,HRV,1963,0.687764980815768
Cuba,CUB,1963,2.10680952802517
Cyprus,CYP,1963,0.957385294946079
Czechia,CZE,1963,0.477058972393582
Côte d'Ivoire,CIV,1963,3.84536161076973
Democratic Republic of the Congo,COD,1963,2.651051235286
Denmark,DNK,1963,0.787727452841454
Djibouti,DJI,1963,4.80226191801968
Dominica,DMA,1963,1.28947803807603
Dominican Republic,DOM,1963,3.06610270366678
Ecuador,ECU,1963,2.88930384776305
Egypt,EGY,1963,2.62898893480294
El Salvador,SLV,1963,2.65912474273457
Equatorial Guinea,GNQ,1963,2.00589152712553
Eritrea,ERI,1963,2.45101572625981
Estonia,EST,1963,1.37847716433837
Eswatini,SWZ,1963,2.2962914197621
Ethiopia,ETH,1963,2.57726352125898
Fiji,FJI,1963,3.14150468622573
Finland,FIN,1963,0.706977468183943
France,FRA,1963,1.00353599767787
Gabon,GAB,1963,1.28834156921139
Gambia,GMB,1963,2.72201987556028
Georgia,GEO,1963,1.47302172404034
Germany,DEU,1963,0.925875063469895
Ghana,GHA,1963,2.38818160278714
Greece,GRC,1963,0.370892005189515
Grenada,GRD,1963,0.847243793058263
Guatemala,GTM,1963,2.93017964996819
Guinea,GIN,1963,1.79369877461217
Guinea-Bissau,GNB,1963,0.835216175210618
Guyana,GUY,1963,2.17218203710158
Haiti,HTI,1963,1.770849021679
Honduras,HND,1963,2.83799588633448
Hungary,HUN,1963,0.269217562055452
Iceland,ISL,1963,1.77978836016473
India,IND,1963,2.34617004494498
Indonesia,IDN,1963,2.82509682257967
Iran,IRN,1963,3.07015436284033
Iraq,IRQ,1963,3.3693190876149
Ireland,IRL,1963,0.583614784297507
Israel,ISR,1963,3.68192274450533
Italy,ITA,1963,0.729553242231653
Jamaica,JAM,1963,1.41411255336515
Japan,JPN,1963,1.0134602261801
Jordan,JOR,1963,4.58821803200926
Kazakhstan,KAZ,1963,3.1176126263308
Kenya,KEN,1963,3.88372295387027
Kiribati,KIR,1963,2.4979121705241
Kuwait,KWT,1963,10.517763941933
Kyrgyzstan,KGZ,1963,3.38344084827971
Laos,LAO,1963,2.2780468654744
Latvia,LVA,1963,1.33561309771935
Lebanon,LBN,1963,3.13116607387943
Lesotho,LSO,1963,2.9688663548783
Liberia,LBR,1963,2.50585096336426
Libya,LBY,1963,4.13636121041533
Liechtenstein,LIE,1963,3.65867011009615
Lithuania,LTU,1963,1.23563344312338
Luxembourg,LUX,1963,1.03901066517559
Madagascar,MDG,1963,2.58572787249008
Malawi,MWI,1963,2.44468605759743
Malaysia,MYS,1963,2.61448951710449
Maldives,MDV,1963,2.49466612698065
Mali,MLI,1963,1.47521229746136
Malta,MLT,1963,-0.417666319903278
Marshall Islands,MHL,1963,3.41300244630277
Mauritania,MRT,1963,2.75053124524719
Mauritius,MUS,1963,2.6089232743809
Mexico,MEX,1963,3.2556284602266
Micronesia,FSM,1963,3.24840719824119
Moldova,MDA,1963,1.92196080501834
Monaco,MCO,1963,1.38094540967689
Mongolia,MNG,1963,2.83225245529327
Montenegro,MNE,1963,2.1361742316178
Morocco,MAR,1963,2.61313490930163
Mozambique,MOZ,1963,1.99540798401864
Myanmar,MMR,1963,2.2157254424199
Namibia,NAM,1963,2.22115723247584
Nauru,NRU,1963,4.8417099438375
Nepal,NPL,1963,1.96423093760974
Netherlands,NLD,1963,1.3484919646048
New Zealand,NZL,1963,1.98658254381755
Nicaragua,NIC,1963,3.01073181924445
Niger,NER,1963,2.90143194405961
Nigeria,NGA,1963,2.12414776592407
North Korea,PRK,1963,2.45018900193276
North Macedonia,MKD,1963,1.14793378870544
Norway,NOR,1963,0.756123515554719
Oman,OMN,1963,1.96014803227287
Pakistan,PAK,1963,2.64686832380638
Palau,PLW,1963,2.46104200930057
Palestine,PSE,1963,
Panama,PAN,1963,3.0341472885667
Papua New Guinea,PNG,1963,2.24111833062892
Paraguay,PRY,1963,2.44210002617055
Peru,PER,1963,2.9013886238878
Philippines,PHL,1963,3.15000313102439
Poland,POL,1963,1.32252564710048
Portugal,PRT,1963,0.403565948731515
Qatar,QAT,1963,12.1187992283286
Romania,ROU,1963,0.647377535798313
Russia,RUS,1963,1.11053215737069
Rwanda,RWA,1963,2.26125883139658
Saint Kitts and Nevis,KNA,1963,-1.8906607549494
Saint Lucia,LCA,1963,1.06724374248466
Saint Vincent and the Grenadines,VCT,1963,1.4645315499776
Samoa,WSM,1963,2.63535539508599
San Marino,SMR,1963,2.42358411724005
Sao Tome and Principe,STP,1963,1.01638691688797
Saudi Arabia,SAU,1963,3.68679858289543
Senegal,SEN,1963,2.82256029455455
Serbia,SRB,1963,0.704988810836648
Seychelles,SYC,1963,2.54222482865351
Sierra Leone,SLE,1963,1.69401870862574
Singapore,SGP,1963,2.52749548206484
Slovakia,SVK,1963,1.02883408574012
Slovenia,SVN,1963,0.827298841981668
Solomon Islands,SLB,1963,2.29091461876261
Somalia,SOM,1963,2.61461445515309
South Africa,ZAF,1963,3.03102216345899
South Korea,KOR,1963,2.78482005271866
South Sudan,SSD,1963,1.58642600311421
Spain,ESP,1963,0.877043251659206
Sri Lanka,LKA,1963,2.44706226942492
Sudan,SDN,1963,3.29794754408435
Suriname,SUR,1963,4.51822793750489
Sweden,SWE,1963,0.563633784442054
Switzerland,CHE,1963,2.13766282113072
Syria,SYR,1963,3.00181221054998
Tajikistan,TJK,1963,3.34515517109644
Tanzania,TZA,1963,2.92939479641117
Thailand,THA,1963,2.97923079566546
Timor-Leste,TLS,1963,1.60071143503654
Togo,TGO,1963,1.83611306966138
Tonga,TON,1963,2.7429888239326
Trinidad and Tobago,TTO,1963,1.86949943301294
Tunisia,TUN,1963,1.31864665679504
Turkmenistan,TKM,1963,3.09906421446654
Tuvalu,TUV,1963,0.908303187875469
Türkiye,TUR,1963,2.67382042142113
Uganda,UGA,1963,2.93986298067628
Ukraine,UKR,1963,1.17345809598308
United Arab Emirates,ARE,1963,4.8906456876335
United Kingdom,GBR,1963,0.748366448717305
United States,USA,1963,1.43916476170683
Uruguay,URY,1963,1.16802655253739
Uzbekistan,UZB,1963,3.85366881132595
Vanuatu,VUT,1963,2.87008343360667
Vatican City,VAT,1963,
Venezuela,VEN,1963,3.44743054176691
Vietnam,VNM,1963,2.76282545445889
Yemen,YEM,1963,2.20499954243984
Zambia,ZMB,1963,3.15993187951411
Zimbabwe,ZWE,1963,3.15290821757527
