Country,Country Code,Year,Value
Afghanistan,AFG,1998,3.7646866376293
Albania,ALB,1998,-0.629334392525913
Algeria,DZA,1998,1.59253627896162
Andorra,AND,1998,1.04857897159494
Angola,AGO,1998,3.34679546644871
Antigua and Barbuda,ATG,1998,1.89459540759207
Argentina,ARG,1998,1.17552563201514
Armenia,ARM,1998,-1.1739815592385
Australia,AUS,1998,0.996734717801419
Austria,AUT,1998,0.109728368100981
Azerbaijan,AZE,1998,0.949138146647058
Bahamas,BHS,1998,1.42560280610243
Bahrain,BHR,1998,2.63458561251159
Bangladesh,BGD,1998,1.88796139153147
Barbados,BRB,1998,0.0167673981201888
Belarus,BLR,1998,-0.450435237181926
Belgium,BEL,1998,0.213527650670943
Belize,BLZ,1998,3.4918451808564
Benin,BEN,1998,3.0829668212606
Bhutan,BTN,1998,1.9037354324329
Bolivia,BOL,1998,1.76561111828867
Bosnia and Herzegovina,BIH,1998,1.7546739878352
Botswana,BWA,1998,2.21541249490062
Brazil,BRA,1998,1.48772098102752
Brunei,BRN,1998,2.28072165867432
Bulgaria,BGR,1998,-0.66730270106626
Burkina Faso,BFA,1998,2.76403220911076
Burundi,BDI,1998,1.91022480299428
Cabo Verde,CPV,1998,1.60125908365746
Cambodia,KHM,1998,4.12422750057528
Cameroon,CMR,1998,2.64804169057659
Canada,CAN,1998,0.829909353323744
Central African Republic,CAF,1998,2.7130114137794
Chad,TCD,1998,3.44028362441506
Chile,CHL,1998,1.29984189219994
China,CHN,1998,0.959550406298151
Colombia,COL,1998,1.79149449060697
Comoros,COM,1998,1.72206986217565
Congo,COG,1998,2.19871345259958
Costa Rica,CRI,1998,2.16793763840442
Croatia,HRV,1998,-0.061431194309139
Cuba,CUB,1998,0.333850361499209
Cyprus,CYP,1998,1.87410706426377
Czechia,CZE,1998,-0.0947447516571582
Côte d'Ivoire,CIV,1998,3.7715073412938
Democratic Republic of the Congo,COD,1998,2.7168325472246
Denmark,DNK,1998,0.363162523600756
Djibouti,DJI,1998,4.01682100112432
Dominica,DMA,1998,-0.252848288556863
Dominican Republic,DOM,1998,1.65352423438546
Ecuador,ECU,1998,1.81253773221791
Egypt,EGY,1998,2.18480759530922
El Salvador,SLV,1998,0.61751823622014
Equatorial Guinea,GNQ,1998,3.90730641331893
Eritrea,ERI,1998,1.30566874934995
Estonia,EST,1998,-0.960559004588775
Eswatini,SWZ,1998,1.28492880676892
Ethiopia,ETH,1998,3.14046071441714
Fiji,FJI,1998,1.23827066451942
Finland,FIN,1998,0.265472962436301
France,FRA,1998,0.37054023067343
Gabon,GAB,1998,2.53208551111539
Gambia,GMB,1998,2.80576133005976
Georgia,GEO,1998,-2.474222975613
Germany,DEU,1998,0.0151436508552808
Ghana,GHA,1998,2.43236771924415
Greece,GRC,1998,0.554211902922578
Grenada,GRD,1998,0.677705597105252
Guatemala,GTM,1998,2.55860019843295
Guinea,GIN,1998,1.8812346948277
Guinea-Bissau,GNB,1998,1.86387310391317
Guyana,GUY,1998,0.17577311579919
Haiti,HTI,1998,1.86484829220057
Honduras,HND,1998,2.64892008444086
