Country,Country Code,Year,Value
Serbia,SRB,2013,-0.48641352023891
Seychelles,SYC,2013,1.84687609296508
Sierra Leone,SLE,2013,2.45725730456865
Singapore,SGP,2013,1.61930809858875
Slovakia,SVK,2013,0.107458009492367
Slovenia,SVN,2013,0.135726228915631
Solomon Islands,SLB,2013,3.65262148165308
Somalia,SOM,2013,3.22508679396084
South Africa,ZAF,2013,1.65265199501405
South Korea,KOR,2013,0.455218622164662
South Sudan,SSD,2013,3.74120236356755
Spain,ESP,2013,-0.361668780017733
Sri Lanka,LKA,2013,-2.79968273298027
Sudan,SDN,2013,2.30951835174238
Suriname,SUR,2013,1.12880323190541
Sweden,SWE,2013,0.847348652246305
Switzerland,CHE,2013,1.14987975781229
Syria,SYR,2013,-4.92076611917059
Tajikistan,TJK,2013,2.49710956677516
Tanzania,TZA,2013,3.01455736724095
Thailand,THA,2013,0.587325698680648
Timor-Leste,TLS,2013,2.07630476166789
Togo,TGO,2013,2.56796697750519
Tonga,TON,2013,-0.356114444715887
Trinidad and Tobago,TTO,2013,0.400859959050308
Tunisia,TUN,2013,1.18925109300243
Turkmenistan,TKM,2013,2.22679030905497
Tuvalu,TUV,2013,0.610897728449108
Türkiye,TUR,2013,1.28441474668
Uganda,UGA,2013,2.86955163863091
Ukraine,UKR,2013,-0.180396113217713
United Arab Emirates,ARE,2013,3.99911978796443
United Kingdom,GBR,2013,0.669537112028056
United States,USA,2013,0.756560083436754
Uruguay,URY,2013,0.297452387025821
Uzbekistan,UZB,2013,1.56705560068108
Vanuatu,VUT,2013,2.22472000551293
Vatican City,VAT,2013,
Venezuela,VEN,2013,1.20531461336652
Vietnam,VNM,2013,1.1802975549343
Yemen,YEM,2013,3.04562687085895
Zambia,ZMB,2013,3.20268845716982
Zimbabwe,ZWE,2013,1.40792169753746
