Country,Country Code,Year,Value
Afghanistan,AFG,2005,3.51921696042587
Albania,ALB,2005,-0.511790116421897
Algeria,DZA,2005,1.46330884553002
Andorra,AND,2005,4.08106927409514
Angola,AGO,2005,3.64626893356444
Antigua and Barbuda,ATG,2005,1.12677248463423
Argentina,ARG,2005,1.02745772191722
Armenia,ARM,2005,-0.586251738490671
Australia,AUS,2005,1.21729073052406
Austria,AUT,2005,0.681267248299787
Azerbaijan,AZE,2005,1.02226559239828
Bahamas,BHS,2005,1.20292348556941
Bahrain,BHR,2005,7.60408303822153
Bangladesh,BGD,2005,1.2606651625389
Barbados,BRB,2005,0.525370422072861
Belarus,BLR,2005,-0.683005560010688
Belgium,BEL,2005,0.550055708089009
Belize,BLZ,2005,2.91740780047982
Benin,BEN,2005,3.22061199704122
Bhutan,BTN,2005,1.72526717067528
Bolivia,BOL,2005,1.68564890189224
Bosnia and Herzegovina,BIH,2005,-1.08029233976901
Botswana,BWA,2005,1.79499163132533
Brazil,BRA,2005,1.09590612526605
Brunei,BRN,2005,1.68724773243682
Bulgaria,BGR,2005,-0.752977445493645
Burkina Faso,BFA,2005,3.14680149143287
Burundi,BDI,2005,3.71426552783148
Cabo Verde,CPV,2005,1.19132344131983
Cambodia,KHM,2005,1.4576145365221
Cameroon,CMR,2005,2.75573848394242
Canada,CAN,2005,0.94708626967041
Central African Republic,CAF,2005,2.2634335589763
Chad,TCD,2005,4.03110110056051
Chile,CHL,2005,0.992481122862039
China,CHN,2005,0.588124989556992
Colombia,COL,2005,1.4002642115634
Comoros,COM,2005,2.04084019817184
Congo,COG,2005,3.60380377830421
Costa Rica,CRI,2005,1.44571011925289
Croatia,HRV,2005,0.128732789322745
Cuba,CUB,2005,0.211525541164423
Cyprus,CYP,2005,1.77957653069647
Czechia,CZE,2005,0.138325980046718
Côte d'Ivoire,CIV,2005,2.38748971138117
Democratic Republic of the Congo,COD,2005,3.07172770424984
Denmark,DNK,2005,0.275481733409308
Djibouti,DJI,2005,1.56648498246787
Dominica,DMA,2005,0.123741672326271
Dominican Republic,DOM,2005,1.31090240619311
Ecuador,ECU,2005,1.72987869573938
Egypt,EGY,2005,2.02220952721924
El Salvador,SLV,2005,0.0151037668199
Equatorial Guinea,GNQ,2005,5.13840208613784
Eritrea,ERI,2005,2.39315582930907
Estonia,EST,2005,-0.572255524659659
Eswatini,SWZ,2005,0.544843998142576
Ethiopia,ETH,2005,2.96602247201649
Fiji,FJI,2005,0.912261662506839
Finland,FIN,2005,0.342248594286999
France,FRA,2005,0.751885116821619
Gabon,GAB,2005,2.90380819435636
Gambia,GMB,2005,2.78121010687734
Georgia,GEO,2005,-0.635292218459481
Germany,DEU,2005,-0.0567782618352031
Ghana,GHA,2005,2.62275723095941
Greece,GRC,2005,0.293249074052818
Grenada,GRD,2005,0.375245239614051
Guatemala,GTM,2005,2.16441478461999
Guinea,GIN,2005,2.00041954618802
Guinea-Bissau,GNB,2005,2.34505544706955
Guyana,GUY,2005,-0.197461943777183
Haiti,HTI,2005,1.6805859467599
Honduras,HND,2005,2.42763175756451
Hungary,HUN,2005,-0.198878843237103
Iceland,ISL,2005,1.58289197780465
India,IND,2005,1.63142146860079
Indonesia,IDN,2005,1.28380661170743
Iran,IRN,2005,2.21304950909032
Iraq,IRQ,2005,2.96374347121646
Ireland,IRL,2005,2.17870301355631
Israel,ISR,2005,1.76289766113006
Italy,ITA,2005,0.583653375692943
Jamaica,JAM,2005,0.553843332498697
Japan,JPN,2005,0.00939209655766336
Jordan,JOR,2005,2.47713068142819
Kazakhstan,KAZ,2005,0.74145148778579
Kenya,KEN,2005,3.07223123352542
Kiribati,KIR,2005,2.00913413829946
Kuwait,KWT,2005,3.61741976368303
Kyrgyzstan,KGZ,2005,1.1283845920008
Laos,LAO,2005,1.50884118892528
Latvia,LVA,2005,-1.08057145691172
Lebanon,LBN,2005,1.54954660675644
Lesotho,LSO,2005,-0.920090941162442
Liberia,LBR,2005,4.46419976403406
Libya,LBY,2005,2.10615511958762
Liechtenstein,LIE,2005,0.884398828059777
Lithuania,LTU,2005,-1.62840112593427
Luxembourg,LUX,2005,1.53005466340868
Madagascar,MDG,2005,2.92926937068758
Malawi,MWI,2005,2.67801100189358
Malaysia,MYS,2005,2.26772984873607
Maldives,MDV,2005,1.65046635945583
Mali,MLI,2005,3.27522299158149
Malta,MLT,2005,0.637436918202842
Marshall Islands,MHL,2005,0.221800143004125
Mauritania,MRT,2005,2.42430459268211
Mauritius,MUS,2005,0.592099659929956
Mexico,MEX,2005,1.34857895792648
Micronesia,FSM,2005,-0.459396250703375
Moldova,MDA,2005,-0.243318711825946
Monaco,MCO,2005,-0.300696167174622
Mongolia,MNG,2005,1.10986290557005
Montenegro,MNE,2005,0.147929262061512
Morocco,MAR,2005,1.34347301576107
Mozambique,MOZ,2005,2.31300566720779
Myanmar,MMR,2005,0.78215232398828
Namibia,NAM,2005,1.25364169808749
Nauru,NRU,2005,-0.109403760477152
Nepal,NPL,2005,1.11915460082368
Netherlands,NLD,2005,0.23366314793854
New Zealand,NZL,2005,1.12877350967992
Nicaragua,NIC,2005,1.30369984372022
Niger,NER,2005,3.62970414217364
Nigeria,NGA,2005,2.76883385211034
North Korea,PRK,2005,0.581650142448516
North Macedonia,MKD,2005,-0.539897211401132
Norway,NOR,2005,0.681072964187373
Oman,OMN,2005,2.26053863867014
Pakistan,PAK,2005,2.40377350441569
Palau,PLW,2005,-0.00504553596313102
Palestine,PSE,2005,2.5552623734323
Panama,PAN,2005,1.8851653336108
Papua New Guinea,PNG,2005,3.23201129836566
Paraguay,PRY,2005,1.1059635782753
Peru,PER,2005,0.889996951132914
Philippines,PHL,2005,1.85941217176991
Poland,POL,2005,-0.043948953332248
Portugal,PRT,2005,0.185532266654625
Qatar,QAT,2005,6.51693576890975
Romania,ROU,2005,-0.61753095660306
Russia,RUS,2005,-0.381452794741516
