IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,419,Latin America and the Caribbean,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,2.7,,,2.1,,3.6,2.7 [2.1-3.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,29,Caribbean,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,2.9,,,1.6,,5.2,2.9 [1.6-5.2],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,62,Central Asia and Southern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,21.9,,,15.7,,29.6,21.9 [15.7-29.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,34,Southern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,22.9,,,16.4,,31,22.9 [16.4-31.0],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,13,Central America,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,3.8,,,2.5,,5.8,3.8 [2.5-5.8],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,15,Northern Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,4.1,,,1.6,,9.8,4.1 [1.6-9.8],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,747,Western Asia and Northern Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,4.3,,,1.8,,9.5,4.3 [1.8-9.5],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,145,Western Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,4.5,,,1.2,,15.5,4.5 [1.2-15.5],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,722,Small Island Developing States (SIDS),Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,5.5,,,3,,10,5.5 [3.0-10.0],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,753,Eastern Asia and South-eastern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,6.6,,,5.2,,8.3,6.6 [5.2-8.3],,,EN,2025-05-08T18:30:00.000Z
