Country Name,Country Code,Year,Prevalence of Undernourishment
Afghanistan,AFG,2011,18.6
Albania,ALB,2011,4.9
Algeria,DZA,2011,3.7
Andorra,AND,2011,
Angola,AGO,2011,14.8
Antigua and Barbuda,ATG,2011,
Argentina,ARG,2011,3.7
Armenia,ARM,2011,2.5
Australia,AUS,2011,2.5
Austria,AUT,2011,2.5
Azerbaijan,AZE,2011,2.5
Bahamas,BHS,2011,
Bahrain,BHR,2011,
Bangladesh,BGD,2011,18.0
Barbados,BRB,2011,2.5
Belarus,BLR,2011,2.5
Belgium,BEL,2011,2.5
Belize,BLZ,2011,5.1
Benin,BEN,2011,9.6
Bhutan,BTN,2011,
Bolivia,BOL,2011,18.8
Bosnia and Herzegovina,BIH,2011,2.5
Botswana,BWA,2011,22.0
Brazil,BRA,2011,2.7
Brunei,BRN,2011,
Bulgaria,BGR,2011,5.2
Burkina Faso,BFA,2011,14.6
Burundi,BDI,2011,
Cabo Verde,CPV,2011,14.1
Cambodia,KHM,2011,9.2
Cameroon,CMR,2011,4.3
Canada,CAN,2011,2.5
Central African Republic,CAF,2011,26.3
Chad,TCD,2011,24.0
Chile,CHL,2011,3.7
China,CHN,2011,2.5
Colombia,COL,2011,10.0
Comoros,COM,2011,15.9
Congo,COG,2011,40.5
Costa Rica,CRI,2011,3.1
Croatia,HRV,2011,2.8
Cuba,CUB,2011,
Cyprus,CYP,2011,2.5
Czechia,CZE,2011,2.5
Côte d'Ivoire,CIV,2011,16.0
Democratic Republic of the Congo,COD,2011,29.6
Denmark,DNK,2011,2.5
Djibouti,DJI,2011,18.8
Dominica,DMA,2011,4.7
Dominican Republic,DOM,2011,11.6
Ecuador,ECU,2011,8.0
Egypt,EGY,2011,5.2
El Salvador,SLV,2011,9.0
Equatorial Guinea,GNQ,2011,
Eritrea,ERI,2011,
Estonia,EST,2011,2.5
Eswatini,SWZ,2011,24.0
Ethiopia,ETH,2011,21.2
Fiji,FJI,2011,7.3
Finland,FIN,2011,2.5
France,FRA,2011,2.5
Gabon,GAB,2011,13.5
Gambia,GMB,2011,9.5
Georgia,GEO,2011,8.1
Germany,DEU,2011,2.5
Ghana,GHA,2011,7.3
Greece,GRC,2011,2.5
Grenada,GRD,2011,
Guatemala,GTM,2011,15.0
Guinea,GIN,2011,17.2
Guinea-Bissau,GNB,2011,23.7
Guyana,GUY,2011,8.9
Haiti,HTI,2011,39.7
Honduras,HND,2011,12.9
Hungary,HUN,2011,2.5
Iceland,ISL,2011,2.5
India,IND,2011,14.2
Indonesia,IDN,2011,10.9
Iran,IRN,2011,9.5
Iraq,IRQ,2011,13.6
Ireland,IRL,2011,2.5
Israel,ISR,2011,2.5
Italy,ITA,2011,2.5
Jamaica,JAM,2011,7.8
Japan,JPN,2011,
Jordan,JOR,2011,9.1
Kazakhstan,KAZ,2011,3.0
Kenya,KEN,2011,19.9
Kiribati,KIR,2011,3.4
Kuwait,KWT,2011,2.5
Kyrgyzstan,KGZ,2011,7.1
Laos,LAO,2011,
Latvia,LVA,2011,2.5
Lebanon,LBN,2011,3.9
Lesotho,LSO,2011,
Liberia,LBR,2011,35.6
Libya,LBY,2011,8.1
Liechtenstein,LIE,2011,
Lithuania,LTU,2011,2.5
Luxembourg,LUX,2011,2.5
Madagascar,MDG,2011,27.4
Malawi,MWI,2011,13.9
Malaysia,MYS,2011,3.4
Maldives,MDV,2011,
