Country Name,Country Code,Year,Prevalence of Undernourishment
Afghanistan,AFG,2003,38.7
Albania,ALB,2003,7.3
Algeria,DZA,2003,6.4
Andorra,AND,2003,
Angola,AGO,2003,57.5
Antigua and Barbuda,ATG,2003,
Argentina,ARG,2003,4.3
Armenia,ARM,2003,23.5
Australia,AUS,2003,2.5
Austria,AUT,2003,2.5
Azerbaijan,AZE,2003,11.4
Bahamas,BHS,2003,
Bahrain,BHR,2003,
Bangladesh,BGD,2003,14.8
Barbados,BRB,2003,6.0
Belarus,BLR,2003,4.4
Belgium,BEL,2003,2.5
Belize,BLZ,2003,5.2
Benin,BEN,2003,11.2
Bhutan,BTN,2003,
Bolivia,BOL,2003,26.6
Bosnia and Herzegovina,BIH,2003,2.8
Botswana,BWA,2003,29.0
Brazil,BRA,2003,7.6
Brunei,BRN,2003,
Bulgaria,BGR,2003,5.6
Burkina Faso,BFA,2003,18.5
Burundi,BDI,2003,
Cabo Verde,CPV,2003,14.8
Cambodia,KHM,2003,16.6
Cameroon,CMR,2003,19.6
Canada,CAN,2003,2.5
Central African Republic,CAF,2003,37.1
Chad,TCD,2003,33.9
Chile,CHL,2003,2.7
China,CHN,2003,8.6
Colombia,COL,2003,9.6
Comoros,COM,2003,18.0
Congo,COG,2003,26.0
Costa Rica,CRI,2003,4.9
Croatia,HRV,2003,5.4
Cuba,CUB,2003,2.5
Cyprus,CYP,2003,6.3
Czechia,CZE,2003,2.5
Côte d'Ivoire,CIV,2003,18.3
Democratic Republic of the Congo,COD,2003,27.2
Denmark,DNK,2003,2.5
Djibouti,DJI,2003,36.5
Dominica,DMA,2003,4.6
Dominican Republic,DOM,2003,23.1
Ecuador,ECU,2003,21.2
Egypt,EGY,2003,5.5
El Salvador,SLV,2003,7.6
Equatorial Guinea,GNQ,2003,
Eritrea,ERI,2003,
Estonia,EST,2003,3.4
Eswatini,SWZ,2003,8.8
Ethiopia,ETH,2003,41.6
Fiji,FJI,2003,3.6
Finland,FIN,2003,2.5
France,FRA,2003,2.5
Gabon,GAB,2003,13.1
Gambia,GMB,2003,19.9
Georgia,GEO,2003,4.3
Germany,DEU,2003,2.5
Ghana,GHA,2003,12.6
Greece,GRC,2003,2.5
Grenada,GRD,2003,
Guatemala,GTM,2003,19.2
Guinea,GIN,2003,16.9
Guinea-Bissau,GNB,2003,16.9
