Country Name,Country Code,Year,Prevalence of Undernourishment
Afghanistan,AFG,2013,19.4
Albania,ALB,2013,4.6
Algeria,DZA,2013,2.9
Andorra,AND,2013,
Angola,AGO,2013,13.5
Antigua and Barbuda,ATG,2013,
Argentina,ARG,2013,3.2
Armenia,ARM,2013,2.5
Australia,AUS,2013,2.5
Austria,AUT,2013,2.5
Azerbaijan,AZE,2013,2.5
Bahamas,BHS,2013,
Bahrain,BHR,2013,
Bangladesh,BGD,2013,16.7
Barbados,BRB,2013,2.5
Belarus,BLR,2013,2.5
Belgium,BEL,2013,2.5
Belize,BLZ,2013,6.0
Benin,BEN,2013,9.2
Bhutan,BTN,2013,
Bolivia,BOL,2013,18.0
Bosnia and Herzegovina,BIH,2013,2.5
Botswana,BWA,2013,20.8
Brazil,BRA,2013,2.5
Brunei,BRN,2013,
Bulgaria,BGR,2013,4.2
Burkina Faso,BFA,2013,13.5
Burundi,BDI,2013,
Cabo Verde,CPV,2013,15.3
Cambodia,KHM,2013,8.4
Cameroon,CMR,2013,4.2
Canada,CAN,2013,2.5
Central African Republic,CAF,2013,30.1
Chad,TCD,2013,23.8
Chile,CHL,2013,3.4
China,CHN,2013,2.5
Colombia,COL,2013,7.0
Comoros,COM,2013,15.0
Congo,COG,2013,32.7
Costa Rica,CRI,2013,2.9
Croatia,HRV,2013,2.5
Cuba,CUB,2013,
Cyprus,CYP,2013,2.5
Czechia,CZE,2013,2.5
Côte d'Ivoire,CIV,2013,15.5
Democratic Republic of the Congo,COD,2013,30.8
Denmark,DNK,2013,2.5
Djibouti,DJI,2013,15.7
Dominica,DMA,2013,4.6
Dominican Republic,DOM,2013,9.1
Ecuador,ECU,2013,8.5
Egypt,EGY,2013,6.1
El Salvador,SLV,2013,9.2
Equatorial Guinea,GNQ,2013,
Eritrea,ERI,2013,
Estonia,EST,2013,2.5
Eswatini,SWZ,2013,17.5
Ethiopia,ETH,2013,17.7
Fiji,FJI,2013,7.2
Finland,FIN,2013,2.5
France,FRA,2013,2.5
Gabon,GAB,2013,13.1
Gambia,GMB,2013,11.1
Georgia,GEO,2013,7.4
Germany,DEU,2013,2.5
Ghana,GHA,2013,8.0
Greece,GRC,2013,2.5
Grenada,GRD,2013,
Guatemala,GTM,2013,15.8
Guinea,GIN,2013,14.2
Guinea-Bissau,GNB,2013,29.1
Guyana,GUY,2013,6.9
Haiti,HTI,2013,39.0
