Country Name,Country Code,Year,Prevalence of Undernourishment
Afghanistan,AFG,2004,34.6
Albania,ALB,2004,8.5
Algeria,DZA,2004,6.4
Andorra,AND,2004,
Angola,AGO,2004,50.6
Antigua and Barbuda,ATG,2004,
Argentina,ARG,2004,3.9
Armenia,ARM,2004,18.4
Australia,AUS,2004,2.5
Austria,AUT,2004,2.5
Azerbaijan,AZE,2004,8.2
Bahamas,BHS,2004,
Bahrain,BHR,2004,
Bangladesh,BGD,2004,14.7
Barbados,BRB,2004,5.3
Belarus,BLR,2004,4.5
Belgium,BEL,2004,2.5
Belize,BLZ,2004,5.1
Benin,BEN,2004,10.4
Bhutan,BTN,2004,
Bolivia,BOL,2004,27.2
Bosnia and Herzegovina,BIH,2004,2.5
Botswana,BWA,2004,28.1
Brazil,BRA,2004,6.3
Brunei,BRN,2004,
Bulgaria,BGR,2004,6.0
Burkina Faso,BFA,2004,17.4
Burundi,BDI,2004,
Cabo Verde,CPV,2004,13.0
Cambodia,KHM,2004,16.3
Cameroon,CMR,2004,16.8
Canada,CAN,2004,2.5
Central African Republic,CAF,2004,36.7
Chad,TCD,2004,32.4
Chile,CHL,2004,2.7
China,CHN,2004,7.8
Colombia,COL,2004,10.4
Comoros,COM,2004,16.6
Congo,COG,2004,27.2
Costa Rica,CRI,2004,4.5
Croatia,HRV,2004,4.3
Cuba,CUB,2004,2.5
Cyprus,CYP,2004,5.7
Czechia,CZE,2004,2.5
Côte d'Ivoire,CIV,2004,17.9
Democratic Republic of the Congo,COD,2004,27.3
Denmark,DNK,2004,2.5
Djibouti,DJI,2004,32.7
Dominica,DMA,2004,4.8
Dominican Republic,DOM,2004,23.9
Ecuador,ECU,2004,20.0
Egypt,EGY,2004,5.8
El Salvador,SLV,2004,8.4
Equatorial Guinea,GNQ,2004,
Eritrea,ERI,2004,
Estonia,EST,2004,2.9
Eswatini,SWZ,2004,9.7
Ethiopia,ETH,2004,39.1
Fiji,FJI,2004,4.0
Finland,FIN,2004,2.5
France,FRA,2004,2.5
Gabon,GAB,2004,13.8
Gambia,GMB,2004,19.1
Georgia,GEO,2004,4.3
Germany,DEU,2004,2.5
Ghana,GHA,2004,12.0
Greece,GRC,2004,2.5
Grenada,GRD,2004,
Guatemala,GTM,2004,19.5
Guinea,GIN,2004,16.4
Guinea-Bissau,GNB,2004,18.0
Guyana,GUY,2004,6.6
Haiti,HTI,2004,49.7
Honduras,HND,2004,19.3
Hungary,HUN,2004,2.5
Iceland,ISL,2004,2.5
India,IND,2004,21.7
Indonesia,IDN,2004,18.2
Iran,IRN,2004,5.9
Iraq,IRQ,2004,17.8
Ireland,IRL,2004,2.5
Israel,ISR,2004,2.5
Italy,ITA,2004,2.5
Jamaica,JAM,2004,6.9
Japan,JPN,2004,
Jordan,JOR,2004,5.4
Kazakhstan,KAZ,2004,7.4
Kenya,KEN,2004,31.6
Kiribati,KIR,2004,4.6
Kuwait,KWT,2004,2.5
Kyrgyzstan,KGZ,2004,7.2
Laos,LAO,2004,
Latvia,LVA,2004,2.5
Lebanon,LBN,2004,8.2
Lesotho,LSO,2004,
Liberia,LBR,2004,36.0
Libya,LBY,2004,4.6
Liechtenstein,LIE,2004,
Lithuania,LTU,2004,2.5
Luxembourg,LUX,2004,2.5
Madagascar,MDG,2004,34.6
Malawi,MWI,2004,23.2
Malaysia,MYS,2004,3.1
Maldives,MDV,2004,
Mali,MLI,2004,12.4
Malta,MLT,2004,2.5
Marshall Islands,MHL,2004,
Mauritania,MRT,2004,9.5
Mauritius,MUS,2004,5.6
Mexico,MEX,2004,4.1
Micronesia,FSM,2004,
Moldova,MDA,2004,31.7
Monaco,MCO,2004,
Mongolia,MNG,2004,29.5
Montenegro,MNE,2004,5.7
Morocco,MAR,2004,4.9
Mozambique,MOZ,2004,30.9
Myanmar,MMR,2004,28.8
Namibia,NAM,2004,18.4
Nauru,NRU,2004,
Nepal,NPL,2004,17.8
Netherlands,NLD,2004,2.5
New Zealand,NZL,2004,2.5
Nicaragua,NIC,2004,22.6
Niger,NER,2004,19.1
Nigeria,NGA,2004,8.9
North Korea,PRK,2004,33.2
North Macedonia,MKD,2004,5.0
Norway,NOR,2004,2.5
Oman,OMN,2004,12.3
Pakistan,PAK,2004,18.3
Palau,PLW,2004,
Palestine,PSE,2004,
Panama,PAN,2004,16.2
Papua New Guinea,PNG,2004,29.0
Paraguay,PRY,2004,7.9
Peru,PER,2004,20.7
Philippines,PHL,2004,17.6
Poland,POL,2004,2.5
Portugal,PRT,2004,2.5
Qatar,QAT,2004,
Romania,ROU,2004,2.5
Russia,RUS,2004,2.5
Rwanda,RWA,2004,36.0
Saint Kitts and Nevis,KNA,2004,
Saint Lucia,LCA,2004,
Saint Vincent and the Grenadines,VCT,2004,8.2
Samoa,WSM,2004,3.6
San Marino,SMR,2004,
Sao Tome and Principe,STP,2004,11.1
Saudi Arabia,SAU,2004,4.5
Senegal,SEN,2004,17.1
Serbia,SRB,2004,3.1
Seychelles,SYC,2004,2.5
Sierra Leone,SLE,2004,44.4
Singapore,SGP,2004,
Slovakia,SVK,2004,5.9
Slovenia,SVN,2004,2.5
Solomon Islands,SLB,2004,11.9
Somalia,SOM,2004,69.7
South Africa,ZAF,2004,3.3
South Korea,KOR,2004,2.5
South Sudan,SSD,2004,
Spain,ESP,2004,2.5
Sri Lanka,LKA,2004,15.2
Sudan,SDN,2004,
Suriname,SUR,2004,9.4
Sweden,SWE,2004,2.5
Switzerland,CHE,2004,2.5
Syria,SYR,2004,6.5
Tajikistan,TJK,2004,40.3
Tanzania,TZA,2004,31.5
Thailand,THA,2004,13.6
Timor-Leste,TLS,2004,32.4
Togo,TGO,2004,26.2
Tonga,TON,2004,
Trinidad and Tobago,TTO,2004,11.7
Tunisia,TUN,2004,4.1
Turkmenistan,TKM,2004,4.2
Tuvalu,TUV,2004,
Türkiye,TUR,2004,12.3
Uganda,UGA,2004,18.1
Ukraine,UKR,2004,2.5
United Arab Emirates,ARE,2004,2.5
United Kingdom,GBR,2004,2.5
United States,USA,2004,2.5
Uruguay,URY,2004,2.6
Uzbekistan,UZB,2004,16.0
Vanuatu,VUT,2004,8.7
Vatican City,VAT,2004,
Venezuela,VEN,2004,9.3
Vietnam,VNM,2004,15.3
Yemen,YEM,2004,
Zambia,ZMB,2004,49.5
Zimbabwe,ZWE,2004,30.6
