Name,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.9408945686900958,0.9415887381863048,0.9408945686900958,0.9411985247847646,0.991444490133079
LightGBM,0.9201277955271565,0.9228705725032038,0.9201277955271565,0.9211339514370235,0.9913517428228038
CatBoost,0.9121405750798722,0.9183625631418648,0.9121405750798722,0.913930293950481,0.9887397633966981
Gradient Boosting,0.9121405750798722,0.9136588611865591,0.9121405750798722,0.9127637398499285,0.9862533356143285
XGBoost,0.9105431309904153,0.9132367543388834,0.9105431309904153,0.9116170520275552,0.9885577716690547
Decision Tree,0.8753993610223643,0.879726902338911,0.8753993610223643,0.8766127116112095,0.9142242309469246
KNN,0.6022364217252396,0.6142741367196208,0.6022364217252396,0.601985232133149,0.7952227799969909
Logistic Regression,0.560702875399361,0.6006021128911772,0.560702875399361,0.5684528981633051,0.7892272995943725
SVM,0.4696485623003195,0.48626329476783625,0.4696485623003195,0.4479739720687743,0.7517564636679209
