Country Name,Country Code,Year,People using basic drinking water services (% of population)
Afghanistan,AFG,2012,53.65580948
Albania,ALB,2012,92.2287797
Algeria,DZA,2012,90.95470625
Andorra,AND,2012,99.99999828
Angola,AGO,2012,53.96293481
Antigua and Barbuda,ATG,2012,98.29710577
Argentina,ARG,2012,98.80529929
Armenia,ARM,2012,98.52032669
Australia,AUS,2012,99.90077173
Austria,AUT,2012,100
Azerbaijan,AZE,2012,86.6181028
Bahamas,BHS,2012,98.77032766
Bahrain,BHR,2012,99.93540557
Bangladesh,BGD,2012,96.84777337
Barbados,BRB,2012,98.63938546
Belarus,BLR,2012,98.57378381
Belgium,BEL,2012,100
Belize,BLZ,2012,92.37076097
Benin,BEN,2012,65.56524727
Bhutan,BTN,2012,94.13749503
Bolivia,BOL,2012,87.93165651
Bosnia and Herzegovina,BIH,2012,96.23506739
Botswana,BWA,2012,85.11981766
Brazil,BRA,2012,96.98318949
Brunei,BRN,2012,99.83170345
Bulgaria,BGR,2012,99.42021915
Burkina Faso,BFA,2012,52.91757112
Burundi,BDI,2012,58.53169294
C̫te d'Ivoire,CIV,2012,73.23581341
Cabo Verde,CPV,2012,83.87749348
Cambodia,KHM,2012,69.00598223
Cameroon,CMR,2012,64.76383682
Canada,CAN,2012,99.03650466
Central African Republic,CAF,2012,45.46442598
Chad,TCD,2012,45.83145731
Chile,CHL,2012,97.80352154
China,CHN,2012,89.72247768
Colombia,COL,2012,94.38631667
Comoros,COM,2012,86.34947546
Congo,COG,2012,68.1146295
Costa Rica,CRI,2012,98.47448664
Croatia,HRV,2012,99.80122167
Cuba,CUB,2012,93.33485985
Cyprus,CYP,2012,99.81068098
Czechia,CZE,2012,98.39228819
Democratic Republic of the Congo,COD,2012,36.69185059
Denmark,DNK,2012,100
Djibouti,DJI,2012,76.91154446
Dominica,DMA,2012,95.69142888
Dominican Republic,DOM,2012,95.20530268
Ecuador,ECU,2012,89.28437953
Egypt,EGY,2012,98.14157284
El Salvador,SLV,2012,83.97766888
Equatorial Guinea,GNQ,2012,62.85389081
Eritrea,ERI,2012,50.32917456
Estonia,EST,2012,99.22914648
Eswatini,SWZ,2012,65.89992158
Ethiopia,ETH,2012,37.35364561
Fiji,FJI,2012,95.14294782
Finland,FIN,2012,99.9999979
France,FRA,2012,100
Gabon,GAB,2012,85.2673948
Gambia,GMB,2012,79.91493851
Georgia,GEO,2012,95.7077336
Germany,DEU,2012,99.99999836
Ghana,GHA,2012,77.53309549
Greece,GRC,2012,99.94823936
Grenada,GRD,2012,95.97138889
Guatemala,GTM,2012,90.48742583
Guinea,GIN,2012,59.54589892
Guinea-Bissau,GNB,2012,59.64864462
Guyana,GUY,2012,92.6609284
Haiti,HTI,2012,65.20578378
Honduras,HND,2012,91.20010314
Hungary,HUN,2012,97.55974027
Iceland,ISL,2012,99.99999571
India,IND,2012,87.69519189
Indonesia,IDN,2012,86.07458583
Iran,IRN,2012,96.32615908
Iraq,IRQ,2012,91.56041088
Ireland,IRL,2012,96.8806445
Israel,ISR,2012,100
Italy,ITA,2012,99.86560914
Jamaica,JAM,2012,91.48719768
Japan,JPN,2012,98.79900509
Jordan,JOR,2012,98.92042287
Kazakhstan,KAZ,2012,94.42020165
Kenya,KEN,2012,55.63461017
Kiribati,KIR,2012,69.19088769
Kuwait,KWT,2012,100
Kyrgyzstan,KGZ,2012,87.72766708
Laos,LAO,2012,71.9052633
Latvia,LVA,2012,98.34363507
Lebanon,LBN,2012,89.81388354
Lesotho,LSO,2012,71.19313549
Liberia,LBR,2012,70.61614907
Libya,LBY,2012,93.07924868
Liechtenstein,LIE,2012,100
Lithuania,LTU,2012,95.22335505
Luxembourg,LUX,2012,99.99999902
Madagascar,MDG,2012,45.83248652
Malawi,MWI,2012,63.62504103
Malaysia,MYS,2012,97.21499655
Maldives,MDV,2012,97.78124113
Mali,MLI,2012,68.82932247
Malta,MLT,2012,100
Marshall Islands,MHL,2012,88.09942611
