Country Name,Country Code,Year,People using basic drinking water services (% of population)
Afghanistan,AFG,2003,33.90862908
Albania,ALB,2003,87.98719112
Algeria,DZA,2003,89.51510881
Andorra,AND,2003,100
Angola,AGO,2003,40.39651572
Antigua and Barbuda,ATG,2003,97.65497637
Argentina,ARG,2003,96.98241516
Armenia,ARM,2003,96.34511581
Australia,AUS,2003,99.73436016
Austria,AUT,2003,100
Azerbaijan,AZE,2003,78.30041561
Bahamas,BHS,2003,98.24552701
Bahrain,BHR,2003,99.95285044
Bangladesh,BGD,2003,95.08058246
Barbados,BRB,2003,98.21127241
Belarus,BLR,2003,97.84223516
Belgium,BEL,2003,99.99999686
Belize,BLZ,2003,90.1598865
Benin,BEN,2003,62.17776824
Bhutan,BTN,2003,86.56286185
Bolivia,BOL,2003,83.0130635
Bosnia and Herzegovina,BIH,2003,97.14230045
Botswana,BWA,2003,76.05198485
Brazil,BRA,2003,94.4949101
Brunei,BRN,2003,99.62869288
Bulgaria,BGR,2003,99.65042203
Burkina Faso,BFA,2003,55.39031157
Burundi,BDI,2003,52.02244474
C̫te d'Ivoire,CIV,2003,69.94350239
Cabo Verde,CPV,2003,80.23720001
Cambodia,KHM,2003,56.91747166
Cameroon,CMR,2003,58.30477687
Canada,CAN,2003,99.56163798
Central African Republic,CAF,2003,55.48437675
Chad,TCD,2003,40.38434098
Chile,CHL,2003,96.7800042
China,CHN,2003,82.77916125
Colombia,COL,2003,91.85719244
Comoros,COM,2003,87.32268893
Congo,COG,2003,59.67369445
Costa Rica,CRI,2003,95.83566189
Croatia,HRV,2003,98.87296202
Cuba,CUB,2003,92.21157603
Cyprus,CYP,2003,99.87715006
Czechia,CZE,2003,98.0470368
Democratic Republic of the Congo,COD,2003,37.43844059
Denmark,DNK,2003,100
Djibouti,DJI,2003,74.96217201
Dominica,DMA,2003,94.62985138
Dominican Republic,DOM,2003,92.1383561
Ecuador,ECU,2003,86.37705907
Egypt,EGY,2003,98.78131939
El Salvador,SLV,2003,87.37486919
Equatorial Guinea,GNQ,2003,53.35041744
Eritrea,ERI,2003,47.77522281
Estonia,EST,2003,97.8940454
Eswatini,SWZ,2003,55.53104957
Ethiopia,ETH,2003,23.33037949
Fiji,FJI,2003,94.89270293
Finland,FIN,2003,100
France,FRA,2003,100
Gabon,GAB,2003,81.53731546
Gambia,GMB,2003,73.89419562
Georgia,GEO,2003,94.45325942
Germany,DEU,2003,99.99999791
Ghana,GHA,2003,68.30364357
Greece,GRC,2003,99.80923019
Grenada,GRD,2003,94.00458272
Guatemala,GTM,2003,88.29665887
Guinea,GIN,2003,51.99962532
Guinea-Bissau,GNB,2003,56.50251112
Guyana,GUY,2003,90.14738914
Haiti,HTI,2003,58.08342409
Honduras,HND,2003,87.20315458
Hungary,HUN,2003,94.82985731
Iceland,ISL,2003,100
India,IND,2003,81.46934464
Indonesia,IDN,2003,78.74457876
Iran,IRN,2003,94.80688913
Iraq,IRQ,2003,83.51540093
Ireland,IRL,2003,96.70386769
Israel,ISR,2003,99.9999973
Italy,ITA,2003,99.63419693
Jamaica,JAM,2003,93.59166057
Japan,JPN,2003,98.51961391
Jordan,JOR,2003,98.46357837
Kazakhstan,KAZ,2003,91.18529593
Kenya,KEN,2003,47.96372109
Kiribati,KIR,2003,59.33991067
Kuwait,KWT,2003,100
Kyrgyzstan,KGZ,2003,82.22735332
Laos,LAO,2003,54.8653838
Latvia,LVA,2003,98.02189703
Lebanon,LBN,2003,85.69135505
Lesotho,LSO,2003,66.08382702
Liberia,LBR,2003,63.69158342
Libya,LBY,2003,
Liechtenstein,LIE,2003,100
Lithuania,LTU,2003,90.99635926
Luxembourg,LUX,2003,99.99999606
Madagascar,MDG,2003,38.51822744
Malawi,MWI,2003,56.53426334
Malaysia,MYS,2003,96.42101164
Maldives,MDV,2003,95.02078415
Mali,MLI,2003,54.3201165
Malta,MLT,2003,100
Marshall Islands,MHL,2003,88.65226144
Mauritania,MRT,2003,45.32825792
Mauritius,MUS,2003,99.42694478
Mexico,MEX,2003,92.99606348
Micronesia,FSM,2003,91.43394285
Moldova,MDA,2003,83.98348324
Monaco,MCO,2003,100
Mongolia,MNG,2003,66.5727731
Montenegro,MNE,2003,
Morocco,MAR,2003,66.06314992
Mozambique,MOZ,2003,27.36370627
Myanmar,MMR,2003,51.87042727
Namibia,NAM,2003,77.56986948
Nauru,NRU,2003,98.32535334
Nepal,NPL,2003,81.44168696
Netherlands,NLD,2003,100
New Zealand,NZL,2003,99.99999845
Nicaragua,NIC,2003,
Niger,NER,2003,38.8582099
Nigeria,NGA,2003,48.88987918
North Korea,PRK,2003,99.30175952
North Macedonia,MKD,2003,96.77228738
Norway,NOR,2003,99.9999988
Oman,OMN,2003,85.62515143
Pakistan,PAK,2003,88.0625371
Palau,PLW,2003,99.35101998
Palestine,PSE,2003,93.85798628
Panama,PAN,2003,90.65839789
Papua New Guinea,PNG,2003,29.73610179
Paraguay,PRY,2003,80.354789
Peru,PER,2003,82.64886736
Philippines,PHL,2003,87.6160742
Poland,POL,2003,
Portugal,PRT,2003,99.19442007
Qatar,QAT,2003,99.90292479
Romania,ROU,2003,100
