Country Name,Country Code,Year,People using basic drinking water services (% of population)
Afghanistan,AFG,2001,29.76292551
Albania,ALB,2001,86.9040699
Algeria,DZA,2001,89.16980161
Andorra,AND,2001,99.99999819
Angola,AGO,2001,38.33881575
Antigua and Barbuda,ATG,2001,97.52484371
Argentina,ARG,2001,96.52281856
Armenia,ARM,2001,95.88310459
Australia,AUS,2001,99.71124304
Austria,AUT,2001,100
Azerbaijan,AZE,2001,76.47357012
Bahamas,BHS,2001,98.12890464
Bahrain,BHR,2001,99.95672708
Bangladesh,BGD,2001,94.7286986
Barbados,BRB,2001,98.11613618
Belarus,BLR,2001,97.84885875
Belgium,BEL,2001,99.99999731
Belize,BLZ,2001,89.66721764
Benin,BEN,2001,61.41104512
Bhutan,BTN,2001,84.65358066
Bolivia,BOL,2001,81.8386242
Bosnia and Herzegovina,BIH,2001,97.31950425
Botswana,BWA,2001,75.75494898
Brazil,BRA,2001,93.87117719
Brunei,BRN,2001,99.58357942
Bulgaria,BGR,2001,99.70792887
Burkina Faso,BFA,2001,55.8329037
Burundi,BDI,2001,50.60763707
C̫te d'Ivoire,CIV,2001,69.17998965
Cabo Verde,CPV,2001,79.6627778
Cambodia,KHM,2001,53.98116859
Cameroon,CMR,2001,56.66763818
Canada,CAN,2001,99.55944039
Central African Republic,CAF,2001,57.82857602
Chad,TCD,2001,39.21389209
Chile,CHL,2001,96.5072403
China,CHN,2001,80.92796471
Colombia,COL,2001,91.2370228
Comoros,COM,2001,87.52881116
Congo,COG,2001,58.69239183
Costa Rica,CRI,2001,95.06241561
Croatia,HRV,2001,98.65136008
Cuba,CUB,2001,91.91701817
Cyprus,CYP,2001,99.88070905
Czechia,CZE,2001,97.97061666
Democratic Republic of the Congo,COD,2001,37.52163144
Denmark,DNK,2001,100
Djibouti,DJI,2001,74.52757265
Dominica,DMA,2001,94.38363998
Dominican Republic,DOM,2001,91.3815553
Ecuador,ECU,2001,85.33272193
Egypt,EGY,2001,98.92261057
El Salvador,SLV,2001,85.88764718
Equatorial Guinea,GNQ,2001,51.79044388
Eritrea,ERI,2001,47.12042335
Estonia,EST,2001,97.60825668
Eswatini,SWZ,2001,53.4258407
Ethiopia,ETH,2001,20.28613136
Fiji,FJI,2001,94.84407722
Finland,FIN,2001,100
France,FRA,2001,100
Gabon,GAB,2001,80.56922373
Gambia,GMB,2001,72.47098524
Georgia,GEO,2001,94.16199191
Germany,DEU,2001,99.99999971
Ghana,GHA,2001,66.27248108
Greece,GRC,2001,99.77438446
Grenada,GRD,2001,93.53995278
Guatemala,GTM,2001,87.77526018
Guinea,GIN,2001,50.50363731
Guinea-Bissau,GNB,2001,55.63551128
Guyana,GUY,2001,89.59930392
Haiti,HTI,2001,55.63707321
Honduras,HND,2001,86.20427815
Hungary,HUN,2001,94.19360326
Iceland,ISL,2001,100
India,IND,2001,80.06598576
Indonesia,IDN,2001,76.77505136
Iran,IRN,2001,94.41273766
Iraq,IRQ,2001,81.73640824
Ireland,IRL,2001,96.66367261
Israel,ISR,2001,99.99999991
Italy,ITA,2001,99.582772
Jamaica,JAM,2001,93.2314642
Japan,JPN,2001,98.51961391
Jordan,JOR,2001,98.40483346
Kazakhstan,KAZ,2001,90.45431448
Kenya,KEN,2001,46.23005052
Kiribati,KIR,2001,57.32463036
Kuwait,KWT,2001,100
Kyrgyzstan,KGZ,2001,80.94207387
Laos,LAO,2001,50.53526106
Latvia,LVA,2001,97.95449052
Lebanon,LBN,2001,84.77523761
Lesotho,LSO,2001,64.96081734
Liberia,LBR,2001,61.91970464
Libya,LBY,2001,
Liechtenstein,LIE,2001,100
Lithuania,LTU,2001,90.0977606
Luxembourg,LUX,2001,100
Madagascar,MDG,2001,37.136551
Malawi,MWI,2001,54.93477255
Malaysia,MYS,2001,96.21352184
Maldives,MDV,2001,94.32992116
Mali,MLI,2001,51.00435287
Malta,MLT,2001,99.99999868
Marshall Islands,MHL,2001,88.73611163
Mauritania,MRT,2001,42.32802715
Mauritius,MUS,2001,99.3807165
Mexico,MEX,2001,92.04474453
Micronesia,FSM,2001,91.67271034
Moldova,MDA,2001,83.32349234
Monaco,MCO,2001,100
Mongolia,MNG,2001,63.82368995
Montenegro,MNE,2001,
Morocco,MAR,2001,63.45710735
Mozambique,MOZ,2001,24.44829666
Myanmar,MMR,2001,48.60710242
Namibia,NAM,2001,76.60733973
Nauru,NRU,2001,98.31871936
