Country Name,Country Code,Year,Prevalance of Anemia %
Afghanistan,AFG,2013,33.4
Albania,ALB,2013,23.0
Algeria,DZA,2013,33.2
Andorra,AND,2013,17.3
Angola,AGO,2013,45.3
Antigua and Barbuda,ATG,2013,23.8
Argentina,ARG,2013,27.0
Armenia,ARM,2013,22.8
Australia,AUS,2013,15.5
Austria,AUT,2013,17.3
Azerbaijan,AZE,2013,33.7
"Bahamas, The",BHS,2013,22.5
Bahrain,BHR,2013,29.8
Bangladesh,BGD,2013,42.2
Barbados,BRB,2013,24.0
Belarus,BLR,2013,24.0
Belgium,BEL,2013,14.1
Belize,BLZ,2013,25.5
Benin,BEN,2013,60.4
Bhutan,BTN,2013,34.9
Bolivia,BOL,2013,28.9
Bosnia and Herzegovina,BIH,2013,26.5
Botswana,BWA,2013,30.5
Brazil,BRA,2013,21.3
Brunei Darussalam,BRN,2013,22.7
Bulgaria,BGR,2013,25.5
Burkina Faso,BFA,2013,51.9
Burundi,BDI,2013,37.8
Cabo Verde,CPV,2013,44.9
Cambodia,KHM,2013,46.6
Cameroon,CMR,2013,42.3
Canada,CAN,2013,15.9
Central African Republic,CAF,2013,48.3
Chad,TCD,2013,54.9
Chile,CHL,2013,22.3
China,CHN,2013,17.6
Colombia,COL,2013,25.7
Comoros,COM,2013,34.9
"Congo, Dem. Rep.",COD,2013,45.0
"Congo, Rep.",COG,2013,50.5
Costa Rica,CRI,2013,21.5
Cote d'Ivoire,CIV,2013,55.1
Croatia,HRV,2013,24.9
Cuba,CUB,2013,25.6
Cyprus,CYP,2013,17.7
Czechia,CZE,2013,24.8
Denmark,DNK,2013,17.6
Djibouti,DJI,2013,35.7
Dominica,DMA,2013,26.3
Dominican Republic,DOM,2013,26.2
Ecuador,ECU,2013,27.8
"Egypt, Arab Rep.",EGY,2013,30.7
El Salvador,SLV,2013,21.9
Equatorial Guinea,GNQ,2013,43.8
Eritrea,ERI,2013,39.8
Estonia,EST,2013,24.7
Eswatini,SWZ,2013,28.7
Ethiopia,ETH,2013,25.0
Fiji,FJI,2013,33.1
Finland,FIN,2013,15.9
France,FRA,2013,14.5
Gabon,GAB,2013,54.7
"Gambia, The",GMB,2013,60.3
Georgia,GEO,2013,31.0
Germany,DEU,2013,16.1
Ghana,GHA,2013,48.1
Greece,GRC,2013,17.5
Grenada,GRD,2013,25.3
Guatemala,GTM,2013,18.0
Guinea,GIN,2013,54.2
Guinea-Bissau,GNB,2013,51.3
Guyana,GUY,2013,33.2
Haiti,HTI,2013,46.9
Honduras,HND,2013,22.0
Hungary,HUN,2013,24.6
Iceland,ISL,2013,16.4
India,IND,2013,49.2
Indonesia,IDN,2013,31.9
"Iran, Islamic Rep.",IRN,2013,24.1
Iraq,IRQ,2013,31.2
Ireland,IRL,2013,16.6
Israel,ISR,2013,17.0
Italy,ITA,2013,17.5
Jamaica,JAM,2013,25.1
Japan,JPN,2013,28.0
Jordan,JOR,2013,31.2
Kazakhstan,KAZ,2013,31.0
Kenya,KEN,2013,38.5
Kiribati,KIR,2013,31.0
"Korea, Dem. People's Rep.",PRK,2013,33.3
"Korea, Rep.",KOR,2013,20.2
