Country Name,Country Code,Year,Prevalance of Anemia %
Afghanistan,AFG,2023,31.6
Albania,ALB,2023,25.5
Algeria,DZA,2023,35.2
Andorra,AND,2023,16.3
Angola,AGO,2023,45.9
Antigua and Barbuda,ATG,2023,25.2
Argentina,ARG,2023,24.4
Armenia,ARM,2023,22.3
Australia,AUS,2023,13.9
Austria,AUT,2023,16.7
Azerbaijan,AZE,2023,34.1
"Bahamas, The",BHS,2023,24.1
Bahrain,BHR,2023,30.1
Bangladesh,BGD,2023,38.6
Barbados,BRB,2023,25.4
Belarus,BLR,2023,24.4
Belgium,BEL,2023,13.9
Belize,BLZ,2023,26.8
Benin,BEN,2023,60.2
Bhutan,BTN,2023,32.6
Bolivia,BOL,2023,25.5
Bosnia and Herzegovina,BIH,2023,26.0
Botswana,BWA,2023,31.4
Brazil,BRA,2023,23.1
Brunei Darussalam,BRN,2023,21.1
Bulgaria,BGR,2023,25.6
Burkina Faso,BFA,2023,49.5
Burundi,BDI,2023,44.7
Cabo Verde,CPV,2023,43.9
Cambodia,KHM,2023,41.0
Cameroon,CMR,2023,41.0
Canada,CAN,2023,15.1
Central African Republic,CAF,2023,48.4
Chad,TCD,2023,51.2
Chile,CHL,2023,21.4
China,CHN,2023,14.2
Colombia,COL,2023,27.0
Comoros,COM,2023,35.5
"Congo, Dem. Rep.",COD,2023,45.1
"Congo, Rep.",COG,2023,46.8
Costa Rica,CRI,2023,23.3
Cote d'Ivoire,CIV,2023,57.3
Croatia,HRV,2023,24.6
Cuba,CUB,2023,26.7
Cyprus,CYP,2023,17.0
Czechia,CZE,2023,24.8
Denmark,DNK,2023,16.9
Djibouti,DJI,2023,37.2
Dominica,DMA,2023,27.2
Dominican Republic,DOM,2023,27.2
Ecuador,ECU,2023,29.5
"Egypt, Arab Rep.",EGY,2023,36.3
El Salvador,SLV,2023,23.0
Equatorial Guinea,GNQ,2023,42.9
Eritrea,ERI,2023,41.5
Estonia,EST,2023,24.8
Eswatini,SWZ,2023,30.1
Ethiopia,ETH,2023,26.2
Fiji,FJI,2023,30.7
Finland,FIN,2023,15.1
France,FRA,2023,14.8
Gabon,GAB,2023,54.8
"Gambia, The",GMB,2023,54.1
Georgia,GEO,2023,31.9
Germany,DEU,2023,15.4
Ghana,GHA,2023,45.3
Greece,GRC,2023,16.6
Grenada,GRD,2023,26.1
Guatemala,GTM,2023,20.8
Guinea,GIN,2023,50.2
Guinea-Bissau,GNB,2023,51.1
Guyana,GUY,2023,31.9
