Country Name,Country Code,Year,Prevalance of Anemia %
Afghanistan,AFG,2022,31.5
Albania,ALB,2022,25.3
Algeria,DZA,2022,34.8
Andorra,AND,2022,16.3
Angola,AGO,2022,45.7
Antigua and Barbuda,ATG,2022,25.1
Argentina,ARG,2022,24.6
Armenia,ARM,2022,22.1
Australia,AUS,2022,14.0
Austria,AUT,2022,16.6
Azerbaijan,AZE,2022,33.9
Bahrain,BHR,2022,29.9
Bangladesh,BGD,2022,38.6
Barbados,BRB,2022,25.2
Belarus,BLR,2022,24.3
Belgium,BEL,2022,13.7
Belize,BLZ,2022,26.6
Benin,BEN,2022,60.1
Bhutan,BTN,2022,32.6
Bolivia,BOL,2022,25.7
Bosnia and Herzegovina,BIH,2022,26.0
Botswana,BWA,2022,31.1
Brazil,BRA,2022,22.8
Bulgaria,BGR,2022,25.5
Burkina Faso,BFA,2022,49.2
Burundi,BDI,2022,43.9
Cabo Verde,CPV,2022,43.8
Cambodia,KHM,2022,41.4
Cameroon,CMR,2022,40.8
Canada,CAN,2022,15.1
Central African Republic,CAF,2022,48.2
Chad,TCD,2022,51.1
Chile,CHL,2022,21.3
China,CHN,2022,14.3
Colombia,COL,2022,26.7
Comoros,COM,2022,35.4
Costa Rica,CRI,2022,23.0
Croatia,HRV,2022,24.5
Cuba,CUB,2022,26.4
Cyprus,CYP,2022,16.8
Czechia,CZE,2022,24.8
Denmark,DNK,2022,16.8
Djibouti,DJI,2022,36.9
Dominica,DMA,2022,27.0
Dominican Republic,DOM,2022,27.0
Ecuador,ECU,2022,29.3
El Salvador,SLV,2022,22.8
Equatorial Guinea,GNQ,2022,42.8
Eritrea,ERI,2022,41.1
Estonia,EST,2022,24.7
Eswatini,SWZ,2022,29.7
Ethiopia,ETH,2022,25.7
Fiji,FJI,2022,30.7
Finland,FIN,2022,15.1
France,FRA,2022,14.6
Gabon,GAB,2022,54.7
Georgia,GEO,2022,31.6
Germany,DEU,2022,15.3
Ghana,GHA,2022,45.2
Greece,GRC,2022,16.5
Grenada,GRD,2022,25.9
Guatemala,GTM,2022,20.3
Guinea,GIN,2022,50.2
