Country Name,Country Code,Year,Prevalance of Anemia %
Afghanistan,AFG,2001,38.2
Albania,ALB,2001,27.6
Algeria,DZA,2001,35.8
Andorra,AND,2001,20.5
Angola,AGO,2001,51.8
Antigua and Barbuda,ATG,2001,28.6
Argentina,ARG,2001,31.0
Armenia,ARM,2001,25.9
Australia,AUS,2001,18.9
Austria,AUT,2001,20.4
Azerbaijan,AZE,2001,35.4
Bahamas,BHS,2001,26.4
Bahrain,BHR,2001,31.9
Bangladesh,BGD,2001,47.5
Barbados,BRB,2001,28.2
Belarus,BLR,2001,28.2
Belgium,BEL,2001,17.9
Belize,BLZ,2001,31.6
Benin,BEN,2001,67.6
Bhutan,BTN,2001,40.7
Bolivia,BOL,2001,34.6
Bosnia and Herzegovina,BIH,2001,30.4
Botswana,BWA,2001,34.3
Brazil,BRA,2001,27.9
Brunei,BRN,2001,29.6
Bulgaria,BGR,2001,29.0
Burkina Faso,BFA,2001,57.3
Burundi,BDI,2001,42.1
Cabo Verde,CPV,2001,50.6
Cambodia,KHM,2001,55.9
Cameroon,CMR,2001,48.4
Canada,CAN,2001,19.6
Central African Republic,CAF,2001,51.8
Chad,TCD,2001,61.0
Chile,CHL,2001,26.3
China,CHN,2001,27.6
Colombia,COL,2001,36.2
Comoros,COM,2001,40.5
Congo,COG,2001,57.1
Costa Rica,CRI,2001,26.4
Cote d'Ivoire,CIV,2001,57.6
Croatia,HRV,2001,28.4
Cuba,CUB,2001,32.6
Cyprus,CYP,2001,20.8
Czechia,CZE,2001,27.7
Democratic Republic of the Congo,COD,2001,50.5
Denmark,DNK,2001,21.1
Djibouti,DJI,2001,39.9
Dominica,DMA,2001,32.2
Dominican Republic,DOM,2001,33.2
Ecuador,ECU,2001,33.2
Egypt,EGY,2001,32.6
El Salvador,SLV,2001,24.3
Equatorial Guinea,GNQ,2001,50.9
Eritrea,ERI,2001,43.7
Estonia,EST,2001,28.0
Eswatini,SWZ,2001,32.4
Ethiopia,ETH,2001,32.0
Fiji,FJI,2001,37.5
Finland,FIN,2001,18.9
France,FRA,2001,17.2
Gabon,GAB,2001,59.3
Gambia,GMB,2001,66.3
Georgia,GEO,2001,32.7
Germany,DEU,2001,19.2
Ghana,GHA,2001,53.8
Greece,GRC,2001,20.8
Grenada,GRD,2001,31.2
Guatemala,GTM,2001,28.3
Guinea,GIN,2001,60.5
Guinea-Bissau,GNB,2001,55.8
Guyana,GUY,2001,38.5
Haiti,HTI,2001,55.1
Honduras,HND,2001,27.8
Hungary,HUN,2001,27.4
Iceland,ISL,2001,19.5
India,IND,2001,51.7
Indonesia,IDN,2001,38.2
Iran,IRN,2001,28.2
Iraq,IRQ,2001,36.7
Ireland,IRL,2001,19.7
Israel,ISR,2001,20.6
Italy,ITA,2001,20.6
Jamaica,JAM,2001,30.5
Japan,JPN,2001,30.9
Jordan,JOR,2001,30.9
Kazakhstan,KAZ,2001,33.9
Kenya,KEN,2001,45.1
Kiribati,KIR,2001,35.3
Kuwait,KWT,2001,29.3
Kyrgyzstan,KGZ,2001,37.4
Laos,LAO,2001,44.4
Latvia,LVA,2001,26.4
Lebanon,LBN,2001,31.3
Lesotho,LSO,2001,34.2
Liberia,LBR,2001,55.3
Libya,LBY,2001,32.7
Liechtenstein,LIE,2001,
Lithuania,LTU,2001,28.2
Luxembourg,LUX,2001,19.2
Madagascar,MDG,2001,41.5
Malawi,MWI,2001,41.5
Malaysia,MYS,2001,35.3
Maldives,MDV,2001,52.7
Mali,MLI,2001,64.9
Malta,MLT,2001,21.1
Marshall Islands,MHL,2001,32.1
Mauritania,MRT,2001,56.9
Mauritius,MUS,2001,34.1
Mexico,MEX,2001,28.5
Micronesia,FSM,2001,29.9
