Country Name,Country Code,Year,Prevalance of Anemia %
Afghanistan,AFG,2016,32.7
Albania,ALB,2016,23.9
Algeria,DZA,2016,33.3
Andorra,AND,2016,16.9
Angola,AGO,2016,45.3
Antigua and Barbuda,ATG,2016,24.2
Argentina,ARG,2016,26.2
Armenia,ARM,2016,22.1
Australia,AUS,2016,14.9
Austria,AUT,2016,16.9
Azerbaijan,AZE,2016,33.7
Bahrain,BHR,2016,29.7
Bangladesh,BGD,2016,40.8
Barbados,BRB,2016,24.5
Belarus,BLR,2016,24.1
Belgium,BEL,2016,13.9
Belize,BLZ,2016,25.7
Benin,BEN,2016,59.9
Bhutan,BTN,2016,34.0
Bolivia,BOL,2016,27.6
Bosnia and Herzegovina,BIH,2016,26.2
Botswana,BWA,2016,30.6
Brazil,BRA,2016,21.6
Bulgaria,BGR,2016,25.4
Burkina Faso,BFA,2016,51.0
Burundi,BDI,2016,39.8
Cabo Verde,CPV,2016,44.2
Cambodia,KHM,2016,45.0
Cameroon,CMR,2016,41.5
Canada,CAN,2016,15.6
Central African Republic,CAF,2016,48.2
Chad,TCD,2016,52.6
Chile,CHL,2016,21.9
China,CHN,2016,16.5
Colombia,COL,2016,25.7
Comoros,COM,2016,35.0
Costa Rica,CRI,2016,21.9
Croatia,HRV,2016,24.7
Cuba,CUB,2016,25.7
Cyprus,CYP,2016,17.3
Czechia,CZE,2016,24.8
Denmark,DNK,2016,17.2
Djibouti,DJI,2016,36.2
Dominica,DMA,2016,26.4
Dominican Republic,DOM,2016,26.3
Ecuador,ECU,2016,28.3
El Salvador,SLV,2016,22.1
Equatorial Guinea,GNQ,2016,43.1
Eritrea,ERI,2016,40.1
Estonia,EST,2016,24.7
Eswatini,SWZ,2016,28.6
Ethiopia,ETH,2016,25.1
Fiji,FJI,2016,32.0
Finland,FIN,2016,15.7
France,FRA,2016,14.4
Gabon,GAB,2016,54.2
Georgia,GEO,2016,30.8
Germany,DEU,2016,15.7
Ghana,GHA,2016,46.7
Greece,GRC,2016,17.2
Grenada,GRD,2016,25.5
Guatemala,GTM,2016,18.3
Guinea,GIN,2016,52.6
Guinea-Bissau,GNB,2016,51.0
Guyana,GUY,2016,32.8
Haiti,HTI,2016,46.2
Honduras,HND,2016,22.7
Hungary,HUN,2016,24.6
Iceland,ISL,2016,15.9
India,IND,2016,48.1
Indonesia,IDN,2016,30.6
Iraq,IRQ,2016,30.9
Ireland,IRL,2016,16.0
Israel,ISR,2016,16.4
Italy,ITA,2016,17.3
Jamaica,JAM,2016,25.3
Japan,JPN,2016,26.5
Jordan,JOR,2016,31.9
Kazakhstan,KAZ,2016,31.2
Kenya,KEN,2016,38.5
Kiribati,KIR,2016,30.3
Kuwait,KWT,2016,27.9
