Country Name,Country Code,Year,Prevalance of Anemia %
Afghanistan,AFG,2002,37.8
Albania,ALB,2002,26.9
Algeria,DZA,2002,35.5
Andorra,AND,2002,20.1
Angola,AGO,2002,51.3
Antigua and Barbuda,ATG,2002,28.1
Argentina,ARG,2002,30.8
Armenia,ARM,2002,25.8
Australia,AUS,2002,18.5
Austria,AUT,2002,20.0
Azerbaijan,AZE,2002,35.4
Bahrain,BHR,2002,31.8
Bangladesh,BGD,2002,47.3
Barbados,BRB,2002,27.7
Belarus,BLR,2002,27.8
Belgium,BEL,2002,17.3
Belize,BLZ,2002,31.0
Benin,BEN,2002,67.1
Bhutan,BTN,2002,40.2
Bolivia,BOL,2002,34.6
Bosnia and Herzegovina,BIH,2002,29.9
Botswana,BWA,2002,33.9
Brazil,BRA,2002,27.3
Bulgaria,BGR,2002,28.7
Burkina Faso,BFA,2002,56.8
Burundi,BDI,2002,41.4
Cabo Verde,CPV,2002,50.1
Cambodia,KHM,2002,55.1
Cameroon,CMR,2002,47.9
Canada,CAN,2002,19.0
Central African Republic,CAF,2002,51.5
Chad,TCD,2002,60.7
Chile,CHL,2002,25.8
China,CHN,2002,26.7
Colombia,COL,2002,35.4
Comoros,COM,2002,39.9
Costa Rica,CRI,2002,25.9
Croatia,HRV,2002,28.0
Cuba,CUB,2002,31.9
Cyprus,CYP,2002,20.3
Czechia,CZE,2002,27.3
Denmark,DNK,2002,20.7
Djibouti,DJI,2002,39.4
Dominica,DMA,2002,31.4
Dominican Republic,DOM,2002,32.5
Ecuador,ECU,2002,32.6
El Salvador,SLV,2002,24.1
Equatorial Guinea,GNQ,2002,50.2
Eritrea,ERI,2002,43.3
Estonia,EST,2002,27.6
Eswatini,SWZ,2002,31.9
Ethiopia,ETH,2002,31.1
Fiji,FJI,2002,37.1
Finland,FIN,2002,18.5
France,FRA,2002,16.7
Gabon,GAB,2002,59.0
Georgia,GEO,2002,32.5
Germany,DEU,2002,18.8
Ghana,GHA,2002,53.6
Greece,GRC,2002,20.3
Grenada,GRD,2002,30.4
Guatemala,GTM,2002,27.1
Guinea,GIN,2002,60.2
Guinea-Bissau,GNB,2002,55.5
Guyana,GUY,2002,38.0
Haiti,HTI,2002,54.4
Honduras,HND,2002,27.0
Hungary,HUN,2002,27.0
Iceland,ISL,2002,19.1
India,IND,2002,51.7
Indonesia,IDN,2002,37.7
Iraq,IRQ,2002,36.3
Ireland,IRL,2002,19.3
Israel,ISR,2002,20.0
Italy,ITA,2002,20.1
Jamaica,JAM,2002,29.9
Japan,JPN,2002,30.8
Jordan,JOR,2002,30.7
Kazakhstan,KAZ,2002,33.6
Kenya,KEN,2002,44.5
Kiribati,KIR,2002,34.7
Kuwait,KWT,2002,29.0
Latvia,LVA,2002,25.9
Lebanon,LBN,2002,31.2
Lesotho,LSO,2002,33.7
Liberia,LBR,2002,54.3
Libya,LBY,2002,32.6
Liechtenstein,LIE,2002,
Lithuania,LTU,2002,27.6
Luxembourg,LUX,2002,18.8
Madagascar,MDG,2002,41.2
Malawi,MWI,2002,41.1
Malaysia,MYS,2002,34.9
Maldives,MDV,2002,52.1
Mali,MLI,2002,64.4
Malta,MLT,2002,20.6
Marshall Islands,MHL,2002,31.7
Mauritania,MRT,2002,56.6
Mauritius,MUS,2002,33.7
Mexico,MEX,2002,27.7
Moldova,MDA,2002,32.4
Monaco,MCO,2002,19.7
Mongolia,MNG,2002,29.9
Montenegro,MNE,2002,29.9
Morocco,MAR,2002,34.8
Mozambique,MOZ,2002,52.2
Myanmar,MMR,2002,54.1
Namibia,NAM,2002,29.9
Nauru,NRU,2002,28.6
Nepal,NPL,2002,42.6
Netherlands,NLD,2002,19.8
New Zealand,NZL,2002,16.7
Nicaragua,NIC,2002,
Niger,NER,2002,57.1
Nigeria,NGA,2002,54.6
North Macedonia,MKD,2002,27.0
Norway,NOR,2002,20.1
Oman,OMN,2002,36.8
Pakistan,PAK,2002,46.2
Palau,PLW,2002,29.5
Panama,PAN,2002,32.2
Papua New Guinea,PNG,2002,35.2
Paraguay,PRY,2002,30.4
Peru,PER,2002,33.4
Philippines,PHL,2002,40.8
Poland,POL,2002,27.2
Portugal,PRT,2002,20.3
Qatar,QAT,2002,28.4
Romania,ROU,2002,28.8
Rwanda,RWA,2002,28.0
Samoa,WSM,2002,29.5
San Marino,SMR,2002,19.7
Sao Tome and Principe,STP,2002,49.8
Saudi Arabia,SAU,2002,25.5
Senegal,SEN,2002,62.6
Serbia,SRB,2002,28.1
Seychelles,SYC,2002,31.5
Sierra Leone,SLE,2002,55.4
Singapore,SGP,2002,20.9
Slovenia,SVN,2002,27.3
Solomon Islands,SLB,2002,40.1
South Africa,ZAF,2002,32.6
South Sudan,SSD,2002,42.4
Spain,ESP,2002,19.5
Sri Lanka,LKA,2002,31.3
Sudan,SDN,2002,38.7
Suriname,SUR,2002,31.8
Sweden,SWE,2002,20.5
Switzerland,CHE,2002,17.2
Tajikistan,TJK,2002,39.8
Tanzania,TZA,2002,53.2
Thailand,THA,2002,30.2
Timor-Leste,TLS,2002,38.5
Togo,TGO,2002,55.8
Tonga,TON,2002,26.7
Trinidad and Tobago,TTO,2002,29.4
Tunisia,TUN,2002,33.4
Turkmenistan,TKM,2002,38.9
Tuvalu,TUV,2002,30.1
Uganda,UGA,2002,41.8
Ukraine,UKR,2002,26.0
United Arab Emirates,ARE,2002,29.3
United Kingdom,GBR,2002,19.2
United States,USA,2002,10.8
Uruguay,URY,2002,28.7
Uzbekistan,UZB,2002,41.6
Vanuatu,VUT,2002,35.9
Zambia,ZMB,2002,43.8
Zimbabwe,ZWE,2002,34.7
